HCH_010_089_000000	耶律庶成，字喜隱，小字陳六，季父房之後。
HCH_010_089_000001	父吳九，檢校太師。
HCH_010_089_000002	庶成幼好學，書過目不忘。
HCH_010_089_000003	善遼、漢文字，於詩尤工。
HCH_010_089_000004	重熙初，補牌印郎君，累遷樞密直學士。
HCH_010_089_000005	與蕭韓家奴各進《四時逸樂賦》，帝嗟賞。
HCH_010_089_000006	初，契丹醫人鮮知切脈審藥，上命庶成譯方脈書行之，自是人皆通習，雖諸部族亦知醫事。
HCH_010_089_000007	時入禁中，參決疑議。
HCH_010_089_000008	偕林牙蕭韓家奴等撰《實錄》及《禮書》。
HCH_010_089_000009	與樞密副使蕭德修定法令，上詔庶成曰：「方今法令輕重不倫。法令者，為政所先，人命所系，不可不慎。卿其審度輕重，從宜修定。」
HCH_010_089_000010	庶成參酌古今，刊正訛謬，成書以進。
HCH_010_089_000011	帝覽而善之。
HCH_010_089_000012	庶成方進用，為妻胡篤所誣，以罪奪官，絀為「庶耶律」。
HCH_010_089_000013	使吐蕃凡十二年，清寧間始歸。
HCH_010_089_000014	帝知其誣，詔復本族，仍遷所奪官，卒。
HCH_010_089_000015	庶成嘗為林牙，夢善卜者胡呂古卜曰：「官止林牙，因妻得罪。」
HCH_010_089_000016	及置於理，法當離婚。
HCH_010_089_000017	胡篤適有娠，至期不產而死。
HCH_010_089_000018	剖視之，其子以手抱心，識者謂誣夫之報。
HCH_010_089_000019	有詩文行於世。
HCH_010_089_000020	弟庶箴。
HCH_010_089_000021	庶箴，字陳甫，善屬文。
HCH_010_089_000022	重熙中，為本族將軍。
HCH_010_089_000023	咸雍元年，同知東京留守事，俄徙烏衍突厥部節度使。
HCH_010_089_000024	九年，知薊州事。
HCH_010_089_000025	明年，遷都林牙。
HCH_010_089_000026	上表乞廣本國姓氏曰：「我朝創業以來，法制修明；惟姓氏止分為二，耶律與蕭而已。始太祖制契丹大字，取諸部鄉里之名，續作一篇，著於卷末。臣請推廣之，使諸部各立姓氏，庶男女婚媾有合典禮。」
HCH_010_089_000027	帝以舊制不可遽厘，不聽。
HCH_010_089_000028	大康二年，出耶律乙辛為中京留守，庶箴與耶律孟簡表賀。
HCH_010_089_000029	頃之，乙辛復為樞密使，專權恣虐。
HCH_010_089_000030	庶箴私見乙辛泣曰：「前抗表，非庶箴之願也。」
HCH_010_089_000031	乙辛信其言，乃得自安。
HCH_010_089_000032	聞者鄙之。
