HCH_010_100_000000	耶律棠古，字蒲速宛，六院郎君葛剌之後。
HCH_010_100_000001	大康中，補本班郎君，累遷至大將軍。
HCH_010_100_000002	性坦率，好別白黑，人有不善，必盡言無隱，時號「強棠古」。
HCH_010_100_000003	在朝數論宰相得失，由是久不得調，後出為西北戍長。
HCH_010_100_000004	乾統三年，蕭得裏底為西北路招討使，以後族慢侮僚吏。
HCH_010_100_000005	棠古不屈，乃罷之。
HCH_010_100_000006	棠古訟之朝，不省。
HCH_010_100_000007	天慶初，烏古敵烈叛，召拜烏古部節度使。
HCH_010_100_000008	至部，諭降之。
HCH_010_100_000009	遂出私財及發富民積，以振其困乏，部民大悅，加鎮國上將軍。
HCH_010_100_000010	會蕭得裏底以都統率兵與金人戰敗績，棠古請以軍法論。
HCH_010_100_000011	且曰：「臣雖老，願為國破敵。」
HCH_010_100_000012	不納。
HCH_010_100_000013	保大元年，乞致仕。
HCH_010_100_000014	明年，天祚出奔，棠古謁於倒塌嶺，為上流涕，上慰止之，復拜烏古部節度使。
HCH_010_100_000015	及至部，敵烈以五千人來攻，棠古率家奴擊破之，加太子太傅。
HCH_010_100_000016	年七十二卒。
HCH_010_100_000017	蕭得裏底，字糺鄰，晉王孝先之孫。
HCH_010_100_000018	父撒缽，歷官使相。
HCH_010_100_000019	得裏底短而僂，外謹內倨。
HCH_010_100_000020	大康中，補祗候郎君，稍遷興聖宮副使，兼同知中丞司事。
HCH_010_100_000021	大安中，燕王妃生子，得裏底以妃叔故，歷寧遠軍節度使、長寧宮使。
HCH_010_100_000022	壽隆二年，監討達裏得、拔思母二部，多俘而還，改同知南京留守事。
HCH_010_100_000023	乾統元年，為北面林牙、同知北院樞密事，受詔與北院樞密使耶律阿思治乙辛餘黨。
HCH_010_100_000024	阿思納賄，多出其罪；得裏底不能制，亦附會之。
HCH_010_100_000025	四年，知北院樞密事。
HCH_010_100_000026	夏王李乾順為宋所攻，遣使請和解，詔得裏底與南院樞密使牛溫舒使宋平之。
HCH_010_100_000027	宋既許，得裏底受書之日，乃曰：「始奉命取要約歸，不見書辭，豈敢徒還。」
HCH_010_100_000028	遂對宋主發函而讀。
HCH_010_100_000029	既還，朝議為是。
HCH_010_100_000030	天慶三年，加守司徒，封蘭陵郡王。
HCH_010_100_000031	女直初起，廷臣多欲乘其未備，舉兵往討，得裏底獨沮之，以至敗衄。
HCH_010_100_000032	天祚以得裏底不合人望，出為西南面招討使。
HCH_010_100_000033	八年，召為北院樞密使，寵任彌篤。
HCH_010_100_000034	是時，諸路大亂，飛章告急者絡繹而至，得裏底不即上聞，有功者亦無甄別。
HCH_010_100_000035	由是將校怨怒，人無鬥志。
HCH_010_100_000036	保大二年，金兵至嶺東。
HCH_010_100_000037	會耶律撒八、習騎撒跋等謀立晉王敖盧斡事泄，上召得裏底議曰：「反者必以此兒為名，若不除去，何以獲安。」
HCH_010_100_000038	得裏底唯唯，竟無一言申理。
HCH_010_100_000039	王既死，人心益離。
HCH_010_100_000040	金兵逾嶺，天祚率衛兵西遁。
HCH_010_100_000041	元妃蕭氏，得裏底之侄，謂得裏底曰：「爾任國政，致君至此，何以生為！」
HCH_010_100_000042	得裏底但謝罪，不能對。
HCH_010_100_000043	明日，天祚怒，逐得裏底與其子麼撒。
HCH_010_100_000044	得裏底既去，為耶律高山奴執送金兵。
HCH_010_100_000045	得裏底伺守者怠，脫身亡歸，復為耶律九斤所得，送之耶律淳。
HCH_010_100_000046	時淳已僭號，得裏底自知不免，詭曰：「吾不能事僭竊之君！」
HCH_010_100_000047	不食數日，卒。
HCH_010_100_000048	子麼撒，為金兵所殺。
HCH_010_100_000049	蕭酬斡，字訛裏本，國舅少父房之後。
HCH_010_100_000050	祖阿剌，終采訪使。
HCH_010_100_000051	父別裏剌，以後父封趙王。
HCH_010_100_000052	酬斡貌雄偉，性和易。
HCH_010_100_000053	年十四，尚越國公主，拜駙馬都尉，為祗候郎君班詳穩。
HCH_010_100_000054	年十八，封蘭陵郡王。
HCH_010_100_000055	時帝欲立皇孫為嗣，恐無以解天下疑，出酬斡為國舅詳穩，降皇后為惠妃，遷於乾州。
HCH_010_100_000056	初酬斡母入朝，擅取驛馬，至是覺，奪其封號；復與妹魯姐為巫蠱，伏誅。
HCH_010_100_000057	詔酬斡與公主離婚，籍興聖宮，流烏古敵烈部。
HCH_010_100_000058	天慶中，以妹復尊為太皇太妃，召酬斡為南女直詳穩，遷征東副統軍。
HCH_010_100_000059	時廣州渤海作亂，乃與駙馬都尉蕭韓家奴襲其不備，平之，復敗敵將侯槩於川州。
HCH_010_100_000060	是歲，東京叛，遇敵來擊，師潰；獨酬斡率麾下數人力戰，歿於陣，追贈龍虎衛上將軍。
HCH_010_100_000061	耶律章奴，字特末衍，季父房之後。
HCH_010_100_000062	父查剌，養高不仕。
HCH_010_100_000063	章奴明敏善談論。
HCH_010_100_000064	大安中，補牌印郎君。
HCH_010_100_000065	乾統元年，累遷右中丞，兼領牌印宿直事。
HCH_010_100_000066	六年，以直宿不謹，降知內客省事。
HCH_010_100_000067	天慶四年，授東北路統軍副使。
HCH_010_100_000068	五年，改同知咸州路兵馬事。
HCH_010_100_000069	及天祚親征女直，蕭胡篤為先鋒都統，章奴為都監。
HCH_010_100_000070	大軍渡鴨子河，章奴與魏國王淳妻兄蕭敵裏及其甥蕭延留等謀立淳，誘將卒三百餘人亡歸。
HCH_010_100_000071	既而天祚為女直所敗，章奴乃遣敵裏、延留以廢立事馳報淳。
HCH_010_100_000072	淳猶豫未決。
HCH_010_100_000073	會行宮使者乙信持天祚御劄至，備言章奴叛命，淳對使者號哭，即斬敵裏、延留首以獻天祚。
HCH_010_100_000074	章奴見淳不從，誘草寇數百攻掠上京，取府庫財物。
HCH_010_100_000075	至祖州，率僚屬告太祖廟云：「我大遼基業，由太祖百戰而成。今天下土崩，竊見興宗皇帝孫魏國王淳道德隆厚，能理世安民，臣等欲立以主社稷。會淳適好草甸，大事未遂。邇來天祚惟耽樂是從，不恤萬機。強敵肆侮，師徒敗績。加以盜賊蜂起，邦國危於累卵。臣等忝預族屬，世蒙恩渥，上欲安九廟之靈，下欲救萬民之命，乃有此舉。實出至誠，冀累聖垂佑。」
HCH_010_100_000076	西至慶州，復祀諸廟，仍述所以舉兵之意，移檄州縣、諸陵官僚，士卒稍稍屬心。
HCH_010_100_000077	時饒州渤海及侯概等相繼來應，眾至數萬，趨廣平澱。
HCH_010_100_000078	其黨耶律女古等暴橫不法，劫掠婦女財畜。
HCH_010_100_000079	章奴度不能制，內懷悔恨；又攻上京不克，北走降虜。
HCH_010_100_000080	順國女直阿鶻產率兵追敗之，殺其將耶律彌裏直，擒貴族二百餘人，其妻子配役繡院，或散諸近侍為婢；余得脫者皆遁去。
HCH_010_100_000081	章奴詐為使者，欲奔女直，為邏者所獲，縛送行在，伏誅。
HCH_010_100_000082	耶律術者，字能典，於越蒲古只之後，魁偉雄辨。
HCH_010_100_000083	乾統初，補祗候郎君。
HCH_010_100_000084	六年，因柴冊，加觀察使。
HCH_010_100_000085	天慶五年，受詔監都統耶律斡裏朵戰。
HCH_010_100_000086	及敗，左遷銀州刺史，徙咸州糺將。
HCH_010_100_000087	嘗與耶律章奴謀立魏國王淳。
HCH_010_100_000088	及聞章奴自鴨子河亡去，即引麾下數人往會之。
HCH_010_100_000089	道為遊兵所執，送行在所。
HCH_010_100_000090	上問曰：「予何負卿而反？」
HCH_010_100_000091	術者對曰：「臣誠無憾。但以天下大亂，已非遼有，小人滿朝，賢臣竄斥，誠不忍見天皇帝艱難之業一旦土崩。臣所以痛入骨髓而有此舉，非為身計。」
HCH_010_100_000092	後數日，復問，術者厲聲數上過惡，陳社稷危亡之本，遂殺之。
HCH_010_100_000093	論曰：遼末同事之臣，其善惡何相遠也！
HCH_010_100_000094	棠古骨鯁不屈權要，兩鎮烏古，恩威並著。
