HCH_010_114_000000	蕭胡睹，字乙辛。
HCH_010_114_000001	口吃，視斜，發卷，伯父孝穆見之曰：「是兒狀貌，族中未嘗有。」
HCH_010_114_000002	及壯，魁梧桀傲，好揚人惡。
HCH_010_114_000003	重熙中，為祗候郎君。
HCH_010_114_000004	俄遷興聖宮使，尚秦國長公主，授駙馬都尉。
HCH_010_114_000005	以不諧離婚，復尚齊國公主，為北面林牙。
HCH_010_114_000006	清寧中，歷北、南院樞密副使，代族兄術哲為西北路招討使。
HCH_010_114_000007	時蕭革與蕭阿剌俱為樞密使，不協，革以術哲為阿剌所愛，嫉之。
HCH_010_114_000008	朮哲受代赴闕，先嘗借官粟，留直而去。
HCH_010_114_000009	胡睹希革意，發其事，術哲因得罪。
HCH_010_114_000010	胡睹又欲要權，歲時獻遺珍玩、畜產於革，二人相愛過於兄弟。
HCH_010_114_000011	胡睹族弟敵烈為北克，薦國舅詳穩蕭胡篤於胡睹，胡睹見其辨給壯勇，傾心交結。
HCH_010_114_000012	每遇休沐，言論終日，人皆怪之。
HCH_010_114_000013	會胡睹同知北院樞密事，奏胡篤及敵烈可用，帝以敵烈為旗鼓拽剌詳穩，胡篤為宿直官。
HCH_010_114_000014	及革構陷其兄阿剌，胡篤陰為之助，時人醜之。
HCH_010_114_000015	耶律乙辛知北院樞密事，胡睹位在乙辛下，意怏怏不平。
HCH_010_114_000016	初，胡睹嘗與重元子涅魯古謀逆，欲其速發。
HCH_010_114_000017	會車駕獵太子山，遂與涅魯古脅弩手軍犯行宮。
HCH_010_114_000018	既戰，涅魯古中流矢而斃，眾皆逃散。
HCH_010_114_000019	時同黨耶律撒剌竹適在圍場，聞亂，率獵夫來援。
HCH_010_114_000020	其黨謂胡睹等曰：「我軍甚眾，乘其無備，中夜決戰，事冀有成；若至明日，其誰從我？」
HCH_010_114_000021	胡睹曰：「倉卒中黑白不辨，若內外軍相應，則吾事去矣。黎明而發，何遲之有！」
HCH_010_114_000022	重元聽胡睹之計，令四面巡警待旦。
HCH_010_114_000023	是夜，同黨立重元僭位號，胡睹自為樞密使。
HCH_010_114_000024	明日戰敗，胡睹被創，單騎遁走，至十七濼，投水死。
HCH_010_114_000025	五子，同日誅之。
HCH_010_114_000026	蕭叠裏得，字胡睹堇，國舅少父房之後。
HCH_010_114_000027	父雙古，尚鈿匿公主，仕至國舅詳穩。
HCH_010_114_000028	叠裏得幼警敏不羈，好射獵。
HCH_010_114_000029	太平中，以外戚補祗候郎君，歷延昌宮使、殿前副點檢。
HCH_010_114_000030	重熙十三年伐夏，叠裏得將偏師首入敵境，多所俘掠，遷都點檢，改烏古敵烈部都詳穩。
HCH_010_114_000031	十八年，再舉西伐，叠裏得奏：「軍馬器械之事，務在選將，夏人豈為難制，但嚴設斥堠，不用掩襲計，何慮不勝？」
HCH_010_114_000032	帝曰：「卿其速行，無後軍期。」
HCH_010_114_000033	既而叠裏得失利還，復為都點檢。
HCH_010_114_000034	十九年，夏人來侵金肅軍，上遣叠裏得率輕兵督戰，至河南三角川，斬候者八人，擒觀察使，以功命知漢人行宮都部署事，出為西南面招討使。
HCH_010_114_000035	族弟黃八家奴告其主私議宮掖事，叠裏得寢之。
HCH_010_114_000036	事覺，決大杖，削爵為民。
HCH_010_114_000037	清寧中，上以所坐事非叠裏得所犯，起為南京統軍使。
HCH_010_114_000038	至是，從重元子涅魯古等亂，敗走被擒，伏誅。
HCH_010_114_000039	古叠，本宮分人，不知姓氏。
HCH_010_114_000040	好戲狎，不喜繩檢。
HCH_010_114_000041	膂力過人，善擊鞠。
HCH_010_114_000042	重熙初，為護衛，歷宿直官。
HCH_010_114_000043	十三年，西征，以古叠為先鋒。
HCH_010_114_000044	夏人伏兵掩之，古叠力戰，麾下士多歿，乃單騎突出。
HCH_010_114_000045	遇夏王李元昊來圍，勢甚急。
HCH_010_114_000046	古叠馳射，應弦輒仆，躍馬直擊中堅，夏兵不能當，晡乃還營。
HCH_010_114_000047	改興聖宮太保。
HCH_010_114_000048	清寧九年，從重元、涅魯古亂，與扈從兵戰，敗而遁，追擒之，陵遲而死。
HCH_010_114_000049	撒剌竹，孟父房滌冽之孫。
HCH_010_114_000050	性凶暴。
HCH_010_114_000051	清寧中，累遷宣徽使，改殿前都點檢，首與重元謀亂。
HCH_010_114_000052	會帝獵灤河，重元恐事泄，與扈從軍倉卒而戰。
HCH_010_114_000053	其子涅魯古既死，同黨潰散。
HCH_010_114_000054	撒剌竹適在畋所，聞亂，劫獵夫以援。
HCH_010_114_000055	既至，知涅魯古已死，大悔恨之，謂曰：「我輩惟有死戰，胡為若兒戲，自取殞滅？今行宮無備，乘夜劫之，大事可濟。若俟明旦，彼將有備，安知我眾不攜貳？一失機會，悔將無及。」
HCH_010_114_000056	重元、蕭胡睹等曰：「今夕但可四面圍之，勿令外軍得入，彼何能備！」
HCH_010_114_000057	不從。
HCH_010_114_000058	遲明，投仗而走，撒剌竹戰死。
HCH_010_114_000059	奚回離保，一名翰，字挼懶，奚王忒鄰之後。
HCH_010_114_000060	善騎射，趫捷而勇，與其兄鱉裏剌齊名。
HCH_010_114_000061	大安中，車駕幸中京，補護衛，稍遷鐵鷂軍詳穩。
HCH_010_114_000062	天慶間，徙北女直詳穩，兼知咸州路兵馬事，改東京統軍。
HCH_010_114_000063	既而諸蕃入寇，番破之，遷奚六部大王，兼總知東路兵馬事。
HCH_010_114_000064	保大二年，金兵至，天祚播遷，回離保率吏民立秦晉國王淳為帝。
HCH_010_114_000065	淳偽署回離保知北院樞密事，兼諸軍都統，屢敗宋兵。
HCH_010_114_000066	淳死，其妻普賢女攝事。
HCH_010_114_000067	是年，金兵由居庸關入，回離保知北院，即箭笴山自立，號奚國皇帝，改元天復，設奚、漢、渤海三樞密院，改東、西節度使為二王，分司建官。
HCH_010_114_000068	時奚人巴輒、韓家奴等引兵擊附近契丹部落，劫掠人畜，群情大駭。
HCH_010_114_000069	會回離保為郭藥師所敗，一軍離心，其黨耶律阿古哲與其甥乙室八斤等殺之，偽立凡八月。
HCH_010_114_000070	蕭特烈，字訛都碗，遙輦窪可汗宮分人。
HCH_010_114_000071	乾統中入宿衛，出為順義軍節度使。
HCH_010_114_000072	天慶四年，同知咸州路兵馬事。
HCH_010_114_000073	五年，以兵敗奪節度使。
HCH_010_114_000074	保大元年，遷隗古部節度使。
HCH_010_114_000075	及天祚在山西集群牧兵，特烈為副統軍。
HCH_010_114_000076	聞金兵將至，特烈諭士卒以君臣之義，死戰於石輦鐸。
HCH_010_114_000077	金兵不戰，特烈伺間欲攻之。
HCH_010_114_000078	天祚喜甚，召嬪御諸子登高同觀，將詫之。
HCH_010_114_000079	金兵望日月旗，知天祚在其下，以勁兵直趨奮擊，無敢當者，天祚遁走。
HCH_010_114_000080	特烈所至，招集散亡，尋為中軍都統，復敗於梯已山。
HCH_010_114_000081	天祚決意渡河奔夏，從臣切諫不聽，人情惶懼不知所為。
HCH_010_114_000082	特烈陰謂耶律兀直曰：「事勢如此，億兆離心，正我輩效節之秋。不早為計，奈社稷何！」
HCH_010_114_000083	遂共劫梁王雅裏，奔西北諸部，偽立為帝，特烈自為樞密使。
HCH_010_114_000084	雅裏卒，欲擇可立者。
HCH_010_114_000085	會耶律兀直言朮烈才德純備，兼興宗之孫，眾皆曰可，遂僭立焉，特烈偽職如故。
HCH_010_114_000086	未三旬，與朮烈俱為亂兵所殺。
HCH_010_114_000087	論曰：遼之秉國鈞，握兵柄，節制諸部帳，非宗室外戚不使，豈不以為帝王久長萬世之計哉。
HCH_010_114_000088	及夫肆叛逆，致亂亡，皆是人也。
HCH_010_114_000089	有國家者，可不深戒矣乎！
HCH_010_114_000090	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
