HCH_010_115_000000	高麗自有國以來，傳次久近，人民土田，歷代各有其志，然高麗與遼相為終始二百餘年。
HCH_010_115_000001	自太祖皇帝神冊間，高麗遣使進寶劍。
HCH_010_115_000002	天贊三年，來貢。
HCH_010_115_000003	太宗天顯二年，來貢。
HCH_010_115_000004	會同二年，受晉上尊號冊，遣使往報。
HCH_010_115_000005	聖宗統和三年秋七月，詔諸道各完戎器，以備東征高麗。
HCH_010_115_000006	八月，以遼澤沮洳，罷師。
HCH_010_115_000007	十年，以東京留守蕭恒德伐高麗。
HCH_010_115_000008	十一年，王治遣朴良柔奉表請罪，詔取女直國鴨淥江東數百里地賜之。
HCH_010_115_000009	十二年，入貢。
HCH_010_115_000010	三月，王治遣使請所俘生口，詔續還之，仍遣使撫諭。
HCH_010_115_000011	十二月，王治進妓樂，詔却之。
HCH_010_115_000012	十三年，治遣李周楨來貢，又進鷹。
HCH_010_115_000013	十月，遣李知白奉貢。
HCH_010_115_000014	十一月，遣使冊治為王。
HCH_010_115_000015	遣童子十人來學本國語。
HCH_010_115_000016	十四年，王治表乞為婚姻，以東京留守駙馬蕭恒德女下嫁之。
HCH_010_115_000017	六月，遣使來問起居。
HCH_010_115_000018	自是，至者無時。
HCH_010_115_000019	十五年，韓彥敬來納聘幣，弔駙馬蕭恒德妻越國公主薨。
HCH_010_115_000020	十一月，治薨，其姪誦遣王同穎來告。
HCH_010_115_000021	十二月，遣使致祭，詔其姪誦權知國事。
HCH_010_115_000022	十六年，遣使冊誦為王。
HCH_010_115_000023	二十年，誦遣使賀伐宋之捷。
HCH_010_115_000024	七月，來貢本國地里圖。
HCH_010_115_000025	二十二年，以南伐事詔諭之。
HCH_010_115_000026	二十三年，高麗聞與宋和，遣使來賀。
HCH_010_115_000027	二十六年，進龍鬚草席，及賀中京城。
HCH_010_115_000028	二十七年，承天皇太后崩，遣使報以國哀。
HCH_010_115_000029	二十八年，誦遣魏守愚等來祭。
HCH_010_115_000030	三月，使來會葬。
HCH_010_115_000031	五月，高麗西京留守康肇弒其主誦，擅立誦從兄詢。
HCH_010_115_000032	八月，聖宗自將伐高麗，報宋，遣引進使韓𣏌宣問詢。
HCH_010_115_000033	詢奉表乞罷師，不許。
HCH_010_115_000034	十一月，大軍渡鴨淥江，康肇拒戰于銅州，敗之。
HCH_010_115_000035	肇復出，右皮室詳穩耶律敵魯擒肇等，追奔數十里，獲所棄糧餉、鎧仗，銅、霍、貴、寧等州皆降。
HCH_010_115_000036	詢上表請朝，許之，禁軍士俘掠。
HCH_010_115_000037	以政事舍人馬保祐為開京留守，安州團練使王八為副留守。
HCH_010_115_000038	太子太師乙澟將騎兵一千，送保祐等赴京。
HCH_010_115_000039	守將卓思正殺我使者韓喜孫等十人，領兵出拒，保祐等復還。
HCH_010_115_000040	乙澟領兵擊之，思正遂奔西京。
HCH_010_115_000041	圍之五日，不克，駐蹕于城西佛寺。
HCH_010_115_000042	高麗禮部郎中渤海陀失來降。
HCH_010_115_000043	遣排押、盆奴攻開京，遇敵于京西，敗之。
HCH_010_115_000044	詢棄城遁走，遂焚開京，至清江而還。
HCH_010_115_000045	二十九年正月，班師，所降諸城復叛。
HCH_010_115_000046	至貴州南嶺谷，大雨連日，霽乃得渡，馬駝皆疲乏，甲仗多遺棄。
HCH_010_115_000047	次鴨淥江，以所俘人分置諸陵廟，餘賜內戚、大臣。
HCH_010_115_000048	開泰元年，詢遣蔡忠順來乞稱臣如舊，詔詢親朝。
HCH_010_115_000049	八月，遣田拱之奉表，稱病不能朝。
HCH_010_115_000050	詔復取六州之地。
HCH_010_115_000051	二年，耶律資忠使高麗取地，未幾還。
HCH_010_115_000052	三年，資忠復使，如前索地。
HCH_010_115_000053	五月，詔國舅詳穩蕭敵烈、東京留守耶律團石等造浮梁于鴨淥江，城保、宣義、定遠等州。
HCH_010_115_000054	四年，命北府宰相劉慎行為都統，樞密使耶律世良為副，殿前都點檢蕭虛烈為都監。
HCH_010_115_000055	慎行挈家邊上，致緩師期，追還之；以世良、虛烈總兵伐高麗。
HCH_010_115_000056	五年，世良等與高麗戰于郭州西，破之。
HCH_010_115_000057	六年，樞密使蕭合卓為都統，漢人行宮都部署王繼忠為副，殿前都點檢蕭虛烈為都監進討。
HCH_010_115_000058	蕭合卓攻興化軍不克，師還。
HCH_010_115_000059	七年，詔東平郡王蕭排押為都統，蕭虛烈為副統，東京留守耶律八哥為都監，復伐高麗。
HCH_010_115_000060	十二月，蕭排押與戰于茶、陀二河之間，我軍不利，天雲、右皮室二軍沒溺者眾，天雲軍詳穩海里、遙輦帳詳穩阿果達、客省使酌古、渤海詳穩高清明等皆沒于陣。
HCH_010_115_000061	八年，詔數排押討高麗罪，釋之。
HCH_010_115_000062	加有功將校，益封戰沒將校之妻，錄其子弟。
HCH_010_115_000063	以南皮室軍校有功，賜衣物銀絹有差，出金帛賜肴里、涅哥二奚軍。
HCH_010_115_000064	八月，遣郎君曷不呂等率諸部兵，會大軍同討高麗。
HCH_010_115_000065	詢遣使來乞貢方物。
HCH_010_115_000066	九年，資忠還，以詢降表進，釋詢罪。
HCH_010_115_000067	太平元年，詢薨，遣使來報嗣位，即遣使冊王欽為王。
HCH_010_115_000068	九年，賜欽物。
HCH_010_115_000069	十一年，聖宗崩，遣使告哀。
HCH_010_115_000070	七月，使來慰奠。
HCH_010_115_000071	興宗重熙七年，來貢。
HCH_010_115_000072	十二年三月，以加上尊號，來賀。
HCH_010_115_000073	十三年，遣使來貢。
HCH_010_115_000074	十四年三月，又來貢。
HCH_010_115_000075	十五年，入貢。
HCH_010_115_000076	八月，王欽薨，遣使來告。
HCH_010_115_000077	十六年，來貢。
HCH_010_115_000078	明年，又來貢。
HCH_010_115_000079	十九年，復貢。
HCH_010_115_000080	六月，遣使來賀伐夏之捷。
HCH_010_115_000081	二十二年，入貢。
HCH_010_115_000082	二十三年四月，王徽請官其子，詔加檢校太尉。
HCH_010_115_000083	興宗崩，道宗即位，清寧元年八月，遣使報國哀，以先帝遺留物賜之。
HCH_010_115_000084	十一月，使來會葬。
HCH_010_115_000085	二年、三年，皆來貢。
HCH_010_115_000086	四年春，遣使報太皇太后哀。
HCH_010_115_000087	五月，使來會葬。
HCH_010_115_000088	咸雍七年、八年，來貢。
HCH_010_115_000089	十二月，以佛經一藏賜徽。
HCH_010_115_000090	九年、十年，來貢。
HCH_010_115_000091	大康二年三月，皇太后崩，遣使報哀。
HCH_010_115_000092	六月，使來弔祭。
HCH_010_115_000093	四年，王徽乞賜鴨淥江以東地，不許。
HCH_010_115_000094	九年八月，王徽薨，以徽子三韓國公勳權知國事。
HCH_010_115_000095	十二月，勳薨。
HCH_010_115_000096	大安元年，冊勳子運為國王。
HCH_010_115_000097	二年，遣使來謝封冊。
HCH_010_115_000098	三年，來貢。
HCH_010_115_000099	四年三月，免歲貢。
HCH_010_115_000100	五年、六年，連貢。
HCH_010_115_000101	九年，賜王運羊。
HCH_010_115_000102	十年，運薨，子昱遣使來告，即賻贈。
HCH_010_115_000103	壽隆元年，來貢。
HCH_010_115_000104	十一月，王昱病，命其子顒權知國事。
HCH_010_115_000105	二年，來貢。
HCH_010_115_000106	三年三月，王昱薨。
