HCH_011_026_000000	范岫字懋賓，濟陽考城人也。
HCH_011_026_000001	高祖宣，晉徵士。
HCH_011_026_000002	父羲，宋兗州別駕。
HCH_011_026_000003	岫早孤，事母以孝聞，與吳興沈約俱爲蔡興宗所禮。
HCH_011_026_000004	泰始中，起家奉朝請。
HCH_011_026_000005	興宗爲安西將軍，引爲主簿。
HCH_011_026_000006	累遷臨海、長城二縣令，驃騎參軍，尚書刪定郎，護軍司馬，齊司徒竟陵王子良記室參軍。
HCH_011_026_000007	累遷太子家令。
HCH_011_026_000008	文惠太子之在東宮，沈約之徒以文才見引，岫亦預焉。
HCH_011_026_000009	岫文雖不逮約，而名行爲時輩所與，博涉多通，尤悉魏晉以來吉凶故事。
HCH_011_026_000010	約常稱曰：「范公好事該博，胡廣無以加。」
HCH_011_026_000011	南鄉范雲謂人曰：「諸君進止威儀，當問范長頭。」
HCH_011_026_000012	以岫多識前代舊事也。
HCH_011_026_000013	遷國子博士。
HCH_011_026_000014	永明中，魏使至，有詔妙選朝士有詞辯者，接使於界首，以岫兼淮陰長史迎焉。
HCH_011_026_000015	還遷尚書左丞，母憂去官，尋起攝職。
HCH_011_026_000016	出爲寧朔將軍、南蠻長史、南義陽太守，未赴職，遷右軍諮議參軍，郡如故。
HCH_011_026_000017	除撫軍司馬。
HCH_011_026_000018	出爲建威將軍、安成內史。
HCH_011_026_000019	入爲給事黃門侍郎，遷御史中丞、領前軍將軍、南北兗二州大中正。
HCH_011_026_000020	永元末，出爲輔國將軍、冠軍晉安王長史，行南徐州事。
HCH_011_026_000021	義師平京邑，承制徵爲尚書吏部郎，參大選。
HCH_011_026_000022	梁臺建，爲度支尚書。
HCH_011_026_000023	天監五年，遷散騎常侍、光祿大夫，侍皇太子，給扶。
HCH_011_026_000024	六年，領太子左衛率。
HCH_011_026_000025	七年，徙通直散騎常侍、右衛將軍，中正如故。
HCH_011_026_000026	其年表致事，詔不許。
HCH_011_026_000027	八年，出爲晉陵太守，秩中二千石。
