HCH_011_034_000000	張緬字元長，車騎將軍弘策子也。
HCH_011_034_000001	年數歲，外祖中山劉仲德異之，嘗曰：「此兒非常器，爲張氏寶也。」
HCH_011_034_000002	齊永元末，義師起，弘策從高祖入伐，留緬襄陽，年始十歲，每聞軍有勝負，憂喜形於顏色。
HCH_011_034_000003	天監元年，弘策任衛尉卿，爲妖賊所害，緬痛父之酷，喪過於禮，高祖遣戒喻之。
HCH_011_034_000004	服闋，襲洮陽縣侯，召補國子生。
HCH_011_034_000005	起家秘書郎，出爲淮南太守，時年十八。
HCH_011_034_000006	高祖疑其年少未閑吏事，乃遣主書封取郡曹文案，見其斷決允愜，甚稱賞之。
HCH_011_034_000007	還除太子舍人、雲麾外兵參軍。
HCH_011_034_000008	緬少勤學，自課讀書，手不輟卷，尤明後漢及晉代衆家。
HCH_011_034_000009	客有執卷質緬者，隨問便對，略無遺失。
HCH_011_034_000010	殿中郎缺，高祖謂徐勉曰：「此曹舊用文學，且居鵷行之首，宜詳擇其人。」
HCH_011_034_000011	勉舉緬充選。
HCH_011_034_000012	頃之，出爲武陵太守，還拜太子洗馬，中舍人。
HCH_011_034_000013	緬母劉氏，以父沒家貧，葬禮有闕，遂終身不居正室，不隨子入官府。
HCH_011_034_000014	緬在郡所得祿俸不敢用，乃至妻子不易衣裳，及還都，並供其母賑贍親屬，雖累載所畜，一朝隨盡，緬私室常闃然如貧素者。
HCH_011_034_000015	累遷北中郎諮議參軍、寧遠長史。
HCH_011_034_000016	出爲豫章內史。
HCH_011_034_000017	緬爲政任恩惠，不設鈎距，吏人化其德，亦不敢欺，故老咸云「數十年未之有也」。
HCH_011_034_000018	大通元年，徵爲司徒左長史，以疾不拜，改爲太子中庶子，領羽林監。
HCH_011_034_000019	俄遷御史中丞，坐收捕人與外國使鬭，左降黃門郎，兼領先職，俄復爲真。
HCH_011_034_000020	緬居憲司，推繩無所顧望，號爲勁直。
HCH_011_034_000021	高祖乃遣畫工圖其形於臺省，以勵當官。
