HCH_011_047_000000	經云：「夫孝，德之本也。」
HCH_011_047_000001	此生民之爲大，有國之所先歟！
HCH_011_047_000002	高祖創業開基，飭躬化俗，澆弊之風以革，孝治之術斯著。
HCH_011_047_000003	每發絲綸，遠加旌表。
HCH_011_047_000004	而淳和比屋，罕要詭俗之譽，潛晦成風，俯列逾群之跡，彰於視聽，蓋無幾焉。
HCH_011_047_000005	今采綴以備遺逸云爾。
HCH_011_047_000006	滕曇恭，豫章南昌人也。
HCH_011_047_000007	年五歲，母楊氏患熱，思食寒瓜，土俗所不產。
HCH_011_047_000008	曇恭歷訪不能得，銜悲哀切。
HCH_011_047_000009	俄值一桑門問其故，曇恭具以告。
HCH_011_047_000010	桑門曰：「我有兩瓜，分一相遺。」
HCH_011_047_000011	曇恭拜謝，因捧瓜還，以薦其母。
HCH_011_047_000012	舉室驚異。
HCH_011_047_000013	尋訪桑門，莫知所在。
HCH_011_047_000014	及父母卒，曇恭水漿不入口者旬日，感慟嘔血，絕而復蘇。
HCH_011_047_000015	隆冬不著繭絮，蔬食終身。
HCH_011_047_000016	每至忌日，思慕不自堪，晝夜哀慟。
HCH_011_047_000017	其門外有冬生樹二株，時忽有神光自樹而起，俄見佛像及夾侍之儀，容光顯著，自門而入。
HCH_011_047_000018	曇恭家人大小，咸共禮拜，久之乃滅，遠近道俗咸傳之。
HCH_011_047_000019	太守王僧度引曇恭爲功曹，固辭不就。
HCH_011_047_000020	王儉時隨僧度在郡，號爲滕曾子。
HCH_011_047_000021	天監元年，陸璉奉使巡行風俗，表言其狀。
HCH_011_047_000022	曇恭有子三人，皆有行業。
HCH_011_047_000023	時有徐普濟者，長沙臨湘人。
HCH_011_047_000024	居喪未及葬，而鄰家火起，延及其舍，普濟號慟伏棺上，以身蔽火。
HCH_011_047_000025	鄰人往救之，焚炙已悶絕，累日方蘇。
HCH_011_047_000026	宣城宛陵有女子與母同床寢，母爲猛虎所搏，女號叫拿虎，虎毛盡落，行十數里，虎乃棄之。
HCH_011_047_000027	女抱母還，猶有氣，經時乃絕。
HCH_011_047_000028	太守蕭琛賻焉，表言其狀。
HCH_011_047_000029	有詔旌其門閭。
HCH_011_047_000030	沈崇傃字思整，吳興武康人也。
HCH_011_047_000031	父懷明，宋兗州刺史。
HCH_011_047_000032	崇傃六歲丁父憂，哭踴過禮。
HCH_011_047_000033	及長，傭書以養母焉。
HCH_011_047_000034	齊建武初，起家爲奉朝請。
HCH_011_047_000035	永元末，遷司徒行參軍。
HCH_011_047_000036	天監初，爲前軍鄱陽王參軍事。
HCH_011_047_000037	三年，太守柳惲辟爲主簿。
HCH_011_047_000038	崇傃從惲到郡，還迎其母，母卒。
HCH_011_047_000039	崇傃以不及侍疾，將欲致死，水漿不入口，晝夜號哭，旬日殆將絕氣。
HCH_011_047_000040	兄弟謂之曰：「殯葬未申，遽自毀滅，非全孝之道也。」
HCH_011_047_000041	崇傃之瘞所，不避雨雪，倚墳哀慟。
HCH_011_047_000042	每夜恒有猛獸來望之，有聲狀如歎息者。
HCH_011_047_000043	家貧無以遷窆，乃行乞經年，始獲葬焉。
HCH_011_047_000044	旣而廬於墓側，自以初行喪禮不備，復以葬後更治服三年。
HCH_011_047_000045	久食麥屑，不啖鹽酢，坐臥于單薦，因虛腫不能起。
HCH_011_047_000046	郡縣舉其至孝。
HCH_011_047_000047	高祖聞，卽遣中書舍人慰勉之，乃下詔曰：「前軍沈崇傃，少有志行，居喪逾禮。齋制不終，未得大葬，自以行乞淹年，哀典多闕，方欲以永慕之晨，更爲再朞之始。雖卽情可矜，禮有明斷。可便令除釋，擢補太子洗馬。旌彼門閭，敦茲風教。」
HCH_011_047_000048	崇傃奉詔釋服，而涕泣如居喪，固辭不受官，苦自陳讓，經年乃得爲永寧令。
HCH_011_047_000049	自以祿不及養，怛恨愈甚，哀思不自堪，至縣卒，時年三十九。
HCH_011_047_000050	荀匠字文師，潁陰人，晉太保勗九世孫也。
HCH_011_047_000051	祖瓊，年十五，復父仇於成都市，以孝聞。
HCH_011_047_000052	宋元嘉末，渡淮赴武陵王義，爲元凶追兵所殺，贈員外散騎侍郎。
HCH_011_047_000053	父法超，齊中興末爲安復令，卒於官。
HCH_011_047_000054	凶問至，匠號慟氣絕，身體皆冷，至夜乃蘇。
HCH_011_047_000055	旣而奔喪，每宿江渚，商旅皆不忍聞其哭聲。
HCH_011_047_000056	服未闋，兄斐起家爲鬰林太守，征俚賊，爲流矢所中，死於陣。
HCH_011_047_000057	喪還，匠迎于豫章，望舟投水，傍人赴救，僅而得全。
HCH_011_047_000058	旣至，家貧不得時葬。
HCH_011_047_000059	居父憂並兄服，歷四年不出廬戶。
HCH_011_047_000060	自括發後，不復櫛沐，髮皆禿落。
HCH_011_047_000061	哭無時，聲盡則係之以泣，目眥皆爛，形體枯顇，皮骨裁連，雖家人不復識。
HCH_011_047_000062	郡縣以狀言，高祖詔遣中書舍人爲其除服，擢爲豫章王國左常侍。
HCH_011_047_000063	匠雖卽吉，毀顇逾甚。
HCH_011_047_000064	外祖孫謙誡之曰：「主上以孝治天下，汝行過古人，故發明詔，擢汝此職。非唯君父之命難拒，故亦揚名後世，所顯豈獨汝身哉！」
HCH_011_047_000065	匠於是乃拜。
HCH_011_047_000066	竟以毀卒於家，時年二十一。
HCH_011_047_000067	庾黔婁字子貞，新野人也。
HCH_011_047_000068	父易，司徒主簿，徵不至，有高名。
HCH_011_047_000069	黔婁少好學，多講誦《孝經》，未嘗失色於人，南陽高士劉虬、宗測並歎異之。
HCH_011_047_000070	起家本州主簿，遷平西行參軍。
HCH_011_047_000071	出爲編令，治有異績。
HCH_011_047_000072	先是，縣境多虎暴。
HCH_011_047_000073	黔婁至，虎皆渡往臨沮界，當時以爲仁化所感。
HCH_011_047_000074	齊永元初，除孱陵令，到縣未旬，易在家遘疾，黔婁忽然心驚，舉身流汗，卽日棄官歸家，家人悉驚其忽至。
HCH_011_047_000075	時易疾始二日，醫云：「欲知差劇，但嘗糞甜苦。」
HCH_011_047_000076	易泄痢，黔婁輒取嘗之，味轉甜滑，心逾憂苦。
HCH_011_047_000077	至夕，每稽顙北辰，求以身代。
HCH_011_047_000078	俄聞空中有聲曰：「徵君壽命盡，不復可延，汝誠禱旣至，止得申至月末。」
HCH_011_047_000079	及晦而易亡，黔婁居喪過禮，廬于冢側。
HCH_011_047_000080	和帝卽位，將起之，鎮軍蕭穎胄手書敦譬，黔婁固辭。
HCH_011_047_000081	服闋，除西臺尚書儀曹郎。
