HCH_011_049_000000	昔司馬遷、班固書，並爲《司馬相如傳》，相如不預漢廷大事，蓋取其文章尤著也。
HCH_011_049_000001	固又爲《賈鄒枚路傳》，亦取其能文傳焉。
HCH_011_049_000002	范氏《後漢書》有《文苑傳》，所載之人，其詳已甚。
HCH_011_049_000003	然經禮樂而緯國家，通古今而述美惡，非文莫可也。
HCH_011_049_000004	是以君臨天下者，莫不敦悅其義，縉紳之學，咸貴尚其道，古往今來，未之能易。
HCH_011_049_000005	高祖聰明文思，光宅區宇，旁求儒雅，詔采異人，文章之盛，煥乎俱集。
HCH_011_049_000006	每所御幸，輒命羣臣賦詩，其文善者，賜以金帛，詣闕庭而獻賦頌者，或引見焉。
HCH_011_049_000007	其在位者，則沈約、江淹、任昉，並以文采，妙絕當時。
HCH_011_049_000008	至若彭城到沆、吳興丘遲、東海王僧孺、吳郡張率等，或入直文德，通讌壽光，皆後來之選也。
HCH_011_049_000009	約、淹、昉、僧孺，率別以功跡論。
HCH_011_049_000010	今綴到沆等文兼學者，至太清中人，爲《文學傳》云。
HCH_011_049_000011	到沆字茂瀣，彭城武原人也。
HCH_011_049_000012	曾祖彥之，宋將軍。
HCH_011_049_000013	父撝，齊五兵尚書。
HCH_011_049_000014	沆幼聰敏，五歲時，撝於屏風抄古詩，沆請教讀一遍，便能諷誦，無所遺失。
HCH_011_049_000015	旣長勤學，善屬文，工篆隸。
HCH_011_049_000016	美風神，容止可悅。
HCH_011_049_000017	齊建武中，起家後軍法曹參軍。
HCH_011_049_000018	天監初，遷征虜主簿。
HCH_011_049_000019	高祖初臨天下，收拔賢俊，甚愛其才。
HCH_011_049_000020	東宮建，以爲太子洗馬。
HCH_011_049_000021	時文德殿置學士省，召高才碩學者待詔其中，使校定墳史，詔沆通籍焉。
HCH_011_049_000022	時高祖讌華光殿，命羣臣賦詩，獨詔沆爲二百字，三刻使成。
HCH_011_049_000023	沆於坐立奏，其文甚美。
HCH_011_049_000024	俄以洗馬管東宮書記、散騎省優策文。
HCH_011_049_000025	三年，詔尚書郎在職清能或人才高妙者爲侍郎，以沆爲殿中曹侍郎。
HCH_011_049_000026	沆從父兄溉、洽，並有才名，時皆相代爲殿中，當世榮之。
HCH_011_049_000027	四年，遷太子中舍人。
HCH_011_049_000028	沆爲人不自伐，不論人長短，樂安任昉、南鄉范雲皆與友善。
HCH_011_049_000029	其年，遷丹陽尹丞，以疾不能處職事，遷北中郎諮議參軍。
HCH_011_049_000030	五年，卒官，年三十。
