HCH_011_051_000000	《易》曰：「君子遁世無悶，獨立不懼。」
HCH_011_051_000001	孔子稱長沮、桀溺隱者也。
HCH_011_051_000002	古之隱者，或恥聞禪代，高讓帝王，以萬乘爲垢辱，之死亡而無悔。
HCH_011_051_000003	此則輕生重道，希世間出，隱之上者也。
HCH_011_051_000004	或託仕監門，寄臣柱下，居易而以求其志，處汙而不愧其色。
HCH_011_051_000005	此所謂大隱隱於市朝，又其次也。
HCH_011_051_000006	或裸體佯狂，盲喑絕世，棄禮樂以反道，忍孝慈而不恤。
HCH_011_051_000007	此全身遠害，得大雅之道，又其次也。
HCH_011_051_000008	然同不失語默之致，有幽人貞吉矣。
HCH_011_051_000009	與夫沒身亂世，爭利干時者，豈同年而語哉！
HCH_011_051_000010	《孟子》曰：「今人之於爵祿，得之若其生，失之若其死。」
HCH_011_051_000011	《淮南子》曰：「人皆鑒於止水，不鑒於流潦。」
HCH_011_051_000012	夫可以揚清激濁，抑貪止競，其惟隱者乎！
HCH_011_051_000013	自古帝王，莫不崇尚其道。
HCH_011_051_000014	雖唐堯不屈巢、許，周武不降夷、齊；以漢高肆慢而長揖黃、綺，光武按法而折意嚴、周；自茲以來，世有人矣！
HCH_011_051_000015	有梁之盛，繼紹風猷。
HCH_011_051_000016	斯乃道德可宗，學藝可範，故以備《處士篇》云。
HCH_011_051_000017	何點字子晳，廬江灊人也。
HCH_011_051_000018	祖尚之，宋司空。
HCH_011_051_000019	父鑠，宜都太守。
HCH_011_051_000020	鑠素有風疾，無故害妻，坐法死。
HCH_011_051_000021	點年十一，幾至滅性。
HCH_011_051_000022	及長，感家禍，欲絕婚宦，尚之強爲之娶琅邪王氏。
HCH_011_051_000023	禮畢，將親迎，點累涕泣，求執本志，遂得罷。
HCH_011_051_000024	容貌方雅，博通羣書，善談論。
HCH_011_051_000025	家本甲族，親姻多貴仕。
HCH_011_051_000026	點雖不入城府，而遨遊人世，不簪不帶，或駕柴車，躡草矰，恣心所適，致醉而歸，士大夫多慕從之，時人號爲「通隱」。
HCH_011_051_000027	兄求，亦隱居吳郡虎丘山。
HCH_011_051_000028	求卒，點菜食不飲酒，訖于三年，要帶減半。
HCH_011_051_000029	宋泰始末，徵太子洗馬。
HCH_011_051_000030	齊初，累徵中書郎、太子中庶子，並不就。
HCH_011_051_000031	與陳郡謝𤅢、吳國張融、會稽孔稚珪爲莫逆友。
HCH_011_051_000032	從弟遁，以東籬門園居之，稚珪爲築室焉。
HCH_011_051_000033	園內有卞忠貞塚，點植花卉於塚側，每飲必舉酒酹之。
HCH_011_051_000034	初，褚淵、王儉爲宰相，點謂人曰：「我作《齊書贊》，云『淵旣世族，儉亦國華；不賴舅氏，遑恤國家』。」
HCH_011_051_000035	王儉聞之，欲候點，知不可見，乃止。
HCH_011_051_000036	豫章王嶷命駕造點，點從後門遁去。
HCH_011_051_000037	司徒、竟陵王子良欲就見之，點時在法輪寺，子良乃往請，點角巾登席，子良欣悅無已，遺點嵇叔夜酒杯、徐景山酒鐺。
HCH_011_051_000038	點少時嘗患渴痢，積歲不愈。
HCH_011_051_000039	後在吳中石佛寺建講，於講所晝寢，夢一道人形貌非常，授丸一掬，夢中服之，自此而差，時人以爲淳德所感。
HCH_011_051_000040	性通脫，好施與，遠近致遺，一無所逆，隨復散焉。
HCH_011_051_000041	嘗行經朱雀門街，有自車後盜點衣者，見而不言，傍有人擒盜與之，點乃以衣施盜，盜不敢受，點命告有司，盜懼，乃受之，催令急去。
HCH_011_051_000042	點雅有人倫識鑒，多所甄拔，知吳興丘遲於幼童，稱濟陽江淹於寒素，悉如其言。
HCH_011_051_000043	點旣老，又娶魯國孔嗣女，嗣亦隱者也。
HCH_011_051_000044	點雖婚，亦不與妻相見，築別室以處之，人莫喻其意也。
HCH_011_051_000045	吳國張融少時免官，而爲詩有高尚之言，點答詩曰：「昔聞東都日，不在簡書前。」
HCH_011_051_000046	雖戲也，而融久病之。
HCH_011_051_000047	及點後婚，融始爲詩贈點曰：「惜哉何居士，薄暮遘荒婬。」
HCH_011_051_000048	點亦病之，而無以釋也。
