HCH_012_001_000000	太祖開天行道肇紀立極大聖至神仁文義武俊德成功高皇帝，諱元璋，字國瑞，姓朱氏。
HCH_012_001_000001	先世家沛，徙句容，再徙泗州。
HCH_012_001_000002	父世珍，始徙濠州之鍾離。
HCH_012_001_000003	生四子，太祖其季也。
HCH_012_001_000004	母陳氏。
HCH_012_001_000005	方娠，夢神授藥一丸，置掌中有光，吞之寤，口餘香氣。
HCH_012_001_000006	及產，紅光滿室。
HCH_012_001_000007	自是，夜數有光起。
HCH_012_001_000008	鄰里望見，驚以為火，輒奔救，至則無有。
HCH_012_001_000009	比長，姿貌雄傑，奇骨貫頂。
HCH_012_001_000010	志意廓然，人莫能測。
HCH_012_001_000011	至正四年，旱蝗，大饑疫。
HCH_012_001_000012	太祖時年十七，父母兄相繼歿，貧不克葬。
HCH_012_001_000013	里人劉繼祖與之地，乃克葬，即鳳陽陵也。
HCH_012_001_000014	太祖孤無所依，乃入皇覺寺為僧。
HCH_012_001_000015	逾月，遊食合肥。
HCH_012_001_000016	道病，二紫衣人與俱，護視甚至。
HCH_012_001_000017	病已，失所在。
HCH_012_001_000018	凡歷光、固、汝、潁諸州三年，復還寺。
HCH_012_001_000019	當是時，元政不綱，盜賊四起，劉福通奉韓山童假宋後起潁，徐壽輝僭帝號起蘄，李二、彭大、趙均用起徐，眾各數萬，並置將帥，殺吏，侵略郡縣，而方國珍已先起海上。
HCH_012_001_000020	他盜擁兵據地，寇掠甚眾。
HCH_012_001_000021	天下大亂。
HCH_012_001_000022	十二年春二月，定遠人郭子興與其黨孫德崖等起兵濠州。
HCH_012_001_000023	元將徹里不花憚不敢攻，而日俘良民以邀賞。
HCH_012_001_000024	太祖時年二十五，謀避兵，卜於神，去留皆不吉。
HCH_012_001_000025	乃曰：「得毋當舉大事乎？」
HCH_012_001_000026	卜之吉，大喜，遂以閏三月甲戌朔入濠見子興。
HCH_012_001_000027	子興奇其狀貌，留為親兵。
HCH_012_001_000028	戰輒勝。
HCH_012_001_000029	遂妻以所撫馬公女，即高皇后也。
HCH_012_001_000030	子興與德崖齟齬，太祖屢調護之。
