HCH_012_004_000000	恭閔惠皇帝諱允炆。
HCH_012_004_000001	太祖孫，懿文太子第二子也。
HCH_012_004_000002	母妃呂氏。
HCH_012_004_000003	帝生穎慧好學，性至孝。
HCH_012_004_000004	年十四，侍懿文太子疾，晝夜不暫離。
HCH_012_004_000005	更二年，太子薨，居喪毀瘠。
HCH_012_004_000006	太祖撫之曰：「而誠純孝，顧不念我乎。」
HCH_012_004_000007	洪武二十五年九月，立為皇太孫。
HCH_012_004_000008	二十九年，重定諸王見東宮儀制，朝見後於內殿行家人禮，以諸王皆尊屬也。
HCH_012_004_000009	初，太祖命太子省決章奏，太子性仁厚，於刑獄多所減省。
HCH_012_004_000010	至是以命太孫，太孫亦復佐以寬大。
HCH_012_004_000011	嘗請於太祖，遍考禮經，參之歷朝刑法，改定洪武律畸重者七十三條，天下莫不頌德焉。
HCH_012_004_000012	三十一年閏五月，太祖崩。
HCH_012_004_000013	辛卯，即皇帝位。
HCH_012_004_000014	大赦天下，以明年為建文元年。
HCH_012_004_000015	是日，葬高皇帝於孝陵。
HCH_012_004_000016	詔行三年喪。
HCH_012_004_000017	羣臣請以日易月。
HCH_012_004_000018	帝曰：「朕非效古人亮陰不言也。朝則麻冕裳，退則齊衰杖絰，食則饘粥，郊社宗廟如常禮。」
HCH_012_004_000019	遂命定儀以進。
HCH_012_004_000020	丙申，詔文臣五品以上及州縣官各舉所知，非其人者坐之。
HCH_012_004_000021	六月，省幷州縣，革冗員。
HCH_012_004_000022	兵部侍郎齊泰為本部尚書，翰林院修撰黃子澄為太常卿，同參軍國事。
HCH_012_004_000023	秋七月，召漢中府教授方孝孺為翰林院侍講。
HCH_012_004_000024	詔行寬政，赦有罪，蠲逋賦。
HCH_012_004_000025	八月，周王橚有罪，廢為庶人，徙雲南。
HCH_012_004_000026	詔興州、營州、開平諸衞軍全家在伍者，免一人。
HCH_012_004_000027	天下衞所軍單丁者，放為民。
HCH_012_004_000028	九月，雲南總兵官西平侯沐春卒於軍，左副將何福代領其眾。
HCH_012_004_000029	冬十一月，工部侍郎張昺為北平布政使，謝貴、張信掌北平都指揮使司，察燕陰事。
HCH_012_004_000030	詔求直言，舉山林才德之士。
HCH_012_004_000031	十二月癸卯，何福破斬刀幹孟，麓川平。
HCH_012_004_000032	是月，賜天下明年田租之半，釋黥軍及囚徒還鄉里。
HCH_012_004_000033	是年，暹羅、占城入貢。
HCH_012_004_000034	建文元年春正月癸酉，受朝，不舉樂。
HCH_012_004_000035	庚辰，大祀天地於南郊，奉太祖配。
HCH_012_004_000036	修太祖實錄。
HCH_012_004_000037	二月，追尊皇考曰孝康皇帝，廟號興宗，妣常氏曰孝康皇后。
HCH_012_004_000038	尊母妃呂氏曰皇太后，冊妃馬氏為皇后。
