HCH_012_008_000000	仁宗敬天體道純誠至德弘文欽武章聖達孝昭皇帝，諱高熾，成祖長子也。
HCH_012_008_000001	母仁孝文皇后，夢冠冕執圭者上謁，寤而生帝。
HCH_012_008_000002	幼端重沉靜，言動有經。
HCH_012_008_000003	稍長習射，發無不中。
HCH_012_008_000004	好學問，從儒臣講論不輟。
HCH_012_008_000005	洪武二十八年，冊為燕世子。
HCH_012_008_000006	嘗命與秦、晉、周三世子分閱衞士，還獨後。
HCH_012_008_000007	問之。
HCH_012_008_000008	對曰：「旦寒甚，俟朝食而後閱，故後。」
HCH_012_008_000009	又命分閱章奏，獨取切軍民利病者白之。
HCH_012_008_000010	或文字謬誤，不以聞。
HCH_012_008_000011	太祖指示之曰：「兒忽之耶？」
HCH_012_008_000012	對曰：「不敢忽，顧小過不足瀆天聽。」
HCH_012_008_000013	又嘗問：「堯、湯時水旱，百姓奚恃？」
HCH_012_008_000014	對曰：「恃聖人有恤民之政。」
HCH_012_008_000015	太祖喜曰：「孫有君人之識矣。」
HCH_012_008_000016	成祖舉兵，世子守北平，善拊士卒，以萬人拒李景隆五十萬眾，城賴以全。
HCH_012_008_000017	先是，郡王高煦、高燧俱以慧黠有寵於成祖。
HCH_012_008_000018	而高煦從軍有功，宦寺黃儼等復黨高燧，陰謀奪嫡，譖世子。
HCH_012_008_000019	會朝廷賜世子書，為離間。
HCH_012_008_000020	世子不啟緘，馳上之。
HCH_012_008_000021	而儼先潛報成祖曰：「世子與朝廷通，使者至矣。」
HCH_012_008_000022	無何，世子所遣使亦至。
HCH_012_008_000023	成祖發書視之，乃歎曰：「幾殺吾子。」
HCH_012_008_000024	成祖踐阼，以北平為北京，仍命居守。
HCH_012_008_000025	永樂二年二月，始召至京，立為皇太子。
HCH_012_008_000026	成祖數北征，命之監國，裁決庶政。
HCH_012_008_000027	四方水旱饑饉，輒遣振恤，仁聞大著。
HCH_012_008_000028	而高煦、高燧與其黨日伺隙讒構。
HCH_012_008_000029	或問太子：「亦知有讒人乎？」
HCH_012_008_000030	曰：「不知也，吾知盡子職而已。」
HCH_012_008_000031	十年，北征還，以太子遣使後期，且書奏失辭，悉徵宮僚黃淮等下獄。
HCH_012_008_000032	十五年，高煦以罪徙樂安。
HCH_012_008_000033	明年，黃儼等復譖太子擅赦罪人，宮僚多坐死者。
HCH_012_008_000034	侍郎胡濙奉命察之，密疏太子誠敬孝謹七事以聞，成祖意乃釋。
HCH_012_008_000035	其後黃儼等謀立高燧，事覺伏誅，高燧以太子力解得免，自是太子始安。
HCH_012_008_000036	二十二年七月，成祖崩於榆木川。
HCH_012_008_000037	八月甲辰，遺詔至，遣皇太孫迎喪開平。
HCH_012_008_000038	丁未，出夏原吉等於獄。
HCH_012_008_000039	丁巳，即皇帝位。
HCH_012_008_000040	大赦天下，以明年為洪熙元年。
HCH_012_008_000041	罷西洋寶船、迤西市馬及雲南、交阯採辦。
HCH_012_008_000042	戊午，復夏原吉、吳中官。
HCH_012_008_000043	己未，武安侯鄭亨鎮大同，保定侯孟瑛鎮交阯，襄城伯李隆鎮山海，武進伯朱榮鎮遼東。
HCH_012_008_000044	復設三公、三孤官，以公、侯、伯、尚書兼之。
HCH_012_008_000045	進楊榮太常寺卿，金幼孜戶部侍郎，兼大學士如故，楊士奇為禮部左侍郎兼華蓋殿大學士，黃淮通政使兼武英殿大學士，俱掌內制；楊溥為翰林學士。
HCH_012_008_000046	辛酉，鎮遠侯顧興祖充總兵官，討廣西叛蠻。
HCH_012_008_000047	甲子，汰冗官。
HCH_012_008_000048	乙丑，召漢王高煦赴京。
HCH_012_008_000049	戊辰，官吏謫隸軍籍者放還鄉。
HCH_012_008_000050	己巳，詔文臣年七十致仕。
HCH_012_008_000051	九月癸酉，交阯都指揮方政與黎利戰於茶籠州，敗績，指揮同知伍雲力戰死。
HCH_012_008_000052	丙子，召尚書黃福於交阯。
HCH_012_008_000053	庚辰，河溢開封，免稅糧，遣右都御史王彰撫恤之。
HCH_012_008_000054	壬午，敕自今官司所用物料於所產地計直市之，科派病民者罪不宥。
HCH_012_008_000055	癸未，禮部尚書呂震請除服，不許。
HCH_012_008_000056	乙酉，增諸王歲祿。
HCH_012_008_000057	丙戌，以風憲官備外任，命給事中蕭奇等三十五人為州縣官。
HCH_012_008_000058	丁亥，黎利寇清化，都指揮同知陳忠戰死。
HCH_012_008_000059	戊子，始設南京守備，以襄城伯李隆為之。
HCH_012_008_000060	乙未，散畿內民所養官馬於諸衞所。
HCH_012_008_000061	戊戌，賜吏部尚書蹇義及楊士奇、楊榮、金幼孜銀章各一，曰「繩愆糾繆」，諭以協心贊務，凡有闕失當言者，用印密封以聞。
HCH_012_008_000062	冬十月壬寅，罷市民間金銀，革兩京戶部行用庫。
HCH_012_008_000063	癸卯，詔天下都司衞所修治城池。
HCH_012_008_000064	戊申，通政使請以四方雨澤章奏送給事中收貯。
HCH_012_008_000065	帝曰：「祖宗令天下奏雨澤，欲知水旱，以施恤民之政。積之通政司，既失之矣，今又令收貯。是欲上之人終不知也。自今奏至即以聞。」
HCH_012_008_000066	己酉，冊妃張氏為皇后。
HCH_012_008_000067	壬子，立長子瞻基為皇太子。
HCH_012_008_000068	封子瞻埈為鄭王，瞻墉越王，瞻墡襄王，瞻堈荊王，瞻墺淮王，瞻塏滕王，瞻垍梁王，瞻埏衞王。
HCH_012_008_000069	乙卯，詔中外官舉賢才，嚴舉主連坐法。
HCH_012_008_000070	丁巳，令三法司會大學士、府、部、通政、六科於承天門錄囚，著為令。
HCH_012_008_000071	庚申，增京官及軍士月廩。
HCH_012_008_000072	丁卯，擢監生徐永溍等二十人為給事中。
HCH_012_008_000073	十一月壬申朔，詔禮部：「建文諸臣家屬在教坊司、錦衣衞、浣衣局及習匠、功臣家為奴者，悉宥為民，還其田土。言事謫戍者亦如之。」
HCH_012_008_000074	癸酉，詔有司：「條政令之不便民者以聞。凡被災不即請振者，罪之。」
HCH_012_008_000075	阿魯台來貢馬。
HCH_012_008_000076	甲戌，詔羣臣言時政闕失。
HCH_012_008_000077	乙亥，赦兀良哈罪。
HCH_012_008_000078	始命近畿諸衞官軍更番詣京師操練。
HCH_012_008_000079	丙子，遣御史巡察邊衞。
HCH_012_008_000080	癸未，遣御史分巡天下，考察官吏。
HCH_012_008_000081	丙戌，賜戶部尚書夏原吉「繩愆糾繆」銀章。
HCH_012_008_000082	己丑，禮部奏冬至節請受賀，不許。
HCH_012_008_000083	庚寅，敕諸將嚴邊備。
HCH_012_008_000084	辛卯，禁所司擅役屯田軍士。
HCH_012_008_000085	壬辰，都督方政同榮昌伯陳智鎮交阯。
HCH_012_008_000086	是月，諭蹇義、楊士奇、夏原吉、楊榮、金幼孜曰：「前世人主，或自尊大，惡聞直言，臣下相與阿附，以至於敗。朕與卿等當用為戒。」
HCH_012_008_000087	又諭士奇曰：「頃羣臣頗懷忠愛，朕有過方自悔，而進言者已至，良愜朕心。」
HCH_012_008_000088	十二月癸卯，宥建文諸臣外親全家戍邊者，留一人，餘悉放還。
HCH_012_008_000089	辛亥，揭天下三司官姓名於奉天門西序。
HCH_012_008_000090	癸丑，免被災稅糧。
HCH_012_008_000091	庚申，葬文皇帝於長陵。
HCH_012_008_000092	丙寅，鎮遠侯顧興祖破平樂、潯州蠻。
HCH_012_008_000093	是年，于闐、琉球、占城、哈密、古麻剌朗、滿剌加、蘇祿、瓦剌入貢。
HCH_012_008_000094	洪熙元年春正月壬申朔，御奉天門受朝，不舉樂。
HCH_012_008_000095	乙亥，敕內外羣臣修舉職業。
HCH_012_008_000096	己卯，享太廟。
HCH_012_008_000097	建弘文閣，命儒臣入直，楊溥掌閣事。
HCH_012_008_000098	癸未，以時雪不降，敕羣臣修省。
HCH_012_008_000099	丙戌，大祀天地於南郊，奉太祖、太宗配。
HCH_012_008_000100	壬辰，朝臣予告歸省者賜鈔有差，著為令。
HCH_012_008_000101	己亥，布政使周幹、按察使胡概、參政葉春巡視南畿、浙江。
HCH_012_008_000102	二月辛丑，頒將軍印於諸邊將。
HCH_012_008_000103	戊申，祭社稷。
HCH_012_008_000104	命太監鄭和守備南京。
HCH_012_008_000105	丙辰，耕耤田。
HCH_012_008_000106	丙寅，太宗神主祔太廟。
HCH_012_008_000107	是月，南京地屢震。
HCH_012_008_000108	三月壬申，前光祿署丞權謹以孝行擢文華殿大學士。
HCH_012_008_000109	丁丑，求直言。
HCH_012_008_000110	戊子，隆平饑，戶部請以官麥貸之。
HCH_012_008_000111	帝曰：「即振之，何貸為。」
HCH_012_008_000112	己丑，詔曰：「刑者所以禁暴止邪，導民於善，非務誅殺也。吏或深文傅會，以致冤濫，朕深憫之。自今其悉依律擬罪。或朕過於嫉惡，法外用刑，法司執奏。五奏不允，同三公、大臣執奏，必允乃已。諸司不得鞭囚背及加人宮刑。有自宮者以不孝論。非謀反，勿連坐親屬。古之盛世，採聽民言，用資戒儆。今奸人往往摭拾，誣為誹謗，法吏刻深，鍛鍊成獄。刑之不中，民則無措，其除誹謗禁，有告者一切勿治。」
HCH_012_008_000113	庚寅，陽武侯薛祿為鎮朔大將軍，率師巡開平、大同邊。
HCH_012_008_000114	辛卯，參將安平伯李安與榮昌伯陳智同鎮交阯。
HCH_012_008_000115	戊戌，將還都南京，詔北京諸司悉稱行在，復北京行部及行後軍都督府。
HCH_012_008_000116	是月，南京地屢震。
HCH_012_008_000117	夏四月壬寅，帝聞山東及淮、徐民乏食，有司徵夏稅方急，乃御西角門詔大學士楊士奇草詔，免今年夏稅及秋糧之半。
HCH_012_008_000118	士奇言：「上恩至矣，但須戶、工二部預聞。」
HCH_012_008_000119	帝曰：「救民之窮當如救焚拯溺，不可遲疑。有司慮國用不足，必持不決之意。」
HCH_012_008_000120	趣命中官具楮筆，令士奇就門樓書詔。
HCH_012_008_000121	帝覽畢，即用璽付外行之。
