HCH_012_009_000000	宣宗憲天崇道英明神聖欽文昭武寬仁純孝章皇帝，諱瞻基，仁宗長子也。
HCH_012_009_000001	母誠孝昭皇后。
HCH_012_009_000002	生之前夕，成祖夢太祖授以大圭曰：「傳之子孫，永世其昌。」
HCH_012_009_000003	既彌月，成祖見之曰：「兒英氣溢面，符吾夢矣。」
HCH_012_009_000004	比長，嗜書，智識傑出。
HCH_012_009_000005	永樂七年，從幸北京，令觀農具及田家衣食，作務本訓授之。
HCH_012_009_000006	八年，成祖征沙漠，命留守北京。
HCH_012_009_000007	九年十一月，立為皇太孫，始冠。
HCH_012_009_000008	自是，巡幸征討皆從。
HCH_012_009_000009	嘗命學士胡廣等即軍中為太孫講論經史。
HCH_012_009_000010	每語仁宗曰：「此他日太平天子也。」
HCH_012_009_000011	仁宗即位，立為皇太子。
HCH_012_009_000012	夏四月，以南京地屢震，命往居守。
HCH_012_009_000013	五月庚辰，仁宗不豫，璽書召還。
HCH_012_009_000014	六月辛丑，還至良鄉，受遺詔，入宮發喪。
HCH_012_009_000015	庚戌，即皇帝位。
HCH_012_009_000016	大赦天下，以明年為宣德元年。
HCH_012_009_000017	辛亥，諭邊將嚴守備。
HCH_012_009_000018	甲寅，趣中官在外採辦者還，罷所市物。
HCH_012_009_000019	秋七月乙亥，尊皇后為皇太后，立妃胡氏為皇后。
HCH_012_009_000020	辛卯，鎮遠侯顧興祖討大藤峽蠻，平之。
HCH_012_009_000021	乙未，諭法司慎刑獄。
HCH_012_009_000022	閏月戊申，安順伯薛貴、清平伯吳成、都督馬英、都指揮梁成帥師巡邊。
HCH_012_009_000023	乙丑，楊溥入直文淵閣。
HCH_012_009_000024	八月戊辰，都指揮李英討安定曲先叛番，大敗之，安定王桑兒加失夾詣闕謝罪。
HCH_012_009_000025	壬申，詔內外羣臣舉廉潔公正堪牧民者。
HCH_012_009_000026	癸未，大理卿胡概、參政葉春巡撫南畿、浙江。
HCH_012_009_000027	設巡撫自此始。
HCH_012_009_000028	九月壬寅，葬昭皇帝於獻陵。
HCH_012_009_000029	冬十月戊寅，南京地震。
HCH_012_009_000030	戊子，敕公、侯、伯、五府、六部、大學士、給事中審覆重囚。
HCH_012_009_000031	十一月戊戌，顧興祖討平思恩蠻。
HCH_012_009_000032	辛酉，薛祿為鎮朔大將軍巡邊。
HCH_012_009_000033	十二月甲申，顧興祖討平宜山蠻。
HCH_012_009_000034	是年，哈密回回、滿剌撒丁、占城、琉球中山、爪哇、烏斯藏、瓦剌、浡泥入貢。
HCH_012_009_000035	宣德元年春正月癸卯，享太廟。
HCH_012_009_000036	丁未，大祀天地於南郊。
HCH_012_009_000037	癸丑，赦死罪以下運糧宣府自贖。
HCH_012_009_000038	己未，遣侍郎黃宗載十五人清理天下軍伍。
HCH_012_009_000039	後遣使，著為令。
HCH_012_009_000040	二月戊辰，祭社稷。
HCH_012_009_000041	丁丑，耕耤田。
HCH_012_009_000042	丙戌，謁長陵、獻陵。
HCH_012_009_000043	丁亥，還宮。
HCH_012_009_000044	三月己亥，榮昌伯陳智、都督方政討黎利，敗績於茶籠州，乂安知府琴彭死之。
HCH_012_009_000045	癸丑，行在禮部侍郎張瑛兼華蓋殿大學士，直文淵閣。
HCH_012_009_000046	夏四月乙丑，成山侯王通為征夷將軍充總兵官，討黎利，尚書陳洽參贊軍務，陳智、方政奪官從立功。
HCH_012_009_000047	五月甲午朔，錄囚。
HCH_012_009_000048	丙申，詔赦交阯，許黎利自新。
HCH_012_009_000049	丙午，敕郡縣瘞遺骸。
HCH_012_009_000050	庚申，召薛祿還。
HCH_012_009_000051	秋七月癸巳，京師地震。
HCH_012_009_000052	乙未，免山東夏稅。
HCH_012_009_000053	己亥，諭六科，凡中官傳旨，必覆奏始行。
HCH_012_009_000054	壬子，罷湖廣採木。
HCH_012_009_000055	八月壬戌，漢王高煦反。
HCH_012_009_000056	丙寅，宥武臣殊死以下罪，復其官。
HCH_012_009_000057	己巳，親征高煦，命鄭王瞻埈、襄王瞻墡居守，陽武侯薛祿、清平伯吳成將前鋒，大賚五軍將士。
HCH_012_009_000058	辛未，發京師。
HCH_012_009_000059	辛巳，至樂安，帝兩遣書諭降，又以敕繫矢射城中諭禍福。
HCH_012_009_000060	壬午，高煦出降。
HCH_012_009_000061	癸未，改樂安曰武定州。
HCH_012_009_000062	乙酉，班師。
HCH_012_009_000063	九月丙申，至自武定州，錮高煦於西內。
HCH_012_009_000064	戊戌，法司鞫高煦同謀者，詞連晉王、趙王，詔勿問。
HCH_012_009_000065	冬十月戊寅，釋李時勉，復為侍讀。
HCH_012_009_000066	十一月乙未，成山侯王通擊黎利於應平，敗績，尚書陳洽死之。
HCH_012_009_000067	十二月辛酉，免六師所過秋糧。
HCH_012_009_000068	辛未，錄囚，宥免三千餘人。
HCH_012_009_000069	乙酉，征南將軍總兵官黔國公沐晟帥興安伯徐亨、新寧伯譚忠，征虜副將軍安遠侯柳升帥保定伯梁銘、都督崔聚，由雲南、廣西分道討黎利，兵部尚書李慶參贊軍務。
HCH_012_009_000070	是年，爪哇、暹羅、琉球、蘇門答剌、滿剌加、白葛達、撒馬兒罕、土魯番、哈密、烏斯藏入貢。
HCH_012_009_000071	二年春正月庚子，大祀天地於南郊。
HCH_012_009_000072	丁未，有司奏歲問囚數。
HCH_012_009_000073	帝謂百姓輕犯法，由於教化未行，命申教化。
HCH_012_009_000074	二月癸亥，行在戶部侍郎陳山為本部尚書兼謹身殿大學士，直文淵閣。
HCH_012_009_000075	乙丑，黎利攻交阯城，王通擊敗之。
HCH_012_009_000076	三月辛卯，賜馬愉等進士及第、出身有差。
HCH_012_009_000077	夏四月庚申，黎利陷昌江，都指揮李任，指揮顧福、劉順，知府劉子輔，中官馮智死之。
HCH_012_009_000078	甲子，晉王濟熿有罪，廢為庶人。
HCH_012_009_000079	己巳，王通許黎利和。
HCH_012_009_000080	五月癸巳，薛祿督餉開平。
HCH_012_009_000081	己亥，仁宗神主祔太廟。
HCH_012_009_000082	丙午，錄囚。
HCH_012_009_000083	六月戊寅，錄囚。
HCH_012_009_000084	秋七月己亥，黎利陷隘留關，鎮遠侯顧興祖擁兵不救，逮治之。
HCH_012_009_000085	庚子，錄囚。
HCH_012_009_000086	辛丑，命都督同知陳懷充總兵官，帥師討松潘蠻。
HCH_012_009_000087	丁未，薛祿敗敵於開平。
HCH_012_009_000088	八月甲子，黃淮致仕。
HCH_012_009_000089	免兩京、山西、河南州縣被災稅糧。
HCH_012_009_000090	九月壬辰，錄囚。
HCH_012_009_000091	乙未，柳升師次倒馬坡，遇伏戰死。
HCH_012_009_000092	是日，保定伯梁銘病卒。
HCH_012_009_000093	丙申，尚書李慶病卒。
HCH_012_009_000094	師大潰，參將崔聚，郎中史安，主事陳鏞、李宗昉死之。
HCH_012_009_000095	冬十月戊寅，王通棄交阯，與黎利盟。
HCH_012_009_000096	十一月乙酉，赦黎利，遣侍郎李琦、羅汝敬立陳暠為安南國王，悉召文武吏士還。
HCH_012_009_000097	己亥，以皇長子生大赦天下，免明年稅糧三之一。
HCH_012_009_000098	十二月丁丑，振陝西饑，幷給絹布十五萬疋。
HCH_012_009_000099	是年，爪哇、占城、暹羅、琉球、瓦剌、哈密、亦力把里、撒馬兒罕入貢。
HCH_012_009_000100	三年春正月甲午，大祀天地於南郊。
HCH_012_009_000101	丙申，陳懷平松潘蠻。
HCH_012_009_000102	二月戊午，立皇長子祁鎮為皇太子。
HCH_012_009_000103	是月，作帝訓成。
HCH_012_009_000104	三月癸未，廢皇后胡氏，立貴妃孫氏為皇后。
HCH_012_009_000105	壬辰，錄囚。
HCH_012_009_000106	夏四月癸亥，敕凡官民建言章疏，尚書、都御史、給事中會議以聞，勿諱。
HCH_012_009_000107	閏月壬寅，錄囚。
HCH_012_009_000108	免山西旱災稅糧。
HCH_012_009_000109	甲辰，命有司振卹。
HCH_012_009_000110	庚戌，論棄交阯罪，王通等及布政使弋謙、中官山壽、馬騏下獄論死，籍其家，鎮遠侯顧興祖幷下獄。
HCH_012_009_000111	五月壬子，李琦、羅汝敬還。
HCH_012_009_000112	黎利表陳暠卒，子孫幷絕，乞守國俟命。
HCH_012_009_000113	辛酉，錄囚。
HCH_012_009_000114	己巳，復遣羅汝敬等諭黎利立陳氏後。
HCH_012_009_000115	辛未，贈交阯死事諸臣。
HCH_012_009_000116	壬申，免北京被災夏稅。
HCH_012_009_000117	六月丙戌，免陝西被災夏稅。
HCH_012_009_000118	丁未，都御史劉觀巡視河道。
HCH_012_009_000119	秋七月戊辰，錄囚。
HCH_012_009_000120	八月辛卯，罷北京行部及行後軍都督府。
HCH_012_009_000121	丁未，帝自將巡邊。
HCH_012_009_000122	九月辛亥，次石門驛。
HCH_012_009_000123	兀良哈寇會州，帝帥精卒三千人往擊之。
HCH_012_009_000124	乙卯，出喜峰口，擊寇於寬河。
HCH_012_009_000125	帝親射其前鋒，殪三人，兩翼軍並發，大破之。
HCH_012_009_000126	寇望見黃龍旂，下馬羅拜請降，皆生縛之，斬渠酋。
HCH_012_009_000127	甲子，班師。
HCH_012_009_000128	癸酉，至自喜峰口。
HCH_012_009_000129	冬十一月癸酉，錦衣指揮鍾法保請採珠東莞，帝曰：「是欲擾民以求利也」，下之獄。
HCH_012_009_000130	十二月庚子，廣西總兵官山雲討擒忻城蠻。
HCH_012_009_000131	是年，占城、暹羅、爪哇、琉球、瓦剌、哈密、安南、曲先、土魯番、亦力把里、撒馬兒罕入貢。
HCH_012_009_000132	四年春正月，兩京地震。
HCH_012_009_000133	己未，大祀天地於南郊。
HCH_012_009_000134	二月己丑，南京獻騶虞二，禮部請表賀，不許。
HCH_012_009_000135	三月甲戌，遣李琦再諭黎利訪立陳氏後。
HCH_012_009_000136	夏四月辛巳，山雲討平柳、潯蠻。
HCH_012_009_000137	戊子，工部尚書黃福、平江伯陳瑄經略漕運。
HCH_012_009_000138	五月壬子，錄囚。
HCH_012_009_000139	六月甲午，罷文吏犯贓贖罪例。
HCH_012_009_000140	己亥，寇犯開平，鎮撫張信等戰死。
HCH_012_009_000141	庚子，薛祿督餉開平。
HCH_012_009_000142	秋七月己未，幸文淵閣。
HCH_012_009_000143	八月己卯，起復楊溥。
HCH_012_009_000144	九月癸亥，釋顧興祖於獄。
HCH_012_009_000145	冬十月庚辰，幸文淵閣。
HCH_012_009_000146	癸未，以天寒諭法司錄囚。
HCH_012_009_000147	丙戌，製猗蘭操賜廷臣，諭以薦賢為國之道。
HCH_012_009_000148	庚寅，張瑛、陳山罷。
HCH_012_009_000149	甲午，閱武於近郊。
HCH_012_009_000150	乙未，獵於峪口。
HCH_012_009_000151	戊戌，還宮。
HCH_012_009_000152	十一月癸卯，薛祿及恭順侯吳克忠帥師巡宣府。
HCH_012_009_000153	十二月乙亥，京師地震。
HCH_012_009_000154	壬辰，罷中官松花江造船。
HCH_012_009_000155	是年，爪哇、占城、琉球、榜葛剌、哈密、土魯番、亦力把里、撒馬兒罕入貢。
HCH_012_009_000156	五年春正月癸丑，大祀天地於南郊。
HCH_012_009_000157	戊辰，尚書夏原吉卒。
HCH_012_009_000158	二月壬辰，罷工部採木。
HCH_012_009_000159	癸巳，頒寬卹之令：省災傷，寬馬政，免逋欠薪芻，招流民賜復一年，罷採買，減官田舊科十之三，卹工匠，禁司倉官包納，戒法司慎刑獄。
HCH_012_009_000160	乙未，奉皇太后謁陵。
HCH_012_009_000161	三月戊申，道見耕者，下馬問農事，取耒三推，顧侍臣曰：「朕三推已不勝勞，況吾民終歲勤動乎。」
HCH_012_009_000162	命賜所過農民鈔。
HCH_012_009_000163	己酉，還宮。
HCH_012_009_000164	辛亥，李琦還，黎利稱陳氏無後，上表請封。
HCH_012_009_000165	丙辰，免山西去歲被災田租。
HCH_012_009_000166	丁巳，賜林震等進士及第、出身有差。
HCH_012_009_000167	夏四月戊寅，薛祿帥師築赤城、鵰鶚、雲州、獨石、團山城堡。
HCH_012_009_000168	五月癸卯，追奪贓吏誥敕，著為令。
HCH_012_009_000169	丙辰，修預備倉，出官錢收糴備荒。
HCH_012_009_000170	癸亥，擢郎中況鍾、御史何文淵九人為知府，賜敕遣之。
HCH_012_009_000171	六月己卯，遣官捕近畿蝗，諭戶部曰：「往年捕蝗之使害民不減於蝗，宜知此弊。」
HCH_012_009_000172	因作捕蝗詩示之。
HCH_012_009_000173	秋七月癸亥，甄別守令。
HCH_012_009_000174	八月己巳朔，日食，陰雨不見，禮官請表賀，不許。
HCH_012_009_000175	九月丙午，擢御史于謙、長史周忱六人為侍郎，巡撫兩京、山東、山西、河南、江西、浙江、湖廣。
HCH_012_009_000176	乙卯，巡近郊。
HCH_012_009_000177	己未，還宮。
HCH_012_009_000178	冬十月乙亥，阿魯台犯遼東，遼海衞指揮同知皇甫斌力戰死。
HCH_012_009_000179	丙子，巡近郊。
HCH_012_009_000180	己卯，獵於坌道。
HCH_012_009_000181	丙戌，至洗馬林，遍閱城堡兵備。
HCH_012_009_000182	壬辰，還宮。
HCH_012_009_000183	十二月癸巳，曲先叛番平。
HCH_012_009_000184	閏月己未，敕內外諸司，久淹獄囚者罪之。
HCH_012_009_000185	是年，占城、琉球、爪哇、瓦剌、哈密、罕東、土魯番、撒馬兒罕、亦力把里入貢。
HCH_012_009_000186	六年春正月丁丑，大祀天地於南郊。
HCH_012_009_000187	庚辰，大雨雷電。
HCH_012_009_000188	二月丁酉，侍郎羅汝敬督陝西屯田。
