HCH_012_018_000000	二十二年春正月丙午朔，日有食之。
HCH_012_018_000001	三月庚戌，復遣使採木湖廣。
HCH_012_018_000002	是春，俺答屢入塞。
HCH_012_018_000003	秋八月，犯延綏，總兵官吳瑛等擊敗之。
HCH_012_018_000004	冬十月，朵顏入寇，殺守備陳舜。
HCH_012_018_000005	十二月乙酉，免南畿被災稅糧。
HCH_012_018_000006	是年，占城、土魯番、撒馬兒罕、天方、烏斯藏入貢。
HCH_012_018_000007	二十三年春正月丙寅，俺答犯黃崖口。
HCH_012_018_000008	二月戊寅，犯大水谷。
HCH_012_018_000009	三月癸丑，犯龍門所。
HCH_012_018_000010	丁巳，賜秦鳴雷等進士及第、出身有差。
HCH_012_018_000011	秋七月，俺答犯大同，總兵官周尚文戰於黑山，敗之。
HCH_012_018_000012	八月甲午，翟鑾罷。
HCH_012_018_000013	九月癸卯，免浙江被災稅糧。
HCH_012_018_000014	丁未，吏部尚書許讚兼文淵閣大學士，禮部尚書張璧兼東閣大學士，預機務。
HCH_012_018_000015	壬子，振湖廣災。
HCH_012_018_000016	冬十月戊辰，免河南被災稅糧。
HCH_012_018_000017	甲戌，小王子入萬全右衞。
HCH_012_018_000018	戊寅，掠蔚州，至於完縣。
HCH_012_018_000019	京師戒嚴。
HCH_012_018_000020	乙酉，逮總督宣大兵部尚書翟鵬、巡撫薊鎮僉都御史朱方下獄，鵬謫戍，方杖死。
HCH_012_018_000021	十一月庚子，京師解嚴。
HCH_012_018_000022	加方士陶仲文少師。
HCH_012_018_000023	十二月丙子，振江西災。
HCH_012_018_000024	是年，安南入貢，日本以無表卻之。
HCH_012_018_000025	二十四年春二月戊申，詔流民復業，予牛種，開墾閒田者給復十年。
HCH_012_018_000026	三月壬午，逮總督宣大兵部侍郎張漢下獄，謫戍。
HCH_012_018_000027	夏五月壬戌朔，日有食之。
HCH_012_018_000028	六月壬辰，太廟成。
HCH_012_018_000029	是夏，免畿輔、山西、陝西被災稅糧。
HCH_012_018_000030	秋七月壬戌，有事於太廟，赦徒罪以下。
HCH_012_018_000031	八月丙午，瘞暴骸。
HCH_012_018_000032	己酉，張璧卒。
HCH_012_018_000033	庚戌，俺答犯松子嶺，殺守備張文瀚。
HCH_012_018_000034	是月，犯大同，參將張鳳、指揮劉欽等戰死。
HCH_012_018_000035	九月丁丑，召夏言入閣。
HCH_012_018_000036	冬十一月辛巳，許讚罷。
HCH_012_018_000037	是年，安南、琉球、烏斯藏入貢。
HCH_012_018_000038	二十五年春三月戊辰，四川白草番亂。
HCH_012_018_000039	夏五月戊辰，俺答欵大同塞，邊將殺其使。
HCH_012_018_000040	六月甲辰，犯宣府，千戶汪洪戰死。
HCH_012_018_000041	秋七月癸酉，以醴泉出承華殿，廷臣表賀，停諸司封事二十日。
HCH_012_018_000042	嗣後，慶賀齋祀悉停封奏。
HCH_012_018_000043	是月，俺答犯延安、慶陽。
HCH_012_018_000044	八月壬子，免山東被災稅糧。
HCH_012_018_000045	九月，俺答犯寧夏。
HCH_012_018_000046	冬十月丁亥，犯清平堡，遊擊高極戰死。
HCH_012_018_000047	癸巳，代府奉國將軍充灼謀反，伏誅。
HCH_012_018_000048	甲午，殺故建昌侯張延齡。
HCH_012_018_000049	十二月丁未，免河南被災稅糧。
HCH_012_018_000050	是年，土魯番入貢。
HCH_012_018_000051	二十六年春三月庚午，賜李春芳等進士及第、出身有差。
