HCH_012_019_000000	穆宗契天隆道淵懿寬仁顯文光武純德弘孝莊皇帝，諱載垕，世宗第三子也。
HCH_012_019_000001	母杜康妃。
HCH_012_019_000002	嘉靖十八年二月封裕王，與莊敬太子、景恭王同日受冊。
HCH_012_019_000003	已而莊敬薨，世宗以王長且賢，繼序已定，而中外危疑，屢有言者，乃令景王之國。
HCH_012_019_000004	四十五年十二月庚子，世宗崩。
HCH_012_019_000005	壬子，即皇帝位。
HCH_012_019_000006	以明年為隆慶元年，大赦天下。
HCH_012_019_000007	先朝政令不便者，皆以遺詔改之。
HCH_012_019_000008	召用建言得罪諸臣，死者卹錄。
HCH_012_019_000009	方士悉付法司治罪，罷一切齋醮工作及例外採買。
HCH_012_019_000010	免明年天下田賦之半，及嘉靖四十三年以前逋賦。
HCH_012_019_000011	釋戶部主事海瑞於獄。
HCH_012_019_000012	是年，土魯番入貢。
HCH_012_019_000013	隆慶元年春正月丙寅，罷睿宗明堂配享。
HCH_012_019_000014	戊辰，復鄭王厚烷爵。
HCH_012_019_000015	丁丑，追尊母康妃為孝恪皇太后。
HCH_012_019_000016	二月戊子，祭大社大稷。
HCH_012_019_000017	乙未，冊妃陳氏為皇后。
HCH_012_019_000018	吏部侍郎陳以勤為禮部尚書兼文淵閣大學士，禮部侍郎張居正為吏部左侍郎兼東閣大學士，預機務。
HCH_012_019_000019	三月壬申，葬肅皇帝於永陵。
HCH_012_019_000020	乙酉，土蠻犯遼陽，指揮王承德戰歿。
HCH_012_019_000021	夏四月丙戌朔，享太廟。
HCH_012_019_000022	丙午，禁屬國毋獻珍禽異獸。
HCH_012_019_000023	丁未，御經筵。
HCH_012_019_000024	五月己未，黃河決口工成。
HCH_012_019_000025	辛酉，祀地於北郊。
HCH_012_019_000026	丁丑，高拱罷。
HCH_012_019_000027	六月戊戌，以霪雨修省，素服避殿，御皇極門視事。
HCH_012_019_000028	是月，新河復決。
HCH_012_019_000029	秋七月辛巳，招撫山東、河南被災流民，復五年。
HCH_012_019_000030	八月癸未朔，釋奠於先師孔子。
HCH_012_019_000031	九月乙卯，俺答寇大同，詔嚴戰守。
HCH_012_019_000032	癸亥，俺答陷石州，殺知州王亮采，掠交城、文水。
HCH_012_019_000033	壬申，土蠻犯薊鎮，掠昌黎、盧龍，至於灤河。
HCH_012_019_000034	詔宣大總督侍郎王之誥還駐懷來，巡撫都御史曹亨駐兵通州。
HCH_012_019_000035	甲戌，郭朴致仕。
HCH_012_019_000036	免襄陽、鄖陽被災秋糧。
HCH_012_019_000037	乙亥，總兵官李世忠援永平，與敵戰於撫寧，京師戒嚴。
HCH_012_019_000038	冬十月丙戌，寇退，京師解嚴。
HCH_012_019_000039	甲辰，諭羣臣議邊防事宜。
HCH_012_019_000040	寧夏總兵官雷龍出塞邀擊河套部，敗之。
HCH_012_019_000041	十一月癸亥，祀天於南郊。
HCH_012_019_000042	是年，廣東賊大起。
HCH_012_019_000043	琉球入貢。
HCH_012_019_000044	二年春正月己卯，給事中石星疏陳六事，杖闕下，斥為民。
HCH_012_019_000045	二月丁酉，寇犯柴溝堡，守備韓尚忠戰死。
HCH_012_019_000046	己亥，耕耤田。
HCH_012_019_000047	丁未，如天壽山，謁長陵、永陵。
HCH_012_019_000048	庚戌，還宮，免所過田租有差。
HCH_012_019_000049	三月辛酉，立皇子翊鈞為皇太子，詔赦天下。
HCH_012_019_000050	乙丑，廣西總兵官俞大猷討廣東賊。
HCH_012_019_000051	戊辰，賜羅萬化等進士及第、出身有差。
HCH_012_019_000052	丙子，幸南海子。
HCH_012_019_000053	戊寅，京師地震，命百官修省。
HCH_012_019_000054	夏六月庚辰，遣使兩畿錄囚。
