HCH_012_022_000000	熹宗達天闡道敦孝篤友章文襄武靖穆莊勤悊皇帝，諱由校，光宗長子也。
HCH_012_022_000001	母選侍王氏。
HCH_012_022_000002	萬曆三十三年十一月，神宗以元孫生，詔告天下。
HCH_012_022_000003	四十八年，神宗遺詔皇長孫及時冊立，未及行。
HCH_012_022_000004	九月乙亥，光宗崩，遺詔皇長子嗣皇帝位。
HCH_012_022_000005	羣臣哭臨畢，請見皇長子於寢門，奉至文華殿行禮，還居慈慶宮。
HCH_012_022_000006	丙子，頒遺詔。
HCH_012_022_000007	時選侍李氏居乾清宮，吏部尚書周嘉謨等及御史左光斗疏請選侍移宮，御史王安舜疏論李可灼進藥之誤，「紅丸」、「移宮」二案自是起。
HCH_012_022_000008	己卯，選侍移仁壽殿。
HCH_012_022_000009	庚辰，即皇帝位。
HCH_012_022_000010	詔赦天下，以明年為天啟元年。
HCH_012_022_000011	己丑，以是年八月以後稱泰昌元年。
HCH_012_022_000012	辛卯，逮遼東總兵官李如柏。
HCH_012_022_000013	甲午，廕太監魏進忠兄錦衣衞千戶。
HCH_012_022_000014	封乳保客氏為奉聖夫人，官其子。
HCH_012_022_000015	冬十月丙午，葬顯皇帝、孝端顯皇后於定陵。
HCH_012_022_000016	戊申，遼東巡撫都御史袁應泰為兵部侍郎，經略遼東，代熊廷弼。
HCH_012_022_000017	辛酉，御經筵。
HCH_012_022_000018	壬戌，禮部尚書孫如游兼東閣大學士，預機務。
HCH_012_022_000019	丁卯，噦鸞宮災。
HCH_012_022_000020	十一月丙子，追諡皇妣孝元貞皇后，生母孝和皇太后。
HCH_012_022_000021	十二月辛酉，方從哲致仕。
HCH_012_022_000022	天啟元年春正月庚辰，享太廟。
HCH_012_022_000023	壬辰，追諡伍文定等七十三人。
HCH_012_022_000024	壬寅，御史王心一請罷客氏香火土田，魏進忠陵工敍錄，不報。
HCH_012_022_000025	二月甲辰，言官請復當朝口奏及召對之典，從之。
HCH_012_022_000026	己未，御經筵。
HCH_012_022_000027	閏月乙酉，以風霾諭羣臣修省。
HCH_012_022_000028	丁亥，孫如游致仕。
HCH_012_022_000029	丙申，除齊泰、黃子澄戚屬戍籍。
HCH_012_022_000030	戊戌，昭和殿災。
HCH_012_022_000031	三月乙卯，大清兵取瀋陽，總兵官尤世功、賀世賢戰死。
HCH_012_022_000032	總兵官陳策、童仲揆、戚金、張名世帥諸將援遼，戰於渾河，皆敗沒。
HCH_012_022_000033	壬戌，大清兵取遼陽，經略袁應泰等死之。
HCH_012_022_000034	巡按御史張銓被執，不屈死。
HCH_012_022_000035	丙寅，諭兵部：「國家文武並用，頃承平日久，視武弁不啻奴隸，致令豪傑解體。今邊疆多故，大風猛士深軫朕懷，其令有司於山林草澤間慎選將材。」
HCH_012_022_000036	丁卯，京師戒嚴。
HCH_012_022_000037	夏四月壬申朔，日有食之。
HCH_012_022_000038	甲戌，禁抄發軍機。
HCH_012_022_000039	丙子，遼東巡撫僉都御史薛國用為兵部侍郎，經略遼東。
HCH_012_022_000040	參議王化貞為右僉都御史，巡撫廣寧。
HCH_012_022_000041	戊寅，募兵於通州、天津、宣府、大同。
HCH_012_022_000042	甲午，募兵於陝西、河南、山西、浙江。
HCH_012_022_000043	戊戌，冊皇后張氏。
HCH_012_022_000044	五月丁未，貴州紅苗平。
HCH_012_022_000045	甲寅，禁訛言。
HCH_012_022_000046	辛酉，陝西都指揮陳愚直以固原兵入援，潰於臨洺。
HCH_012_022_000047	未幾，寧夏援遼兵潰於三河。
HCH_012_022_000048	六月癸酉，何宗彥入閣。
HCH_012_022_000049	丙子，朱國祚入閣。
HCH_012_022_000050	熊廷弼為兵部尚書兼右副都御史，經略遼東。
HCH_012_022_000051	辛巳，兵部尚書王象乾總督薊、遼軍務。
HCH_012_022_000052	秋七月乙巳，沈㴶入閣。
HCH_012_022_000053	八月丙子，擢參將毛文龍為副總兵，駐師鎮江城。
HCH_012_022_000054	戊子，杭州大火，詔停織造。
HCH_012_022_000055	癸巳，停刑。
