HCH_012_025_000000	自司馬遷述《天官》，而歷代作史者皆志天文。
HCH_012_025_000001	惟《遼史》獨否，謂天象昭垂，千古如一，日食、天變既著本紀，則天文志近於衍。
HCH_012_025_000002	其說頗當。
HCH_012_025_000003	夫《周髀》、《宣夜》之書，安天、窮天、昕天之論，以及星官占驗之說，晉史已詳，又見《隋志》，謂非衍可乎。
HCH_012_025_000004	論者謂天文志首推晉、隋，尚有此病，其他可知矣。
HCH_012_025_000005	然因此遂廢天文不志，亦非也。
HCH_012_025_000006	天象雖無古今之異，而談天之家，測天之器，往往後勝於前。
HCH_012_025_000007	無以志之，使一代製作之義泯焉無傳，是亦史法之缺漏也。
HCH_012_025_000008	至於彗孛飛流，暈適背抱，天之所以示儆戒者，本紀中不可盡載，安得不別志之。
HCH_012_025_000009	明神宗時，西洋人利瑪竇等入中國，精於天文、歷算之學，發微闡奧，運算制器，前此未嘗有也。
HCH_012_025_000010	茲掇其要，論著於篇。
HCH_012_025_000011	而《實錄》所載天象星變殆不勝書，擇其尤異者存之。
HCH_012_025_000012	日食備載本紀，故不復書。
HCH_012_025_000013	《楚詞》言「圜則九重，孰營度之」，渾天家言「天包地如卵裡黃」，則天有九重，地為渾圓，古人已言之矣。
HCH_012_025_000014	西洋之說，既不背於古，而有驗於天，故表出之。
HCH_012_025_000015	其言九重天也，曰最上為宗動天，無星辰，每日帶各重天，自東而西左旋一周，次曰列宿天，次曰填星天，次曰歲星天，次曰熒惑天，次曰太陽天，次曰金星天，次曰水星天，最下曰太陰天。
HCH_012_025_000016	自恆星天以下八重天，皆隨宗動天左旋。
HCH_012_025_000017	然各天皆有右旋之度，自西而東，與蟻行磨上之喻相符。
HCH_012_025_000018	其右旋之度，雖與古有增減，然無大異。
HCH_012_025_000019	惟恆星之行，即古歲差之度。
HCH_012_025_000020	古謂恆星千古不移，而黃道之節氣每歲西退。
HCH_012_025_000021	彼則謂黃道終古不動，而恆星每歲東行。
HCH_012_025_000022	由今考之，恆星實有動移，其說不謬。
HCH_012_025_000023	至於分周天為三百六十度，命日為九十六刻，使每時得八刻無奇零，以之布算制器，甚便也。
HCH_012_025_000024	其言地圓也，曰地居天中，其體渾圓，與天度相應。
HCH_012_025_000025	中國當赤道之北，故北極常現，南極常隱。
HCH_012_025_000026	南行二百五十里則北極低一度，北行二百五十里則北極高一度。
HCH_012_025_000027	東西亦然。
HCH_012_025_000028	亦二百五十里差一度也。
HCH_012_025_000029	以周天度計之，知地之全周為九萬里也。
HCH_012_025_000030	以周徑密率求之，得地之全徑為二萬八千六百四十七里又九分裡之八也。
HCH_012_025_000031	又以南北緯度定天下之縱。
HCH_012_025_000032	凡北極出地之度同，則四時寒暑靡不同。
HCH_012_025_000033	若南極出地之度與北極出地之度同，則其晝夜永短靡不同。
HCH_012_025_000034	惟時令相反，此之春，彼為秋，此之夏，彼為冬耳。
HCH_012_025_000035	以東西經度定天下之衡，兩地經度相去三十度，則時刻差一辰。
HCH_012_025_000036	若相距一百八十度，則晝夜相反焉。
HCH_012_025_000037	其說與《元史》札馬魯丁地圓之旨略同。
HCH_012_025_000038	日月五星各有一重天，其天皆不與地同心，故其距地有高卑之不同。
HCH_012_025_000039	其最高最卑之數，皆以地半徑准之。
HCH_012_025_000040	太陽最高距地為地半徑者一千一百八十二，最卑一千一百零二。
HCH_012_025_000041	太陰最高五十八，最卑五十二。
HCH_012_025_000042	填星最高一萬二千九百三十二，最卑九千一百七十五。
HCH_012_025_000043	歲星最高六千一百九十，最卑五千九百一十九。
HCH_012_025_000044	熒惑最高二千九百九十八，最卑二百二十二。
HCH_012_025_000045	太白最高一千九百八十五，最卑三百。
HCH_012_025_000046	辰星最高一千六百五十九，最卑六百二十五。
HCH_012_025_000047	若欲得七政去地之裡數，則以地半徑一萬二千三百二十四里通之。
HCH_012_025_000048	又謂填星形如瓜，兩側有兩小星如耳。
HCH_012_025_000049	歲星四周有四小星，繞行甚疾。
HCH_012_025_000050	太白光有盈缺，如月之弦望。
HCH_012_025_000051	用窺遠鏡視之，皆可悉睹也。
HCH_012_025_000052	余詳《歷志》。
HCH_012_025_000053	崇禎初，禮部尚書徐光啟督修曆法，上《見界總星圖》。
HCH_012_025_000054	以為回回《立成》所載，有黃道經緯度者止二百七十八星，其繪圖者止十七座九十四星，並無赤道經緯。
HCH_012_025_000055	今皆崇禎元年所測，黃赤二道經緯度畢具。
HCH_012_025_000056	後又上《赤道兩總星圖》。
HCH_012_025_000057	其說謂常現常隱之界，隨北極高下而殊，圖不能限。
HCH_012_025_000058	且天度近極則漸狹，而《見界圖》從赤道以南，其度反寬，所繪星座不合仰觀。
HCH_012_025_000059	因從赤道中剖渾天為二，一以北極為心，一以南極為心。
HCH_012_025_000060	從心至周，皆九十度，合之得一百八十度者，赤道緯度也。
HCH_012_025_000061	周分三百六十度者，赤道經度也。
HCH_012_025_000062	乃依各星之經緯點之，遠近位置形勢皆合天象。
HCH_012_025_000063	至於恆星循黃道右旋，惟黃道緯度無古今之異，而赤道經緯則歲歲不同。
HCH_012_025_000064	然亦有黃赤俱差，甚至前後易次者。
HCH_012_025_000065	如觜宿距星，唐測在參前三度，元測在參前五分，今測已侵入參宿。
HCH_012_025_000066	故舊法先觜後參，今不得不先參後觜，不可強也。
HCH_012_025_000067	又有古多今少，古有今無者。
HCH_012_025_000068	如紫微垣中六甲六星今止有一，華蓋十六星今止有四，傳捨九星今五，天廚六星今五，天牢六星今二。
HCH_012_025_000069	又如天理、四勢、五帝內座、天柱、天床、大贊府、大理、女御、內廚，皆全無也。
HCH_012_025_000070	天市垣之市樓六星今二。
HCH_012_025_000071	太微垣之常陳七星今三，郎位十五星今十。
HCH_012_025_000072	長垣四星今二。
HCH_012_025_000073	五諸侯五星全無也。
HCH_012_025_000074	角宿中之庫樓十星今八。
HCH_012_025_000075	亢宿中之折威七星今無。
HCH_012_025_000076	氐宿中之亢池六星今四，帝席三星今無。
HCH_012_025_000077	尾宿中天龜五星今四。
HCH_012_025_000078	斗宿中之鱉十四星今十三，天籥、農丈人俱無。
HCH_012_025_000079	牛宿中之羅堰三星今二，天田九星俱無。
HCH_012_025_000080	女宿中之趙、周、秦、代各二星今各一，扶匡七星今四，離珠五星今無。
HCH_012_025_000081	虛宿中之司危、司祿各二星今各一，敗臼四星今二，離瑜三星今二，天壘城十三星今五。
HCH_012_025_000082	危宿中之人五星今三，杵三星今一，臼四星今三，車府七星今五，天鉤九星今六，天鈔十星今四，蓋屋二星今一。
HCH_012_025_000083	室宿中之羽林軍四十五星今二十六，螣蛇二十二星今十五，八魁九星今無。
HCH_012_025_000084	壁宿中之天廄十星今三。
HCH_012_025_000085	奎宿中之天溷七星今四。
HCH_012_025_000086	畢宿中之天節八星今七，鹹池三星今無。
HCH_012_025_000087	觜宿中之座旗九星今五。
HCH_012_025_000088	井宿中之軍井十三星今五。
HCH_012_025_000089	鬼宿中之外廚六星今五。
HCH_012_025_000090	張宿中之天廟十四星今無。
HCH_012_025_000091	翼宿中之東甌五星今無。
HCH_012_025_000092	軫宿中之青丘七星今三，其軍門、土司空、器府俱無也。
HCH_012_025_000093	又有古無今有者。
HCH_012_025_000094	策星旁有客星，萬歷元年新出，先大今小。
HCH_012_025_000095	南極諸星，古所未有，近年浮海之人至赤道以南，往往見之，因測其經緯度。
HCH_012_025_000096	其餘增入之星甚多，並詳《恆星表》。
HCH_012_025_000097	其論雲漢，起尾宿，分兩派。
HCH_012_025_000098	一經天江、南海、市樓，過宗人、宗星，涉天津至螣蛇。
HCH_012_025_000099	一由箕、斗、天弁、河鼓、左右旗，涉天津至車府而會於螣蛇，過造父，直趨附路、閣道、大陵、天船，漸下而南行，歷五車、天關、司怪、水府，傍東井，入四瀆，過闕丘、弧矢、天狗之墟，抵天社、海石之南，逾南船，帶海山，置十字架、蜜蜂，傍馬腹，經南門，絡三角、龜、杵，而屬於尾宿，是為帶天一周。
HCH_012_025_000100	以理推之，隱界自應有雲漢，其所見當不誣。
HCH_012_025_000101	又謂雲漢為無數小星，大陵鬼宿中積屍亦然。
HCH_012_025_000102	考《天官書》言星漢皆金之散氣，則星漢本同類，得此可以相證。
HCH_012_025_000103	又言昴宿有三十六星，皆得之於窺遠鏡者。
HCH_012_025_000104	凡測而入表之星共一千三百四十七，微細無名者不與。
HCH_012_025_000105	其大小分為六等：內一等十六星，二等六十七星，三等二百零七星，四等五百零三星，五等三百三十八星，六等二百一十六星。
HCH_012_025_000106	悉具黃赤二道經緯度。
HCH_012_025_000107	列表二卷，入光啟所修《崇禎歷書》中。
HCH_012_025_000108	茲取二十八宿距星及一二等大星存之，其小而有名者，間取一二，備列左方。
HCH_012_025_000109	▲黃赤宿度崇禎元年所測二十八宿黃赤度分，皆不合於古。
HCH_012_025_000110	夫星既依黃道行，而赤道與黃道斜交，其度不能無增減者，勢也。
HCH_012_025_000111	而黃道度亦有增減者，或推測有得失，抑恆星之行亦或各有遲速歟。
HCH_012_025_000112	謹列其數，以備參考。
HCH_012_025_000113	赤道宿度周天三百六十度，每度六十分。
HCH_012_025_000114	黃道同黃道宿度角，一十一度四十四分。
HCH_012_025_000115	一十度三十五分。
HCH_012_025_000116	亢，九度一十九分。
HCH_012_025_000117	一十度四十分。
HCH_012_025_000118	氐，一十六度四十一分。
HCH_012_025_000119	一十七度五十四分。
HCH_012_025_000120	房，五度二十八分。
HCH_012_025_000121	四度四十六分。
HCH_012_025_000122	心，六度零九分。
HCH_012_025_000123	七度三十三分。
HCH_012_025_000124	尾，二十一度零六分。
HCH_012_025_000125	一十五度三十六分。
HCH_012_025_000126	箕，八度四十六分。
HCH_012_025_000127	九度二十分。
HCH_012_025_000128	鬥，二十四度二十四分。
HCH_012_025_000129	二十三度五十一分。
HCH_012_025_000130	牛，六度五十分。
HCH_012_025_000131	七度四十一分。
HCH_012_025_000132	女，一十一度零七分。
HCH_012_025_000133	一十一度三十九分。
HCH_012_025_000134	虛，八度四十一分。
HCH_012_025_000135	九度五十九分。
HCH_012_025_000136	危，一十四度五十三分。
HCH_012_025_000137	二十度零七分。
HCH_012_025_000138	室，一十七度。
HCH_012_025_000139	一十五度四十一分。
HCH_012_025_000140	壁，一十度二十八分。
HCH_012_025_000141	一十三度一十六分。
HCH_012_025_000142	奎，一十四度三十分。
HCH_012_025_000143	一十一度二十九分。
HCH_012_025_000144	婁，一十二度零四分。
HCH_012_025_000145	一十三度。
HCH_012_025_000146	胃，一十五度四十五分。
HCH_012_025_000147	一十三度零一分。
HCH_012_025_000148	昴，一十度二十四分。
HCH_012_025_000149	八度二十九分。
HCH_012_025_000150	畢，一十六度三十四分。
HCH_012_025_000151	一十三度五十八分。
HCH_012_025_000152	參，二十四分。
HCH_012_025_000153	一度二十一分。
HCH_012_025_000154	觜，一十一度二十四分。
HCH_012_025_000155	一十一度三十三分。
HCH_012_025_000156	井，三十二度四十九分。
HCH_012_025_000157	三十度二十五分。
HCH_012_025_000158	鬼，二度二十一分。
HCH_012_025_000159	五度三十分。
HCH_012_025_000160	柳，一十二度零四分。
HCH_012_025_000161	一十六度零六分。
HCH_012_025_000162	星，五度四十八分。
HCH_012_025_000163	八度二十三分。
HCH_012_025_000164	張，一十七度一十九分。
HCH_012_025_000165	一十八度零四分。
HCH_012_025_000166	翼，二十度二十八分。
HCH_012_025_000167	一十七度。
HCH_012_025_000168	軫，一十五度三十分。
HCH_012_025_000169	一十三度零三分。
HCH_012_025_000170	十二宮之名見於《爾雅》，大抵皆依星宿而定。
HCH_012_025_000171	如婁、奎為降婁，心為大火，硃鳥七宿為鶉首、鶉尾之類。
HCH_012_025_000172	故宮有一定之宿，宿有常居之宮，由來尚矣。
HCH_012_025_000173	唐以後始用歲差，然亦天自為天，歲自為歲，宮與星仍舊不易。
HCH_012_025_000174	西洋之法，以中氣過宮，如日躔冬至，即為星紀宮之類。
HCH_012_025_000175	而恆星既有歲進之差，於是宮無定宿，而宿可以遞居各宮，此變古法之大端也。
HCH_012_025_000176	茲以崇禎元年各宿交宮之黃赤度，分列於左方，以志權輿云。
HCH_012_025_000177	箕，三度零七分，入星紀。
HCH_012_025_000178	箕，四度一十七分，入星紀。
HCH_012_025_000179	鬥，二十四度二十一分，入玄枵。
HCH_012_025_000180	牛，一度零六分，入玄枵危，三度一十九分，入娵訾。
HCH_012_025_000181	危，一度四十七分，入娵訾。
HCH_012_025_000182	壁，一度二十六分，入降婁。
HCH_012_025_000183	室，一十一度四十分，入降婁。
HCH_012_025_000184	婁，六度二十八分，入大梁。
HCH_012_025_000185	婁，一度一十四分，入大梁。
HCH_012_025_000186	昴，八度三十九分，入實沈。
HCH_012_025_000187	昴，五度一十三分，入實沈。
HCH_012_025_000188	觜，一十一度一十七分，入鶉首。
HCH_012_025_000189	觜，一十一度二十五分，入鶉首。
HCH_012_025_000190	井，二十九度五十三分，入鶉火。
HCH_012_025_000191	井，二十九度五十二分，入鶉火。
HCH_012_025_000192	張，六度五十一分，入鶉尾。
HCH_012_025_000193	星，七度五十一分，入鶉尾。
HCH_012_025_000194	翼，一十九度三十二分，入壽星。
HCH_012_025_000195	翼，一十一度二十四分，入壽星。
HCH_012_025_000196	亢，一度五十分，入大火。
HCH_012_025_000197	亢，初度四十六分，入大火。
HCH_012_025_000198	心，初度二十二分，入析木。
HCH_012_025_000199	房，二度一十二分，入析木。
HCH_012_025_000200	璇璣玉衡為儀象之權輿，然不見用於三代。
HCH_012_025_000201	《周禮》有圭表、壺漏，而無璣衡，其制遂不可考。
HCH_012_025_000202	漢人創造渾天儀，謂即璣衡遺制，其或然歟。
HCH_012_025_000203	厥後代有制作。
HCH_012_025_000204	大抵以六合、三辰、四游、重環湊合者，謂之渾天儀；以實體圓球，繪黃赤經緯度，或綴以星宿者，謂之渾天象。
HCH_012_025_000205	其制雖有詳略，要亦青藍之別也。
HCH_012_025_000206	外此則圭表、壺漏而已。
HCH_012_025_000207	迨元作簡儀、仰儀、窺幾、景符之屬，制器始精詳矣。
HCH_012_025_000208	明太祖平元，司天監進水晶刻漏，中設二木偶人，能按時自擊鉦鼓。
HCH_012_025_000209	太祖以其無益而碎之。
HCH_012_025_000210	洪武十七年，造觀星盤。
HCH_012_025_000211	十八年，設觀象台於雞鳴山。
HCH_012_025_000212	二十四年，鑄渾天儀。
HCH_012_025_000213	正統二年，行在欽天監正皇甫仲和奏言：「南京觀象台設渾天儀、簡儀、圭表以窺測七政行度，而北京乃止於齊化門城上觀測，未有儀象。乞令本監官往南京，用木做造，挈赴北京，以較驗北極出地高下，然後用銅別鑄，庶幾占測有憑。」
HCH_012_025_000214	從之。
HCH_012_025_000215	明年冬，乃鑄銅渾天儀、簡儀於北京。
HCH_012_025_000216	御制《觀天器銘》。
HCH_012_025_000217	其詞曰：「粵古大聖，體天施治，敬天以心，觀天以器。厥器伊何？璇璣玉衡。璣象天體，衡審天行。歷世代更，垂四千祀，沿制有作，其制寢備。即器而觀，六合外儀，陽經陰緯，方位可稽。中儀三辰，黃赤二道，日月暨星，運行可考。內儀四游，橫簫中貫，南北東西，低昂旋轉。簡儀之作，爰代璣衡，制約用密，疏朗而精。外有渾象，反而觀諸，上規下矩，度數方隅。別有直表，其崇八尺，分至氣序，考景鹹得。縣象在天，制器在人，測驗推步，靡忒毫分。昔作今述，為制彌工，既明且悉，用將無窮。惟天勤民，事天首務，民不失寧，天其予顧。政純於仁，天道以正，勒銘斯器，以勵予敬。」
HCH_012_025_000218	十一年，監臣言：「簡儀未刻度數，且地基卑下，窺測日星，為四面台宇所蔽。圭表置露台，光皆四散，影無定則。壺漏屋低，夜天池促，難以注水調品時刻。請更如法修造。」
HCH_012_025_000219	報可。
HCH_012_025_000220	明年冬，監正彭德清又言：「北京北極出地度、太陽出入時刻與南京不同，冬夏晝長夜短亦異。今宮禁及官府漏箭皆南京舊式，不可用。」
HCH_012_025_000221	有旨，令內官監改造。
HCH_012_025_000222	景泰六年又造內觀象台簡儀及銅壺。
HCH_012_025_000223	成化中，尚書周洪謨復請造璇璣玉衡，憲宗令自制以進。
HCH_012_025_000224	十四年，監臣請修晷影堂，從之。
HCH_012_025_000225	弘治二年，監正吳昊言：「考驗四正日度，黃赤二道應交於壁軫。觀象台舊制渾儀，黃赤二道交於奎軫，不合天象，其南北兩軸不合兩極出入之度，窺管又不與太陽出沒相當，故雖設而不用。所用簡儀則郭守敬遺制，而北極雲柱差短，以測經星去極，亦不能無爽。請修改或別造，以成一代之制。」
HCH_012_025_000226	事下禮部，覆議令監副張紳造木樣，以待試驗，黃道度許修改焉。
HCH_012_025_000227	正德十六年，漏刻博士硃裕復言：「晷表尺寸不一，難以准測，而推算歷數用南京日出分秒，似相矛盾。請敕大臣一員總理其事，鑄立銅表，考四時日中之影。仍於河南陽城察舊立土圭，以合今日之晷，及分立圭表於山東、湖廣、陝西、大名等處，以測四方之影。然後將內外晷影新舊歷書錯綜參驗，撰成定法，庶幾天行合而交食不謬。」
HCH_012_025_000228	疏入不報。
HCH_012_025_000229	嘉靖二年修相風桿及簡、渾二儀。
HCH_012_025_000230	七年始立四丈木表以測晷影，定氣朔。
HCH_012_025_000231	由是欽天監之立運儀、正方案、懸晷、偏晷、盤晷諸式具備於觀象台，一以元法為斷。
HCH_012_025_000232	萬歷中，西洋人利瑪竇制渾儀、天球、地球等器。
HCH_012_025_000233	仁和李之藻撰《渾天儀說》，發明制造施用之法，文多不載。
HCH_012_025_000234	其制不外於六合、三辰、四游之法。
HCH_012_025_000235	但古法北極出地，鑄為定度，此則子午提規，可以隨地度高下，於用為便耳。
HCH_012_025_000236	崇禎二年，禮部侍郎徐光啟兼理曆法，請造像限大儀六，紀限大儀三，平懸渾儀三，交食儀一，列宿經緯天球一，萬國經緯地球一，平面日晷三，轉盤星晷三，候時鐘三，望遠鏡三。
HCH_012_025_000237	報允。
HCH_012_025_000238	已，又言：定時之法，當議者五事：一曰壺漏，二曰指南針，三曰表臬，四曰儀，五曰晷。
HCH_012_025_000239	漏壺，水有新舊滑濇則遲疾異，漏管有時塞時磷則緩急異。
HCH_012_025_000240	正漏之初，必於正午初刻。
HCH_012_025_000241	此刻一誤，靡所不誤。
HCH_012_025_000242	故壺漏特以濟晨昏陰晦儀晷表臬所不及，而非定時之本。
HCH_012_025_000243	指南針，術人用以定南北，辨方正位鹹取則焉。
HCH_012_025_000244	然針非指正子午，曩雲多偏丙午之間。
HCH_012_025_000245	以法考之，各地不同。
HCH_012_025_000246	在京師則偏東五度四十分。
HCH_012_025_000247	若憑以造晷，冬至午正先天一刻四十四分有奇，夏至午正先天五十一分有奇。
HCH_012_025_000248	若表臬者，即《考工》匠人置{埶木}之法，識日出入之影，參諸日中之影，以正方位。
HCH_012_025_000249	今法置小表於地平，午正前後累測日影，以求相等之兩長影為東西，因得中間最短之影為正子午，其術簡甚。
HCH_012_025_000250	儀者，本台故有立運儀，測驗七政高度。
HCH_012_025_000251	臣用以較定子午，於午前屢測太陽高度，因最高之度，即得最短之影，是為南北正線。
HCH_012_025_000252	既定子午卯酉之正線，因以法分佈時刻，加入節氣諸線，即成平面日晷。
HCH_012_025_000253	又今所用員石欹晷是為赤道晷，亦用所得正子午線較定。
HCH_012_025_000254	此二晷皆可得天之正時刻，所為晝測日也。
HCH_012_025_000255	若測星之晷，實《周禮》夜考極星之法。
HCH_012_025_000256	然古時北極星正當不動之處，今時久漸移，已去不動處三度有奇，舊法不可復用。
HCH_012_025_000257	故用重盤星晷，上書時刻，下書節氣，仰測近極二星即得時刻，所謂夜測星也。
HCH_012_025_000258	七年，督修曆法右參政李天經言：輔臣光啟言定時之法，古有壺漏，近有輪鐘，二者皆由人力遷就，不如求端於日星，以天合天，乃為本法，特請制日晷、星晷、望遠鏡三器。
HCH_012_025_000259	臣奉命接管，敢先言其略。
HCH_012_025_000260	日晷者，礱石為平面，界節氣十三線，內冬夏二至各一線，其餘日行相等之節氣，皆兩節氣同一線也。
HCH_012_025_000261	平面之周列時刻線，以各節氣太陽出入為限。
HCH_012_025_000262	又依京師北極出地度，范為三角銅表置其中。
HCH_012_025_000263	表體之全影指時刻，表中之銳影指節氣。
HCH_012_025_000264	此日晷之大略也。
HCH_012_025_000265	星晷者，治銅為柱，上安重盤。
HCH_012_025_000266	內盤鐫周天度數，列十二宮以分節氣，外盤鐫列時刻，中橫刻一縫，用以窺星。
