HCH_012_034_000000	立成者，以日月五星盈縮遲疾之數，預爲排定，以便推步取用也。
HCH_012_034_000001	《元志》、《曆經》步七政盈縮遲疾，皆有二術。
HCH_012_034_000002	其一術以三差立算者，即布立成法也。
HCH_012_034_000003	其又術雲，以其下盈縮分，乘入限分萬約之，以加其下盈縮積者，用立成法也。
HCH_012_034_000004	而遣立成未載，無從入算。
HCH_012_034_000005	今依《大統歷通軌》具錄之。
HCH_012_034_000006	其目四：曰太陽盈縮，曰晨昏分，曰太陰遲疾，曰五星盈縮。
HCH_012_034_000007	餘詳《法原》及《推步》卷中。
HCH_012_034_000008	按《元史》，至正十七年《授時曆》成。
HCH_012_034_000009	十九年王恂卒，時歷雖頒，然立成之數尚皆有定藁。
HCH_012_034_000010	郭守敬比類編次，整齊分秒，裁爲二卷。
HCH_012_034_000011	而今欽天監本，載嘉議大夫太史令臣王恂奉敕撰。
HCH_012_034_000012	意者王先有藁，而郭卒成之歟？
HCH_012_034_000013	晨分加二百五十分，爲日出分。
HCH_012_034_000014	日週一萬分，內減晨分爲昏分。
HCH_012_034_000015	昏分減二百五十分，爲日入分，又減五千分，爲半晝分。
HCH_012_034_000016	故立成只列晨昏分，則出入及半晝分皆具，不必盡列也。
