HCH_012_045_000000	福建《禹貢》揚州之域。
HCH_012_045_000001	元置福建道宣慰使司，治福州路。
HCH_012_045_000002	屬江浙行中書省。
HCH_012_045_000003	至正十六年正月改宣慰司爲行中書省。
HCH_012_045_000004	太祖吳元年十二月平陳友定。
HCH_012_045_000005	洪武二年五月仍置福建等處行中書省。
HCH_012_045_000006	七年二月置福州都衛。
HCH_012_045_000007	與行中書省同治。
HCH_012_045_000008	八年十月改福州都衛爲福建都指揮使司。
HCH_012_045_000009	九年六月改行中書省爲承宣布政使司。
HCH_012_045_000010	領府八，直隸州一，屬縣五十七。
HCH_012_045_000011	爲裏三千七百九十七。
HCH_012_045_000012	北至嶺，與浙江界。
HCH_012_045_000013	西至汀州，與江西界。
HCH_012_045_000014	南至詔安，與廣東界。
HCH_012_045_000015	東至海。
HCH_012_045_000016	距南京二千八百七十二里，京師六千一百三十三里。
HCH_012_045_000017	洪武二十六年編戶八十一萬五千五百二十七，口三百九十一萬六千八百六。
HCH_012_045_000018	弘治四年，戶五十萬六千三十九，口二百一十萬六千六十。
HCH_012_045_000019	萬曆六年，戶五十一萬五千三百七，口一百七十三萬八千七百九十三。
HCH_012_045_000020	福州府元福州路，屬福建道。
HCH_012_045_000021	太祖吳元年爲府。
HCH_012_045_000022	領縣九：閩倚。
HCH_012_045_000023	南有釣台山，亦曰南臺山。
HCH_012_045_000024	東南有鼓山。
HCH_012_045_000025	南有方山，一名甘果山，下有官母嶼，有巡檢司。
HCH_012_045_000026	東南濱海。
HCH_012_045_000027	南有閩江，亦曰建江，自南平縣流入府界。
HCH_012_045_000028	東南納羣川之水，至府西曰洪塘江，分二流，南出曰陶江，東出曰南臺江，至鼓山下復合爲一。
HCH_012_045_000029	又東南有馬頭江，自永福縣流入，曰西峽江，又東有東峽江流合焉，又東南至五虎門，入於海。
HCH_012_045_000030	東有閩安鎮巡檢司。
HCH_012_045_000031	侯官倚。
HCH_012_045_000032	西有旗山，有雪峯山，有建江，又有西禪浦。
HCH_012_045_000033	西南有陽崎、吳山、鳳岡、澤苗、延澤、仙阪等六浦，皆建江支分，仍合正流入海。
HCH_012_045_000034	西北有懷安縣，洪武十二年移入郭內，與閩、侯官同治，萬曆八年九月省。
HCH_012_045_000035	西北有竹崎、又有五縣寨二巡檢司。
HCH_012_045_000036	長樂府東少南。
HCH_012_045_000037	東濱海，有海堤。
HCH_012_045_000038	北有馬頭江。
HCH_012_045_000039	又東有守禦梅花千戶所，洪武二十一年二月置。
HCH_012_045_000040	東北有石樑蕉山、東南有松下鎮二巡檢司。
HCH_012_045_000041	又東有小祉山巡檢司，後移治大祉澳。
HCH_012_045_000042	福清府南少東。
HCH_012_045_000043	元福清州。
HCH_012_045_000044	洪武二年二月降爲縣。
HCH_012_045_000045	東南際海，有鹽場，海中有海壇山，又有小練山。
HCH_012_045_000046	南有龍江，又有逕江。
