HCH_012_063_000000	洪武三年定朝賀樂章。
HCH_012_063_000001	升殿，奏《飛龍引之曲》。
HCH_012_063_000002	百官行禮，奏《風雲會之曲》。
HCH_012_063_000003	丞相致詞，奏《慶皇都之曲》。
HCH_012_063_000004	復位，百官行禮，奏《喜昇平之曲》。
HCH_012_063_000005	還宮，奏《賀聖朝之曲》。
HCH_012_063_000006	俱見後宴饗九奏中。
HCH_012_063_000007	二十六年更定。
HCH_012_063_000008	升殿，韶樂，奏《聖安之曲》：乾坤日月明，八方四海慶太平。
HCH_012_063_000009	龍樓鳳閣中，扇開簾卷帝王興。
HCH_012_063_000010	聖感天地靈，保萬壽，洪福增。
HCH_012_063_000011	祥光王氣生，升寶位，永康寧。
HCH_012_063_000012	還宮，韶樂，奏《定安之曲》：九五飛聖龍，千邦萬國敬依從。
HCH_012_063_000013	鳴鞭三下同，公卿環珮響玎𤦪，掌扇護御容。
HCH_012_063_000014	中和樂，音呂濃，翡翠錦繡，擁還華蓋赴龍宮。
HCH_012_063_000015	公卿入門，奏《治安之曲》：忠良爲股肱，昊天之德承主恩，森羅拱北辰。
HCH_012_063_000016	御爐煙繞奉天門，江山社稷興。
HCH_012_063_000017	安天下，軍與民，龍虎會風雲。
HCH_012_063_000018	後不用。
HCH_012_063_000019	洪武二十六年定中宮正旦、冬至、千秋節朝賀樂章。
HCH_012_063_000020	中宮《天香鳳韶之曲》：寶殿光輝晴天映，懸玉鉤珍珠簾櫳，瑤觴舉時簫韶動。
HCH_012_063_000021	慶大筵，來儀鳳，昭陽玉帛齊朝貢。
HCH_012_063_000022	贊孝慈賢助仁風，歌謠正在昇平中，謹獻上齊天頌。
HCH_012_063_000023	宣德以後增定慈宮朝賀樂章。
HCH_012_063_000024	《天香鳳韶之曲》：龍樓鳳閣彤雲曉，開繡簾天香芬馥，瑤階春暖千花簇。
HCH_012_063_000025	壽聖母，齊頌祝，御筵奏獻長生曲。
HCH_012_063_000026	坤道寧品類咸育，和氣四時調玉燭，享萬萬年太平福。
HCH_012_063_000027	洪武三年定宴饗樂章。
HCH_012_063_000028	一奏《起臨濠之曲》，名《飛龍引》：千載中華生聖主，王氣成龍虎。
HCH_012_063_000029	提劍起淮西，將勇師雄，百戰收強虜。
HCH_012_063_000030	驅馳鞍馬經寒暑，將士同甘苦。
HCH_012_063_000031	次第靜風塵，除暴安民，功業如湯武。
HCH_012_063_000032	二奏《開太平之曲》，名《風雲會》：玉壘瞰江城，風雲繞帝營。
HCH_012_063_000033	駕樓船龍虎縱橫，飛砲發機驅六甲，降虜將，勝胡兵。
HCH_012_063_000034	談笑掣長鯨，三軍勇氣增。
HCH_012_063_000035	一戎衣，宇宙清寧。
HCH_012_063_000036	從此華夷歸一統，開帝業，慶昇平。
HCH_012_063_000037	三奏《安建業之曲》。
HCH_012_063_000038	名《慶皇都》：虎踞龍蟠佳麗地，真主開基，千載風雲會。
HCH_012_063_000039	十萬雄兵屯鐵騎，臺臣守將皆奔潰。
HCH_012_063_000040	一洗煩苛施德惠，里巷謳歌，田野騰和氣。
HCH_012_063_000041	王業弘開千萬世，黎民咸仰雍熙治。
HCH_012_063_000042	四奏《削羣雄之曲》，名《喜昇平》：持黃鉞，削平荊楚清吳越。
HCH_012_063_000043	清吳越，暮秦朝晉，幾多豪傑。
HCH_012_063_000044	幽燕齊魯風塵潔，伊涼蜀隴人心悅。
HCH_012_063_000045	人心悅，車書一統，萬方同轍。
HCH_012_063_000046	五奏《平幽都之曲》，名《賀聖朝》：天運推遷虜運移，王師北討定燕畿。
HCH_012_063_000047	百年禮樂重興日，四海風雲慶會時。
HCH_012_063_000048	除暴虐，撫瘡痍，漠南爭睹舊威儀。
HCH_012_063_000049	君王聖德容降虜，三恪衣冠拜玉墀。
HCH_012_063_000050	六奏《撫四夷之曲》，名《龍池宴》：海波不動風塵靜，中國有真人。
HCH_012_063_000051	文身交阯，氈裘金齒，重譯來賓。
HCH_012_063_000052	奇珍異產，梯山航海，奉表稱臣。
HCH_012_063_000053	白狼玄豹，九苞丹鳳，五色麒麟。
HCH_012_063_000054	七奏《定封賞之曲》，名《九重歡》：乾坤清廓，論功定賞，策勳封爵。
HCH_012_063_000055	玉帶金符，貂蟬簪珥，形圖麟閣。
HCH_012_063_000056	奉天洪武功臣，佐興運，文經武略。
HCH_012_063_000057	子子孫孫，尊榮富貴，久長安樂。
HCH_012_063_000058	八奏《大一統之曲》，名《鳳凰吟》：大明天子駕飛龍，開疆宇，定王封。
HCH_012_063_000059	江漢遠朝宗，慶四海，車書會同。
HCH_012_063_000060	東夷西旅，北戎南越，都入地圖中。
HCH_012_063_000061	遐邇暢皇風，億萬載，時和歲豐。
HCH_012_063_000062	九奏《守承平之曲》，名《萬年春》：風調雨順遍乾坤，齊慶承平時節。
HCH_012_063_000063	玉燭調和甘露降，遠近桑麻相接。
HCH_012_063_000064	偃武修文，報功崇德，率土皆臣妾。
HCH_012_063_000065	山河磐固，萬方黎庶歡悅。
HCH_012_063_000066	長想創業艱難，君臣曾共掃四方豪傑。
HCH_012_063_000067	露宿宵征鞍馬上，歷盡風霜冰雪。
HCH_012_063_000068	朝野如今，清寧無事，任用須賢哲。
HCH_012_063_000069	躬勤節儉，萬年同守王業。
HCH_012_063_000070	以上九奏，前三奏和緩，中四奏壯烈，後二奏舒長。
HCH_012_063_000071	其曲皆按月律。
HCH_012_063_000072	十二月按律樂歌。
HCH_012_063_000073	正月太簇，本宮黃鐘商，俗名大石，曲名《萬年春》：奏天承運秉黃麾，志在安民除慝。
HCH_012_063_000074	曾睹中天騰王氣，五色虹霓千尺。
HCH_012_063_000075	龍繞兜鍪，神迎艘艦，嘉應非人力。
HCH_012_063_000076	鳳凰山上，廢雲長繞峯石。
HCH_012_063_000077	天助神武成功，人心效順，所至皆無敵。
HCH_012_063_000078	手握乾符開寶祚，略定山河南北。
HCH_012_063_000079	飲馬江淮，列營河漢，四海風波息。
HCH_012_063_000080	師雄將猛，萬方齊仰威德。
HCH_012_063_000081	二月夾鍾，本宮夾鍾宮，俗名中呂，曲名《玉街行》：山林豺虎，中原狐兔，四海英雄無數。
HCH_012_063_000082	大明真主起臨濠，震於赫戎衣一怒。
HCH_012_063_000083	星羅玉壘，雲屯鐵騎，一掃乾坤煙霧。
HCH_012_063_000084	黎民重睹太平年，慶萬里山河磐固。
HCH_012_063_000085	三月姑洗，本宮太簇商，俗名大石，曲名《賀聖朝》：雲氣朝生芒碭間，虹光夜起鳳凰山。
HCH_012_063_000086	江淮一日真主出，華夏千年正統還。
HCH_012_063_000087	瞻日角，睹天顏，雲龍風虎競追攀。
HCH_012_063_000088	君臣勤苦成王業，王業汪洋被百蠻。
HCH_012_063_000089	四月仲呂，本宮無射徵，俗名黃鐘正徵，曲名《喜昇平》：風雲密，濠梁千載真龍出。
HCH_012_063_000090	真龍出，鯨鯢豺虎，掃除無跡。
HCH_012_063_000091	江河從此波濤息，乾坤同慶承平日。
HCH_012_063_000092	承平日，華夷萬里，地圖歸一。
HCH_012_063_000093	五月蕤賓，本宮姑洗商，俗名中管雙調，曲名《樂清朝》：中原鹿走英雄起，回首四郊多壘。
HCH_012_063_000094	英主倡兵淮水，將士皆雄偉。
HCH_012_063_000095	百靈護助人心喜，一呼萬人風靡。
HCH_012_063_000096	談笑掃除螻蟻，王業從茲始。
