HCH_012_077_000000	《記》曰：「取財於地，而取法於天。富國之本，在於農桑。」
HCH_012_077_000001	明初，沿元之舊，錢法不通而用鈔，又禁民間以銀交易，宜若不便於民。
HCH_012_077_000002	而洪、永、熙、宣之際，百姓充實，府藏衍溢。
HCH_012_077_000003	蓋是時，劭農務墾闢，土無萊蕪，人敦本業，又開屯田、中鹽以給邊軍，餫餉不仰藉於縣官，故上下交足，軍民胥裕。
HCH_012_077_000004	其後，屯田壞於豪強之兼併，計臣變鹽法。
HCH_012_077_000005	於是邊兵悉仰食太倉，轉輸住往不給。
HCH_012_077_000006	世宗以後，耗財之道廣，府庫匱竭。
HCH_012_077_000007	神宗乃加賦重徵，礦稅四出，移正供以實左藏。
HCH_012_077_000008	中涓羣小，橫斂侵漁。
HCH_012_077_000009	民多逐末，田卒汙萊。
HCH_012_077_000010	吏不能拊循，而覆侵刻之。
HCH_012_077_000011	海內困敝，而儲積益以空乏。
HCH_012_077_000012	昧者多言復通鈔法可以富國，不知國初之充裕在勤農桑，而不在行鈔法也。
HCH_012_077_000013	夫韁本節用，為理財之要。
HCH_012_077_000014	明一代理財之道，始所以得，終所以失，條其本末，著於篇。
HCH_012_077_000015	太祖籍天下戶口，置戶帖、戶籍，具書名、歲、居地。
HCH_012_077_000016	籍上戶部，帖給之民。
HCH_012_077_000017	有司歲計其登耗以聞。
HCH_012_077_000018	及郊祀，中書省以戶籍陳壇下，薦之天，祭畢而藏之。
HCH_012_077_000019	洪武十四年詔天下編賦役黃冊，以一百十戶為一里，推丁糧多者十戶為長，餘百戶為十甲，甲凡十人。
HCH_012_077_000020	歲役裏長一人，甲首一人，董一里一甲之事。
HCH_012_077_000021	先後以丁糧多寡為序，凡十年一週，曰排年。
HCH_012_077_000022	在城曰坊，近城曰廂，鄉都曰裏。
HCH_012_077_000023	裏編為冊，冊首總為一圖。
HCH_012_077_000024	鰥寡孤獨不任役者，附十甲後為畸零。
HCH_012_077_000025	僧道給度牒，有田者編冊如民科，無田者亦為畸零。
HCH_012_077_000026	每十年有司更定其冊，以丁糧增減而升降之。
HCH_012_077_000027	冊凡四：一上戶部，其三則布政司、府、縣各存一焉。
HCH_012_077_000028	上戶部者，冊面黃紙，故謂之黃冊。
HCH_012_077_000029	年終進呈，送後湖東西二庫庋藏之。
HCH_012_077_000030	歲命戶科給事中一人、御史二人、戶部主事四人釐校訛舛。
HCH_012_077_000031	其後黃冊只具文，有司徵稅、編徭，則自為一冊，曰白冊云。
HCH_012_077_000032	凡戶三等：曰民，曰軍，曰匠。
HCH_012_077_000033	民有儒，有醫，有陰陽。
HCH_012_077_000034	軍有校尉，有力士，弓、鋪兵。
HCH_012_077_000035	匠有廚役、裁縫、馬船之類。
HCH_012_077_000036	瀕海有鹽竈。
HCH_012_077_000037	寺有僧，觀有道士。
HCH_012_077_000038	畢以其業著籍。
HCH_012_077_000039	人戶以籍為斷，禁數姓合戶附籍。
HCH_012_077_000040	漏口、脫戶，許自實。
HCH_012_077_000041	裏設老人，選年高為眾所服者，導民善，平鄉里爭訟。
HCH_012_077_000042	其人戶避徭役者曰逃戶。
HCH_012_077_000043	年饑或避兵他徙者曰流民。
HCH_012_077_000044	有故而出僑於外者曰附籍。
HCH_012_077_000045	朝廷所移民曰移徙。
HCH_012_077_000046	凡逃戶，明初督令還本籍復業，賜復一年。
HCH_012_077_000047	老弱不能歸及不願歸者，令在所著籍，授田輸賦。
HCH_012_077_000048	正統時，造逃戶周知冊，核其丁糧。
HCH_012_077_000049	凡流民，英宗令勘籍，編甲互保，屬在所裏長管轄之。
HCH_012_077_000050	設撫民佐貳官。
HCH_012_077_000051	歸本者，勞徠安輯，給牛、種、口糧。
HCH_012_077_000052	又從河南、山西巡撫于謙言，免流民復業者稅。
HCH_012_077_000053	成化初，荊、襄寇亂，流民百萬。
HCH_012_077_000054	項忠、楊璿為湖廣巡撫，下令逐之，弗率者戍邊，死者無算。
HCH_012_077_000055	祭酒周洪謨著《流民說》，引東晉時僑置郡縣之法，使近者附籍，遠者設州縣以撫之。
HCH_012_077_000056	都御史李賓上其說。
HCH_012_077_000057	憲宗命原傑出撫，招流民十二萬戶，給閒田，置鄖陽府，立上津等縣統治之。
HCH_012_077_000058	河南巡撫張瑄亦請輯西北流民。
HCH_012_077_000059	帝從其請。
HCH_012_077_000060	凡附籍者，正統時，老疾致仕事故官家屬，離本籍千里者許收附，不及千里者發還。
HCH_012_077_000061	景泰中，令民籍者收附，軍、匠、竈役冒民籍者發還。
HCH_012_077_000062	其移徙者，明初，當徙蘇、鬆、嘉、湖、杭民之無田者四千餘戶，往耕臨濠，給牛、種、車、糧，以資遣之，三年不徵其稅。
HCH_012_077_000063	徐達平沙漠，徙北平山後民三萬五千八百餘戶，散處諸府衛，籍為軍者給衣糧，民給田。
HCH_012_077_000064	又以沙漠遺民三萬二千八百餘戶屯田北平，置屯二百五十四，開地千三百四十三頃。
HCH_012_077_000065	復徙江南民十四萬於鳳陽。
HCH_012_077_000066	戶部郎中劉九皋言：「古狹鄉之民，聽遷之寬鄉，欲地無遺利，人無失業也。」
HCH_012_077_000067	太祖採其議，遷山凱撒、潞民於河北。
HCH_012_077_000068	眾屢徙浙西及山西民於滁、和、北平、山東、河南。
HCH_012_077_000069	又徙登、萊、青民於東昌、兗州。
HCH_012_077_000070	又徙直隸、浙江民二萬戶於京師，充倉腳夫。
HCH_012_077_000071	太祖時徙民最多，其間有以罪徙者。
