HCH_012_120_000000	哀沖太子載基莊敬太子載壑景王載圳潁王載𪉖戚王載薊王載㙺均王載𰉬世宗八子。
HCH_012_120_000001	閻貴妃生哀沖太子載基。
HCH_012_120_000002	王貴妃生莊敬太子載。
HCH_012_120_000003	杜太后生穆宗。
HCH_012_120_000004	盧靖妃生景王載圳。
HCH_012_120_000005	江肅妃生潁王載𪉖。
HCH_012_120_000006	趙懿妃生戚王載。
HCH_012_120_000007	陳雍妃生薊王載㙺。
HCH_012_120_000008	趙榮妃生均王載𰉬。
HCH_012_120_000009	哀沖太子載基，世宗第一子。
HCH_012_120_000010	生二月而殤。
HCH_012_120_000011	莊敬太子載壑，世宗第二子。
HCH_012_120_000012	嘉靖十八年，世宗將南巡，立為皇太子，甫四歲，命監國，以大學士夏言為傅。
HCH_012_120_000013	尚書霍韜、郎中鄒守益獻《東宮聖學圖冊》，疑為謗訕，幾獲罪。
HCH_012_120_000014	帝既得方士段朝用，思習修攝術，諭禮部，具皇太子監國儀。
HCH_012_120_000015	太僕卿楊最諫，杖死，監國之議亦罷。
HCH_012_120_000016	贊善羅洪先、趙時春、唐順之請太子出閤，講學文華殿，皆削籍。
HCH_012_120_000017	太廟成，命太子攝祀。
HCH_012_120_000018	二十八年三月行寇禮，越二日薨。
HCH_012_120_000019	帝命與哀沖太子並建寢園，歲時祭祀，從諸陵後。
HCH_012_120_000020	景恭王載圳，世宗第四子。
HCH_012_120_000021	嘉靖十八年冊立太子，同日封穆宗裕王、載圳景王。
HCH_012_120_000022	其後太子薨，廷臣言裕王次當立。
HCH_012_120_000023	帝以前太子不永，遲之。
HCH_012_120_000024	晚信方士語，二王皆不得見。
HCH_012_120_000025	載圳既與裕王並出邸，居處衣服無別。
HCH_012_120_000026	載圳年少，左右懷窺覬，語漸聞，中外頗有異論。
HCH_012_120_000027	四十年之國德安。
HCH_012_120_000028	居四年薨。
HCH_012_120_000029	帝謂大學士徐階曰：「此子素謀奪嫡，今死矣。」
HCH_012_120_000030	初，載圳之藩，多請莊田。
HCH_012_120_000031	部議給之。
HCH_012_120_000032	荊州沙市不在請中。
HCH_012_120_000033	中使責市租，知府徐學謨執不與，又取薪稅於漢陽之劉家塥，推官吳宗周持之，皆獲譴。
HCH_012_120_000034	其他土田湖陂侵入者數萬頃。
HCH_012_120_000035	王無子，歸葬西山，妃妾皆還居京邸，封除。
HCH_012_120_000036	潁殤王載𪉖，世宗第五子。
HCH_012_120_000037	生未逾月殤。
HCH_012_120_000038	戚懷王載，世宗第六子。
HCH_012_120_000039	薊哀王載㙺，世宗第七子。
HCH_012_120_000040	均思王載𰉬，世宗第八子。
HCH_012_120_000041	三王俱未逾歲殤，追加封謚。
HCH_012_120_000042	穆宗四子。
HCH_012_120_000043	李皇后生憲懷太子翊釴，孝定太后生神宗、潞王翊镠，其靖王翊鈴，母氏無考。
HCH_012_120_000044	憲懷太子翊釴，穆宗長子。
HCH_012_120_000045	生五歲殤，贈裕世子。
HCH_012_120_000046	隆慶元年追謚。
HCH_012_120_000047	靖悼王翊鈴，穆宗第二子。
HCH_012_120_000048	生未逾年殤，贈藍田王。
HCH_012_120_000049	隆慶元年追加封謚。
HCH_012_120_000050	潞簡王翊镠，穆宗第四子。
HCH_012_120_000051	隆慶二年生，生四歲而封。
HCH_012_120_000052	萬歷十七年之藩衛輝。
HCH_012_120_000053	初，翊镠以帝母弟居京邸，王店、王莊遍畿內。
HCH_012_120_000054	比之藩，悉以還官，遂以內臣司之。
HCH_012_120_000055	皇店、皇莊自此益侈。
HCH_012_120_000056	翊镠居藩，多請贍田、食鹽，無不應者。
HCH_012_120_000057	其後福藩遂緣為故事。
HCH_012_120_000058	明初，親王歲祿外，量給草場牧地，間有以廢壤河灘請者，多不及千頃。
HCH_012_120_000059	部臣得執奏，不盡從也。
HCH_012_120_000060	景王就藩時，賜予概裁省。
HCH_012_120_000061	楚地曠，多閑田，詔悉予之。
HCH_012_120_000062	景藩除，潞得景故籍田，多至四萬頃，部臣無以難。
HCH_012_120_000063	至福王常洵之國，版籍更定，民力益絀，尺寸皆奪之民間，海內騷然。
HCH_012_120_000064	論者推原事始，頗以翊镠為口實云。
HCH_012_120_000065	翊镠好文，性勤飭，恒以歲入輸之朝，助工助邊無所惜，帝益善之。
HCH_012_120_000066	四十二年，皇太后哀問至，翊镠悲慟廢寢食，未幾薨。
HCH_012_120_000067	世子常淓幼，母妃李氐理藩事。
HCH_012_120_000068	時福王奏請，輒取中旨，帝於王妃奏，亦從中下，示無異同。
HCH_012_120_000069	部臣言：「王妃奏陳四事，如軍校月糧之當給發，義和店之預防侵奪，義所當許；至歲祿之欲先給，王莊之欲更設，則不當許。且於王無絲豪益，徒令邸中人日魚肉小民，飽私囊。將來本支千億，請索日頻，盡天府之版章，給王邸而不足也。」
HCH_012_120_000070	不報。
HCH_012_120_000071	四十六年，常淓嗣。
HCH_012_120_000072	崇禎中，流賊擾秦、晉、河北。
HCH_012_120_000073	常淓疏告急，言：「衛輝城卑土惡，請選護衛三千人助守，捐歲入萬金資餉，不煩司農。」
HCH_012_120_000074	朝廷嘉之。
HCH_012_120_000075	盜發王妃冢，常淓上言：「賊延蔓漸及江北，鳳、泗陵寢可虞，宜早行剿滅。」
HCH_012_120_000076	時諸藩中能急國難者，惟周、潞二王云。
HCH_012_120_000077	後賊躪中州，常淓流寓於杭。
HCH_012_120_000078	順治二年六月降於我大清。
HCH_012_120_000079	神宗八子。
HCH_012_120_000080	王太后生光宗。
HCH_012_120_000081	鄭貴妃生福王常洵、沅王常治。
HCH_012_120_000082	周端妃生瑞王常浩。
HCH_012_120_000083	李貴妃生惠王常潤、桂王常瀛。
HCH_012_120_000084	其邠王常漵、永思王常溥，母氏無考。
HCH_012_120_000085	邠哀王常漵，神宗第二子。
HCH_012_120_000086	生一歲殤。
HCH_012_120_000087	福恭王常洵，神宗第三子。
HCH_012_120_000088	初，王皇后無子，王妃生長子，是為光宗。
HCH_012_120_000089	常洵次之，母鄭貴妃最幸。
HCH_012_120_000090	帝久不立太子，中外疑貴妃謀立己子，交章言其事，竄謫相踵，而言者不止。
HCH_012_120_000091	帝深厭苦之。
HCH_012_120_000092	二十九年始立光宗為太子，而封常洵福王，婚費至三十萬，營洛陽邸第至二十八萬，十倍常制。
HCH_012_120_000093	廷臣請王之藩者數十百奏。
HCH_012_120_000094	不報。
HCH_012_120_000095	至四十二年，始令就藩。
HCH_012_120_000096	先是，海內全盛，帝所遣稅使、礦使遍天下，月有進奉，明珠異寶文毳錦綺山積，他搜括贏羨億萬計。
HCH_012_120_000097	至是多以資常洵。
HCH_012_120_000098	臨行出宮門，召還數四，期以三歲一入朝。
HCH_012_120_000099	下詔賜莊田四萬頃。
HCH_012_120_000100	所司力爭，常洵亦奏辭，得減半。
HCH_012_120_000101	中州腴土不足，取山東、湖廣田益之。
HCH_012_120_000102	又奏乞故大學士張居正所沒產，及江都至太平沿江荻洲雜稅，並四川鹽井榷茶銀以自益。
HCH_012_120_000103	伴讀、承奉諸官，假履畝為名，乘傳出入河南北、齊、楚間，所至騷動。
HCH_012_120_000104	又請淮鹽千三百引，設店洛陽與民市。
HCH_012_120_000105	中使至淮、揚支鹽，乾沒要求輒數倍。
HCH_012_120_000106	而中州舊食河東鹽，以改食淮鹽故，禁非王肆所出不得鬻，河東引遏不行，邊餉由此絀。
HCH_012_120_000107	廷臣請改給王鹽於河東，且無與民市。
HCH_012_120_000108	弗聽。
HCH_012_120_000109	帝深居久，群臣章奏率不省。
HCH_012_120_000110	獨福藩使通籍中左門，一日數請，朝上夕報可。
HCH_012_120_000111	四方奸人亡命，探風旨，走利如鶩。
HCH_012_120_000112	如是者終萬歷之世。
HCH_012_120_000113	及崇禎時，常洵地近屬尊，朝廷尊禮之。
HCH_012_120_000114	常洵日閉閣飲醇酒，所好惟婦女倡樂。
HCH_012_120_000115	秦中流賊起，河南大旱蝗，人相食，民間藉藉，謂先帝耗天下以肥王，洛陽富於大內。
HCH_012_120_000116	援兵過洛者，喧言：「王府金錢百萬，而令吾輩枵腹死賊手。」
HCH_012_120_000117	南京兵部尚書呂維祺方家居，聞之懼，以利害告常洵，不為意。
HCH_012_120_000118	十三年冬，李自成連䧟永寧、宜陽。
HCH_012_120_000119	明年正月，參政王胤昌帥眾警備，總兵官王紹禹，副將劉見義、羅泰各引兵至。
HCH_012_120_000120	常洵召三將入，賜宴加禮。
HCH_012_120_000121	越數日，賊大至，攻城。
HCH_012_120_000122	常洵出千金募勇士，縋而出，用矛入賊營，賊稍卻。
HCH_012_120_000123	夜半，紹禹親軍從城上呼賊相笑語，揮刀殺守堞者，燒城樓，開北門納賊。
HCH_012_120_000124	常洵縋城出，匿迎恩寺。
HCH_012_120_000125	翌日，賊跡而執之，遂遇害。
HCH_012_120_000126	兩承奉伏屍哭，賊捽之去。
HCH_012_120_000127	承奉呼曰：「王死某不願生，乞一棺收王骨，棆粉無所恨。」
HCH_012_120_000128	賊義而許之。
HCH_012_120_000129	桐棺一寸，載以斷車，兩人即其旁自縊死。
HCH_012_120_000130	王妃鄒氏及世子由崧走懷慶。
HCH_012_120_000131	賊火王宮，三日不絕。
HCH_012_120_000132	事聞，帝震悼，輟朝三日，令河南有司改殯。
HCH_012_120_000133	十六年秋七月，由崧襲封，帝親擇宮中寶玉帶賜之。
HCH_012_120_000134	明年三月，京師失守，由崧與潞王常淓俱避賊至淮安。
HCH_012_120_000135	四月，鳳陽總督馬士英等迎由崧入南京。
HCH_012_120_000136	五月庚寅，稱監國。
HCH_012_120_000137	以兵部尚書史可法、戶部尚書高弘圖及士英俱為大學士，士英仍督鳳陽軍務。
HCH_012_120_000138	壬寅自立於南京，偽號弘光。
HCH_012_120_000139	史可法督師江北。
HCH_012_120_000140	召士英入，分淮、揚、鳳、廬為四鎮，以總兵官黃得功、劉良佐、劉澤清、高傑領之。
HCH_012_120_000141	由崧性闇弱，湛於酒色聲伎，委任士英及士英黨阮大鋮，擢至兵部尚書，巡閱江防。
HCH_012_120_000142	二人日以鬻官爵、報私憾為事。
HCH_012_120_000143	事詳諸臣傳中。
HCH_012_120_000144	未幾，有王之明者，詐稱莊烈帝太子，下之獄。
HCH_012_120_000145	又有婦童氏，自稱由崧妃，亦下獄。
HCH_012_120_000146	於是中外嘩然。
