HCH_012_148_000000	楊士奇，名寓，以字行，泰和人。
HCH_012_148_000001	早孤，隨母適羅氏，已而復宗。
HCH_012_148_000002	貧甚。
HCH_012_148_000003	力學，授徒自給。
HCH_012_148_000004	多游湖、湘間，館江夏最久。
HCH_012_148_000005	建文初，集諸儒修《太祖實錄》，士奇已用薦徵授教授當行，王叔英復以史才薦。
HCH_012_148_000006	遂召入翰林，充編纂官。
HCH_012_148_000007	尋命吏部考第史館諸儒。
HCH_012_148_000008	尚書張紞得士奇策，曰：「此非經生言也。」
HCH_012_148_000009	奏第一。
HCH_012_148_000010	授吳王府審理副，仍供館職。
HCH_012_148_000011	成祖即位，改編修。
HCH_012_148_000012	已，簡入內閣，典機務。
HCH_012_148_000013	數月進侍講。
HCH_012_148_000014	永樂二年選宮僚，以士奇為左中允。
HCH_012_148_000015	五年進左諭德。
HCH_012_148_000016	士奇奉職甚謹，私居不言公事，雖至親厚不得聞。
HCH_012_148_000017	在帝前，舉止恭慎，善應對，言事輒中。
HCH_012_148_000018	人有小過，嘗為揜覆之。
HCH_012_148_000019	廣東布政使徐奇載嶺南土物饋廷臣，或得其目籍以進。
HCH_012_148_000020	帝閱無士奇名，召問。
HCH_012_148_000021	對曰：「奇赴廣時，群臣作詩文贈行，臣適病弗預，以故獨不及。今受否未可知，且物微，當無他意。」
HCH_012_148_000022	帝遽命毀籍。
HCH_012_148_000023	六年，帝北巡，命與蹇義、黃淮留輔太子。
HCH_012_148_000024	太子喜文辭，贊善王汝玉以詩法進。
HCH_012_148_000025	士奇曰：「殿下當留意《六經》，暇則觀兩漢詔令。詩小技，不足為也。」
HCH_012_148_000026	太子稱善。
HCH_012_148_000027	初，帝起兵時，漢王數力戰有功。
HCH_012_148_000028	帝許以事成立為太子。
HCH_012_148_000029	既而不得立，怨望。
HCH_012_148_000030	帝又憐趙王年少，寵異之。
HCH_012_148_000031	由是兩王合而間太子，帝頗心動。
HCH_012_148_000032	九年還南京，召士奇問監國狀。
HCH_012_148_000033	士奇以孝敬對，且曰：「殿下天資高，即有過必知，知必改，存心愛人，決不負陛下託。」
HCH_012_148_000034	帝悅。
HCH_012_148_000035	十一年正旦，日食。
HCH_012_148_000036	禮部尚書呂震請勿罷朝賀。
HCH_012_148_000037	侍郎儀智持不可。
HCH_012_148_000038	士奇亦引宋仁宗事力言之。
HCH_012_148_000039	遂罷賀。
HCH_012_148_000040	明年，帝北征。
HCH_012_148_000041	士奇仍輔太子居守。
HCH_012_148_000042	漢王譖太子益急。
HCH_012_148_000043	帝還，以迎駕緩，盡徵東宮官黃淮等下獄。
HCH_012_148_000044	士奇後至，宥之。
