HCH_012_149_000000	蹇義，字宜之，巴人，初名容。
HCH_012_149_000001	洪武十八年進士。
HCH_012_149_000002	授中書舍人，奏事稱旨。
HCH_012_149_000003	帝問：「汝蹇叔後乎？」
HCH_012_149_000004	容頓首不敢對。
HCH_012_149_000005	帝嘉其誠篤，為更名義，手書賜之。
HCH_012_149_000006	滿三載當遷，特命滿九載，曰：「朕且用義。」
HCH_012_149_000007	由是朝夕侍左右，小心敬慎，未嘗忤色。
HCH_012_149_000008	惠帝既即位，推太祖意，超擢吏部右侍郎。
HCH_012_149_000009	是時齊泰、黃子澄當國，外興大師，內改制度，義無所建明。
HCH_012_149_000010	國子博士王紳遺書責之，義不能答。
HCH_012_149_000011	燕師入，迎附，遷左侍郎。
HCH_012_149_000012	數月，進尚書。
HCH_012_149_000013	時方務反建文之政，所更易者悉罷之。
HCH_012_149_000014	義從容言曰：「損益貴適時宜。前改者固不當，今必欲盡復者，亦未悉當也。」
HCH_012_149_000015	因舉數事陳說本末。
HCH_012_149_000016	帝稱善，從其言。
HCH_012_149_000017	永樂二年兼太子詹事。
HCH_012_149_000018	帝有所傳諭太子，輒遣義，能委曲導意。
HCH_012_149_000019	帝與太子俱愛重之。
HCH_012_149_000020	七年，帝巡北京，命輔皇太子監國。
HCH_012_149_000021	義熟典故，達治體，軍國事皆倚辦。
HCH_012_149_000022	時舊臣見親用者，戶部尚書夏原吉與義齊名，中外稱曰「蹇、夏」。
HCH_012_149_000023	滿三考，帝親宴二人便殿，褒揚甚至。
HCH_012_149_000024	數奉命兼理他部事，職務填委，處之裕如。
HCH_012_149_000025	十七年以父喪歸，帝及太子皆遣官賜祭。
HCH_012_149_000026	詔起復。
HCH_012_149_000027	十九年，三殿災，敕廷臣二十六人巡行天下。
HCH_012_149_000028	義及給事中馬俊分巡應天諸府，問軍民疾苦，黜文武長吏擾民者數人，條興革數十事奏行之。
HCH_012_149_000029	還治部事。
HCH_012_149_000030	明年，帝北征還，以太子曲宥呂震婿主事張鶴朝參失儀，罪義不匡正，逮義系錦衣衛獄。
HCH_012_149_000031	又明年春得釋。
HCH_012_149_000032	仁宗即位，義、原吉皆以元老為中外所信。
HCH_012_149_000033	帝又念義監國時舊勞，尤厚倚之。
HCH_012_149_000034	首進義少保，賜冠服、象笏、玉帶，兼食二祿。
HCH_012_149_000035	歷進少師，賜銀章一，文曰「繩愆糾繆」。
HCH_012_149_000036	已，復賜璽書曰：「曩朕監國，卿以先朝舊臣，日侍左右。兩京肇建，政務方殷，卿勞心焦思，不恤身家，二十餘年，夷險一節。朕承大統，贊襄治理，不懈益恭。朕篤念不忘，茲以已意，創制『蹇忠貞印』賜卿。俾藏於家，傳之後世，知朕君臣共濟艱難，相與有成也。」
HCH_012_149_000037	時惟楊士奇亦得賜「貞一」印及敕。
HCH_012_149_000038	尋命與英國公輔及原吉同監修《太宗實錄》。
HCH_012_149_000039	義視原吉尤重厚，然過於周慎。
HCH_012_149_000040	士奇嘗於帝前謂義曰：「何過慮？」
HCH_012_149_000041	義曰：「恐鹵莽為後憂耳。」
HCH_012_149_000042	帝兩是之。
HCH_012_149_000043	楊榮嘗毀義。
HCH_012_149_000044	帝不直榮。
HCH_012_149_000045	義頓首言：「榮無他。即左右有讒榮者，願陛下慎察。」
HCH_012_149_000046	帝笑曰：「吾固弗信也。」
HCH_012_149_000047	宣宗即位，委寄益重。
HCH_012_149_000048	時方修獻陵，帝欲遵遺詔從儉約，以問義、原吉。
HCH_012_149_000049	二人力
HCH_012_149_000050	贊曰：「聖見高遠，出於至孝，萬世之利也。」
HCH_012_149_000051	帝親為規畫，三月而陵成，宏麗不及長陵，其後諸帝因以為制。
HCH_012_149_000052	迨世宗營永陵，始益崇侈雲。
HCH_012_149_000053	帝征樂安，義、原吉及諸學士皆從，預軍中機務，賜鞍馬甲胄弓劍。
HCH_012_149_000054	及還，賚予甚厚。
HCH_012_149_000055	三年從巡邊還。
HCH_012_149_000056	帝以義、原吉、士奇、榮四人者皆已老，賜璽書曰：「卿等皆祖宗遺老，畀輔朕躬。今黃髮危齒，不宜復典冗劇，傷朝廷優老待賢之禮。可輟所務，朝夕在朕左右討論至理，共寧邦家。官祿悉如舊。」
HCH_012_149_000057	明年，郭琎代為尚書。
HCH_012_149_000058	尋以胡濙言，命義等四人議天下官吏軍民建言章奏。
HCH_012_149_000059	復賜義銀章，文曰「忠厚寬宏」。
HCH_012_149_000060	七年詔有司為義營新第於文明門內。
HCH_012_149_000061	英宗即位，齋宿得疾。
HCH_012_149_000062	遣醫往視，問所欲言。
HCH_012_149_000063	對曰：「陛下初嗣大寶，望敬守祖宗成憲，始終不渝耳。」
HCH_012_149_000064	遂卒，年七十三。
HCH_012_149_000065	贈太師，謚忠定。
HCH_012_149_000066	義為人質直孝友，善處僚友間，未嘗一語傷物。
HCH_012_149_000067	士奇常言：「張詠之不飾玩好，傅堯俞之遇人以誠，範景仁之不設城府，義兼有之。」
HCH_012_149_000068	子英，有詩名，以蔭為尚寶司丞，歷官太常少卿。
HCH_012_149_000069	夏原吉，字維喆，其先德興人。
HCH_012_149_000070	父時敏，官湘陰教諭，遂家焉。
HCH_012_149_000071	原吉早孤，力學養母。
HCH_012_149_000072	以鄉薦入太學，選入禁中書制誥。
HCH_012_149_000073	諸生或喧笑，原吉危坐儼然。
HCH_012_149_000074	太祖诇而異之。
HCH_012_149_000075	擢戶部主事。
HCH_012_149_000076	曹務叢脞，處之悉有條理，尚書郁新甚重之。
HCH_012_149_000077	有劉郎中者，忌其能。
HCH_012_149_000078	會新劾諸司怠事者。
HCH_012_149_000079	帝欲宥之，新持不可。
HCH_012_149_000080	帝怒，問：「誰教若？」
HCH_012_149_000081	新頓首曰：「堂後書算生。」
HCH_012_149_000082	帝乃下書算生於獄。
HCH_012_149_000083	劉郎中遂言：「教尚書者，原吉也。」
HCH_012_149_000084	帝曰：「原吉能佐尚書理部事，汝欲陷之耶！」
HCH_012_149_000085	劉郎中與書算生皆棄市。
HCH_012_149_000086	建文初，擢戶部右侍郎。
HCH_012_149_000087	明年充采訪使。
HCH_012_149_000088	巡福建，所過郡邑，核吏治，咨民隱。
HCH_012_149_000089	人皆悅服。
HCH_012_149_000090	久之，移駐蘄州。
HCH_012_149_000091	成祖即位，或執原吉以獻。
HCH_012_149_000092	帝釋之，轉左侍郎。
HCH_012_149_000093	或言原吉建文時用事，不可信。
HCH_012_149_000094	帝不聽，與蹇義同進尚書。
HCH_012_149_000095	偕義等詳定賦役諸制。
