HCH_012_152_000000	董倫儀智鄒濟周述陳濟王英錢習禮周敘柯潛孔公恂董倫，字安常，恩人。
HCH_012_152_000001	洪武十五年以張以寧薦，授贊善大夫，侍懿文太子，陳說剴切。
HCH_012_152_000002	太祖嘉之，進左春坊大學士。
HCH_012_152_000003	太子薨，出為河南左參議。
HCH_012_152_000004	肇州吏目蘭溪諸葛伯衡廉，倫薦之。
HCH_012_152_000005	帝遽擢為陜西參議。
HCH_012_152_000006	又言儒學訓導宜與冠帶，別於士子。
HCH_012_152_000007	劉導始註選。
HCH_012_152_000008	三十年坐事謫雲南教官。
HCH_012_152_000009	雲南初設學校，倫以身教，人皆向學。
HCH_012_152_000010	建文初，召拜禮部侍郎兼翰林學士，與方孝孺同侍經筵。
HCH_012_152_000011	禦書「怡老堂」額寵之，又賜髹幾、玉鳩杖。
HCH_012_152_000012	解縉謫河州，以倫言得召還。
HCH_012_152_000013	倫質直敦厚，嘗勸帝睦親藩，不聽。
HCH_012_152_000014	成祖即位，倫年已八十，命致仕，尋卒。
HCH_012_152_000015	其與倫同時為禮部侍郎者，有王景，字景彰，松陽人。
HCH_012_152_000016	洪武初，為懷遠教諭。
HCH_012_152_000017	以博學應詔。
HCH_012_152_000018	命作朝享樂章，定藩王朝覲儀。
HCH_012_152_000019	累官山西參政，與倫先後謫雲南。
HCH_012_152_000020	建文初，召入翰林，修《太祖實錄》。
HCH_012_152_000021	用張紞薦，除禮部侍郎兼翰林侍講。
HCH_012_152_000022	成祖即位，擢學士。
HCH_012_152_000023	帝問葬建文帝禮，景頓首言：「宜用天子禮。」
HCH_012_152_000024	從之。
HCH_012_152_000025	永樂六年卒於官。
HCH_012_152_000026	儀智，字居真，高密人。
HCH_012_152_000027	洪武末，舉耆儒，授高密訓導，遷莘縣教諭。
HCH_012_152_000028	擢知高郵州，課農興學，吏民愛之。
HCH_012_152_000029	永樂元年遷寶慶知府。
HCH_012_152_000030	土人健悍，獨畏智，相戒不敢犯。
HCH_012_152_000031	召為右通政兼右中允。
HCH_012_152_000032	未幾，遷湖廣右布政使。
HCH_012_152_000033	坐事謫役通州。
HCH_012_152_000034	六年冬，湖廣都指揮使龔忠入見。
HCH_012_152_000035	帝問湖湘間老儒，忠以智對。
HCH_012_152_000036	即日召之。
HCH_012_152_000037	既至，拜禮部左侍郎。
HCH_012_152_000038	十一年元旦，日當食，尚書呂震請朝賀如常，智持不可。
HCH_012_152_000039	會左諭德楊士奇亦以為言，乃免賀如智議。
HCH_012_152_000040	十四年詔吏部、翰林院擇耆儒侍太孫。
HCH_012_152_000041	士奇及蹇義首薦智。
HCH_012_152_000042	太子曰：「吾嘗舉李繼鼎，大誤，悔無及。智誠端士，然老矣。」
HCH_012_152_000043	士奇頓首言：「智起家學官，明理守正。雖耄，精神未衰。廷臣中老成正大，無逾智者。」
HCH_012_152_000044	是日午朝，帝顧太子曰：「侍太孫講讀得人未？」
HCH_012_152_000045	太子對曰：「舉禮部侍郎儀智，議未決。」
HCH_012_152_000046	帝喜曰：「智雖老，能直言，可用也。」
HCH_012_152_000047	遂命輔導皇太孫。
HCH_012_152_000048	每進講書史，必反覆啟迪，以正心術為本。
HCH_012_152_000049	十九年，年八十，致仕，卒於家。
HCH_012_152_000050	洪熙元年贈太子少保，謚文簡。
HCH_012_152_000051	季子銘，字子新。
HCH_012_152_000052	宣宗即位，以侍郎戴綸薦，授行在禮科給事中。
HCH_012_152_000053	九年秩滿，帝念智舊勞，改銘修撰。
HCH_012_152_000054	正統三年預修宣廟《實錄》成，遷侍講，後改郕府長史。
HCH_012_152_000055	郕王監國，視朝午門。
HCH_012_152_000056	廷臣劾王振，叫號莫辨人聲。
HCH_012_152_000057	銘獨造膝前，免冠敷奏。
HCH_012_152_000058	下令旨族振，眾嘩始息。
HCH_012_152_000059	景帝即位，力贊征伐諸大事。
HCH_012_152_000060	尋以潛邸恩，授禮部右侍郎。
HCH_012_152_000061	明年兼經筵官。
HCH_012_152_000062	帝每臨講幄，輒命中官擲金錢於地，任講官遍拾之，號「恩典」。
HCH_012_152_000063	文臣與者，內閣高谷等外，惟銘與俞山、俞綱、蕭鎡、趙琬數人而已。
HCH_012_152_000064	尋進南京禮部尚書。
HCH_012_152_000065	懷獻太子立，加太子太保，召為兵部尚書兼詹事。
HCH_012_152_000066	蘇州、淮安諸郡積雪，民凍餓死相枕。
HCH_012_152_000067	沙灣築河，役山東、河南九萬人，責民間鐵器數萬具。
HCH_012_152_000068	銘請於帝，多所寬恤。
HCH_012_152_000069	因災異，言消弭在敬天法祖，省刑薄斂，節用愛人。
HCH_012_152_000070	錄《皇明祖訓錄》以進，深見獎納。
HCH_012_152_000071	卒，謚忠襄。
HCH_012_152_000072	銘少學於吳訥。
HCH_012_152_000073	天性孝友，易直有父風。
HCH_012_152_000074	長子海，錦衣衛百戶。
HCH_012_152_000075	季子泰，舉於鄉，為禮科給事中。
HCH_012_152_000076	並以父恩授雲。
HCH_012_152_000077	鄒濟，字汝舟，余杭人。
HCH_012_152_000078	事母以孝聞。
HCH_012_152_000079	博學強記，尤長《春秋》。
HCH_012_152_000080	為余杭訓導，師法嚴。
HCH_012_152_000081	累遷國子學錄、助教，以薦知平度州。
HCH_012_152_000082	永樂初，預修《太祖實錄》成，除禮部郎中。
HCH_012_152_000083	征安南，從幕府司奏記。
HCH_012_152_000084	還為廣東右參政，再遷左春坊左庶子，授皇孫經。
HCH_012_152_000085	濟為人和易坦夷，無貴賤皆樂親之。
HCH_012_152_000086	秩滿，進少詹事。
HCH_012_152_000087	當是時，宮僚多得罪，徐善述、王汝玉、馬京、梁潛輩被讒，相繼下獄死。
HCH_012_152_000088	濟積憂得疾。
HCH_012_152_000089	皇太子以書慰曰：「卿善自攝。即有不諱，當提攜卿息，不使墜蓬蒿也。」
HCH_012_152_000090	卒，年六十八。
HCH_012_152_000091	洪熙元年贈太子少保，謚文敏。
HCH_012_152_000092	命有司立祠墓側，春秋祀之。
