HCH_012_174_000000	史昭巫凱許貴周賢歐信王璽魯鑒劉寧彭清姜漢安國杭雄史昭，合肥人。
HCH_012_174_000001	永樂初，積功至都指揮僉事。
HCH_012_174_000002	八年充總兵官，鎮涼州。
HCH_012_174_000003	土軍老的罕先與千戶虎保作亂，虎保敗，老的罕就撫。
HCH_012_174_000004	昭上書言其必叛狀。
HCH_012_174_000005	未至，而老的罕果叛。
HCH_012_174_000006	昭與都指揮滿都等擊平之。
HCH_012_174_000007	移鎮西寧。
HCH_012_174_000008	仁宗立，進都督僉事。
HCH_012_174_000009	上言西寧風俗鄙悍，請設學校如中土。
HCH_012_174_000010	報可。
HCH_012_174_000011	宣德初，昭以衛軍守禦，不暇屯種，其家屬願力田者七百七十餘人，請俾耕藝，收其賦以足軍食。
HCH_012_174_000012	從之。
HCH_012_174_000013	五年，曲先衛都指揮使散即思邀劫西域使臣，昭率參將趙安偕中官王安、王瑾討之。
HCH_012_174_000014	長驅至曲先，散即思望風遁，擒其黨答答不花等，獲男女三百四十人，馬駝牛羊三十餘萬，威震塞外。
HCH_012_174_000015	捷聞，璽書慰勞，賞賚加等。
HCH_012_174_000016	七年春，以征西將軍鎮寧夏。
HCH_012_174_000017	孛的達裏麻犯邊，遣兵擊之。
HCH_012_174_000018	至闊臺察罕，俘獲甚眾。
HCH_012_174_000019	進都督同知。
HCH_012_174_000020	正統初，昭以寧夏孤懸河外，東抵綏德二千里，曠遠難守，請於花馬池築哨馬營，增設烽堠，直接哈剌兀速之境。
HCH_012_174_000021	邊備大固。
HCH_012_174_000022	尋進右都督。
HCH_012_174_000023	時阿臺、朵兒只伯數寇邊。
HCH_012_174_000024	詔昭與甘肅守將蔣貴、趙安進剿。
HCH_012_174_000025	並無功，被昭切責，貶都督僉事。
HCH_012_174_000026	三年復右都督，八年以老召還。
HCH_012_174_000027	明年卒。
HCH_012_174_000028	昭居寧夏十二年，老成持重，兵政修舉，亦會敵勢衰弱，邊境得無事。
HCH_012_174_000029	兵部尚書王驥、寧夏參將王榮嘗舉其過。
HCH_012_174_000030	朝議，以昭守邊久，習兵事，不易也。
HCH_012_174_000031	而與昭並為邊將最久、有勛績可稱者，都督同知劉昭鎮西寧二十年；都指揮李達鎮洮州至四十年。
HCH_012_174_000032	並為蕃漢所畏服。
HCH_012_174_000033	劉昭，全椒人。
HCH_012_174_000034	永樂五年以都指揮同知使朵甘、烏思藏，建驛站。
HCH_012_174_000035	還至靈藏，番賊邀劫，昭敗之。
HCH_012_174_000036	進都指揮使，鎮河州。
HCH_012_174_000037	宣德二年，副陳懷討平松潘寇。
HCH_012_174_000038	累進都督同知，移西寧。
HCH_012_174_000039	復鎮河州，兼轄西寧。
HCH_012_174_000040	罕東酋劄兒加邀殺中官使西域者，奪璽書金幣去。
HCH_012_174_000041	命昭副甘肅總兵官劉廣討之。
HCH_012_174_000042	劄兒加請還所掠書幣，貢馬贖罪。
HCH_012_174_000043	帝以窮寇不足深治，命昭等還。
HCH_012_174_000044	李達，定遠人。
HCH_012_174_000045	累官都督僉事。
HCH_012_174_000046	正統中，致仕。
HCH_012_174_000047	巫凱，句容人。
HCH_012_174_000048	由廬州衛百戶積功至都指揮同知。
HCH_012_174_000049	永樂六年以從英國公張輔平交阯功，遷遼東都指揮使。
HCH_012_174_000050	十一年召帥所部會北京。
HCH_012_174_000051	明年從征沙漠，命先還。
HCH_012_174_000052	凱言諸衛兵宜以三之二守禦，而以其一屯糧，開原市馬悉給本衛乘操。
HCH_012_174_000053	從之。
HCH_012_174_000054	宣宗立，以都督僉事佩征虜前將軍印，代朱榮鎮遼東。
HCH_012_174_000055	時中國人自塞外脫歸者，令悉送京師，俟親屬赴領。
HCH_012_174_000056	凱言遠道往來，恐致失所，阻遠人慕歸心。
HCH_012_174_000057	乃更令有馬及少壯者送京師，余得自便。
HCH_012_174_000058	敵掠西山，凱擊敗之，盡得所掠者，降敕褒勉。
HCH_012_174_000059	帝嘗遣使造舟松花江招諸部。
HCH_012_174_000060	地遠，軍民轉輸大困，多逃亡。
HCH_012_174_000061	會有警，凱力請罷其役，而逃軍入海西諸部者已五百餘人。
