HCH_012_217_000000	王家屏，字忠伯，大同山陰人。
HCH_012_217_000001	隆慶二年進士。
HCH_012_217_000002	選庶吉士，授編修，預修《世宗實錄》。
HCH_012_217_000003	高拱兄捷前為操江都御史，以官帑遺趙文華，家屏直書之，時拱方柄國，囑稍諱，家屏執不可。
HCH_012_217_000004	萬曆初，進修撰，充日講官。
HCH_012_217_000005	敷奏剴摯，帝嘗斂容受，稱為端士。
HCH_012_217_000006	張居正寢疾，詞臣率奔走禱祈，獨家屏不往。
HCH_012_217_000007	再遷侍講學士。
HCH_012_217_000008	十二年，擢禮部右侍郎，改吏部。
HCH_012_217_000009	甫逾月，命以左侍郎兼東閣大學士，入預機務。
HCH_012_217_000010	去史官二年即輔政，前此未有也。
HCH_012_217_000011	申時行當國，許國、王錫爵次之，家屏居末。
HCH_012_217_000012	每議事，秉正持法，不亢不隨。
HCH_012_217_000013	越二年，遭繼母憂。
HCH_012_217_000014	詔賜銀幣，馳傳，行人護行。
HCH_012_217_000015	服甫闋，詔進禮部尚書，遣行人召還。
HCH_012_217_000016	抵京師，三月未得見。
HCH_012_217_000017	家屏以為言，請因聖節御殿受賀，畢發留中章奏，舉行冊立皇太子禮。
HCH_012_217_000018	不報。
HCH_012_217_000019	復偕同官疏請。
HCH_012_217_000020	帝乃於萬壽節強一臨御焉。
HCH_012_217_000021	俄遣中官諭家屏，獎以忠愛。
HCH_012_217_000022	家屏疏謝，復請帝勤視朝。
HCH_012_217_000023	居數日，帝為一御門延見，自是益深居不出矣。
HCH_012_217_000024	評事雒于仁進四箴，帝將重罪之。
HCH_012_217_000025	家屏言：「人主出入起居之節，耳目心誌之娛，庶官不及知、不敢諫者，輔弼之臣得先知而預諫之，故能防欲於微渺。今于仁以庶僚上言，而臣備位密勿，反緘默茍容，上虧聖明之譽，下陷庶僚蒙不測之威，臣罪大矣，尚可一日立於聖世哉！」
HCH_012_217_000026	帝不懌，留中，而于仁得善去。
HCH_012_217_000027	十八年，以久旱乞罷，言：「邇年以來，天鳴地震，星隕風霾，川竭河涸，加以旱潦蝗螟，疫癘劄瘥，調燮之難，莫甚今日。況套賊跳梁於陜右，土蠻猖獗於遼西，貢市屬國復鴟張虎視於宣、大。虛內事外，內已竭而外患未休；剝民供軍，民已窮而軍食未裕。且議論紛紜，罕持大體；簿書淩雜，只飾靡文。綱維縱弛，愒玩之習成；名實混淆，僥幸之風啟。陛下又深居靜攝，朝講希臨。統計臣一歲間，僅兩覲天顏而已。間嘗一進瞽言，竟與諸司章奏並寢不行。今驕陽爍石，小民愁苦之聲殷天震地，而獨未徹九閽。此臣所以中夜旁皇，飲食俱廢，不能自已者也。乞賜罷歸，用避賢路。」
HCH_012_217_000028	不報。
HCH_012_217_000029	時儲位未定，廷臣交章請冊立。
HCH_012_217_000030	其年十月，閣臣合疏以去就爭。
HCH_012_217_000031	帝不悅，傳諭數百言，切責廷臣沽名激擾，指為悖逆。
HCH_012_217_000032	時行等相顧錯愕，各具疏再爭，杜門乞去。
HCH_012_217_000033	獨家屏在閣，復請速決大計。
HCH_012_217_000034	帝乃遣內侍傳語，期以明年春夏，廷臣無所奏擾，即於冬間議行，否則待逾十五歲。
HCH_012_217_000035	家屏以口敕難據，欲帝特頒詔諭，立具草進。
HCH_012_217_000036	帝不用，復諭二十年春舉行。
HCH_012_217_000037	家屏喜，即宣示外廷，外廷歡然。
HCH_012_217_000038	而帝意實猶豫，聞家屏宣示，弗善也，傳諭詰責。
HCH_012_217_000039	時行等合詞謝，乃已。
HCH_012_217_000040	明年秋，工部主事張有德以冊立儀註請。
HCH_012_217_000041	帝復以為激擾，命止其事。
HCH_012_217_000042	國執爭去，時行被人言，不得已亦去，錫爵先以省親歸，家屏遂為首輔。
HCH_012_217_000043	以國諫疏己列名，不當獨留，再疏乞罷。
HCH_012_217_000044	不允，乃視事。
HCH_012_217_000045	家屏制行端嚴，推誠秉公，百司事一無所撓。
HCH_012_217_000046	性忠讜，好直諫。
HCH_012_217_000047	冊立期數更，中外議論紛然。
HCH_012_217_000048	家屏深憂之，力請踐大信，以塞口語，消宮闈釁。
HCH_012_217_000049	不報。
HCH_012_217_000050	二十年春，給事中李獻可等請豫教，帝黜之。
HCH_012_217_000051	家屏封還御批力諫。
HCH_012_217_000052	帝益怒，譴謫者相屬。
HCH_012_217_000053	家屏遂引疾求罷，上言：「漢汲黯有言：「天子置公卿輔弼之臣，寧令從臾承意陷主於不義乎！』每感斯言，惕然內愧。頃年以來，九閽重閉，宴安懷毒，郊廟不饗，堂陛不交。天災物怪，罔徹宸聰；國計民生，莫關聖慮。臣備員輔弼，曠職鰥官，久當退避。今數月間，請朝講，請廟饗，請元旦受賀，請大計臨朝，悉寢不報。臣犬馬微誠，不克感回天意，已可見矣。至豫教皇儲，自宣早計，奈何厭聞直言，概加貶謫。臣誠不忍明主蒙弗諫之名，熙朝有橫施之罰，故冒死屢陳。若依違保祿，淟涊茍容，汲黯所謂『陷主不義』者，臣死不敢出此，願賜骸骨還田里。」帝得奏不下。次輔趙志臯亦為家屏具揭。帝遂責家屏希名托疾。家屏復奏，言：「名非臣所敢棄，顧臣所希者，陛下為堯、舜之主，臣為堯、舜之臣，則名垂千載，沒有餘榮。若徒犯顏觸忌，抗爭僨事，被譴罷歸，何名之有！必不希名，將使臣身處高官，家享厚祿，主愆莫正，政亂莫匡，可謂不希名之臣矣，國家奚賴焉？更使臣棄名不顧，逢迎為悅，阿諛取容，許敬宗、李林甫之奸佞，無不可為，九廟神靈必陰殛臣，豈特得罪於李獻可諸臣已哉！」疏入，帝益不悅。遣內侍至邸，責以徑駁御批，故激主怒，且托疾要君。家屏言：「言涉至親，不宜有怒。事關典禮，
HCH_012_217_000054	不宜有怒。
HCH_012_217_000055	臣與諸臣但知為宗社大計，盡言效忠而已，豈意激皇上之怒哉？
HCH_012_217_000056	於是求去益力。
HCH_012_217_000057	或勸少需就大事。
HCH_012_217_000058	家屏曰：「人君惟所欲為者，由大臣持祿，小臣畏罪，有輕群下心。吾意大臣不愛爵祿，小臣不畏刑誅，事庶有濟耳。」
HCH_012_217_000059	遂復兩疏懇請。
HCH_012_217_000060	詔馳傳歸。
