HCH_012_218_000000	申時行，字汝默，長洲人。
HCH_012_218_000001	嘉靖四十一年進士第一。
HCH_012_218_000002	授修撰。
HCH_012_218_000003	歷左庶子，掌翰林院事。
HCH_012_218_000004	萬曆五年，由禮部右侍郎改吏部。
HCH_012_218_000005	時行以文字受知張居正，蘊藉不立崖異，居正安之。
HCH_012_218_000006	六年三月，居正將歸葬父，請廣閣臣，遂以左侍郎兼東閣大學士入預機務。
HCH_012_218_000007	已，進禮部尚書兼文淵閣，累進少傅兼太子太傅、吏部尚書、建極殿。
HCH_012_218_000008	張居正攬權久，操群下如束濕，異己者率逐去之。
HCH_012_218_000009	及居正卒，張四維、時行相繼柄政，務為寬大。
HCH_012_218_000010	以次收召老成，布列庶位，朝論多稱之。
HCH_012_218_000011	然是時內閣權積重，六卿大抵徇閣臣指。
HCH_012_218_000012	諸大臣由四維、時行起，樂其寬，多與相厚善。
HCH_012_218_000013	四維憂歸，時行為首輔。
HCH_012_218_000014	余有丁、許國、王錫爵、王家屏先後同居政府，無嫌猜。
HCH_012_218_000015	而言路為居正所遏，至是方發舒。
HCH_012_218_000016	以居正素昵時行，不能無諷刺。
HCH_012_218_000017	時行外示博大能容人，心故弗善也。
HCH_012_218_000018	帝雖樂言者訐居正短，而頗惡人論時事，言事者間謫官。
HCH_012_218_000019	眾以此望時行，口語相詆諆。
HCH_012_218_000020	諸大臣又皆右時行拄言者口，言者益憤，時行以此損物望。
HCH_012_218_000021	十二年三月，御史張文熙嘗言前閣臣專恣者四事，請帝永禁革之。
HCH_012_218_000022	時行疏爭曰：「文熙謂部院百執事不當置考成簿，送閣察考；吏、兵二部除授，不當一一取裁；督撫巡按行事，不當密揭請教；閣中票擬，當使同官知。夫閣臣不職當罷黜，若並其執掌盡削之，是因噎廢食也。至票擬，無不與同官議者。」
HCH_012_218_000023	帝深以為然，絀文熙議不用。
HCH_012_218_000024	御史丁此呂言侍郎高啟愚以試題勸進居正，帝手疏示時行。
HCH_012_218_000025	時行曰：「此呂以曖昧陷人大辟，恐讒言接踵至，非清明之朝所宜有。」
HCH_012_218_000026	尚書楊巍因請出此呂於外，帝從巍言。
HCH_012_218_000027	而給事御史王士性、李植等交章劾巍阿時行意，蔽塞言路。
HCH_012_218_000028	帝尋亦悔之，命罷啟愚，留此呂。
HCH_012_218_000029	時行、巍求去。
HCH_012_218_000030	有丁、國言：「大臣國體所系，今以群言留此呂，恐無以安時行、巍心。」
HCH_012_218_000031	國尤不勝憤，專疏求去，詆諸言路。
HCH_012_218_000032	副都御史石星、侍郎陸光祖亦以為言。
HCH_012_218_000033	帝乃聽巍，出此呂於外，慰留時行、國，而言路群起攻國。
HCH_012_218_000034	時行請量罰言者，言者益心憾。
HCH_012_218_000035	既而李植、江東之以大峪山壽宮事撼時行不勝，貶去，閣臣與言路日相水火矣。
HCH_012_218_000036	初，御史魏允貞、郎中李三才以科場事論及時行子用懋，貶官。
HCH_012_218_000037	給事中鄒元標劾罷時行姻徐學謨，時行假他疏逐之去。
HCH_012_218_000038	已而占物情，稍稍擢三人官，三人得毋廢。
HCH_012_218_000039	世以此稱時行長者。
HCH_012_218_000040	時行欲收人心，罷居正時所行考成法；一切為簡易，亦數有獻納。
HCH_012_218_000041	嘗因災異，力言催科急迫，征派加增，刑獄繁多，用度侈靡之害。
HCH_012_218_000042	又嘗請止撫按官助工贓罰銀，請減織造數，趣發諸司章奏。
HCH_012_218_000043	緣尚寶卿徐貞明議，請開畿內水田。
HCH_012_218_000044	用鄧子龍、劉綎平隴川，薦鄭洛為經略，趣順義王東歸，寢葉夢熊奏以弭楊應龍之變。
HCH_012_218_000045	然是時天下承平，上下恬熙，法紀漸不振。
HCH_012_218_000046	時行務承帝指，不能大有建立。
HCH_012_218_000047	帝每遇講期，多傳免。
HCH_012_218_000048	時行請雖免講，仍進講章。
HCH_012_218_000049	自後為故事，講筵遂永罷。
HCH_012_218_000050	評事雒於仁進《酒色財氣四箴》，帝大怒，召時行等條分析之，將重譴。
HCH_012_218_000051	時行請毋下其章，而諷於仁自引去，於仁賴以免。
HCH_012_218_000052	然章奏留中自此始。
HCH_012_218_000053	十四年正月，光宗年五歲，而鄭貴妃有寵，生皇三子常洵，頗萌奪嫡意。
HCH_012_218_000054	時行率同列再請建儲，不聽。
HCH_012_218_000055	廷臣以貴妃故，多指斥宮闈，觸帝怒，被嚴譴。
HCH_012_218_000056	帝嘗詔求直言。
HCH_012_218_000057	郎官劉復初、李懋檜等顯侵貴妃。
HCH_012_218_000058	時行請帝下詔，令諸曹建言止及所司職掌，聽其長擇而獻之，不得專達。
HCH_012_218_000059	帝甚悅，眾多咎時行者。
HCH_012_218_000060	時行連請建儲。
HCH_012_218_000061	十八年，帝召皇長子、皇三子，令時行入見毓德宮。
HCH_012_218_000062	時行拜賀，請亟定大計。
HCH_012_218_000063	帝猶豫久之，下詔曰：「朕不喜激聒。近諸臣章奏概留中，惡其離間朕父子。若明歲廷臣不復瀆擾，當以後年冊立，否則俟皇長子十五歲舉行。」
HCH_012_218_000064	時行因戒廷臣毋激擾。
HCH_012_218_000065	明年八月，工部主事張有德請具冊立儀註。
HCH_012_218_000066	帝怒，命展期一年。
HCH_012_218_000067	而內閣中亦有疏入。
HCH_012_218_000068	時行方在告，次輔國首列時行名。
HCH_012_218_000069	時行密上封事，言：「臣方在告，初不預知。冊立之事，聖意已定。有德不諳大計，惟宸斷親裁，勿因小臣妨大典。」
HCH_012_218_000070	於是給事中羅大纮劾時行，謂陽附群臣之議以請立，而陰緩其事以內交。
