HCH_012_274_000000	史可法，字憲之，大興籍，祥符人。
HCH_012_274_000001	世錦衣百戶。
HCH_012_274_000002	祖應元舉於鄉，官黃平知州，有惠政。
HCH_012_274_000003	語其子從質曰：「我家必昌。」
HCH_012_274_000004	從質妻尹氏有身，夢文天祥入其舍，生可法。
HCH_012_274_000005	以孝聞。
HCH_012_274_000006	舉崇禎元年進士，授西安府推官，稍遷戶部主事，歷員外郎、郎中。
HCH_012_274_000007	八年，遷右參議，分守池州、太平。
HCH_012_274_000008	其秋，總理侍郎盧象升大舉討賊。
HCH_012_274_000009	改可法副使，分巡安慶、池州，監江北諸軍。
HCH_012_274_000010	黃梅賊掠宿松、潛山、太湖，將犯安慶，可法追擊之潛山天堂寨。
HCH_012_274_000011	明年，祖寬破賊滁州，賊走河南。
HCH_012_274_000012	十二月，賊馬守應合羅汝才、李萬慶自鄖陽東下。
HCH_012_274_000013	可法馳駐太湖，扼其沖。
HCH_012_274_000014	十年正月，賊從間道突安慶石牌，尋移桐城。
HCH_012_274_000015	參將潘可大擊走賊，賊復為廬、風軍所扼，回桐城，掠四境。
HCH_012_274_000016	知縣陳爾銘嬰城守，可法與可大剿捕。
HCH_012_274_000017	賊走廬江，犯潛山，可法與左良玉敗之楓香驛，賊乃竄潛山、太湖山中。
HCH_012_274_000018	三月，可大及副將程龍敗歿於宿松。
HCH_012_274_000019	賊分其黨搖天動別為一營，而合八營二十餘萬眾，分屯桐城之練潭、石井、陶沖。
HCH_012_274_000020	總兵官牟文綬、劉良佐擊敗之掛車河。
HCH_012_274_000021	當是時，陝寇聚漳、寧，分犯岷、洮、秦、楚、應、皖，群盜遍野。
HCH_012_274_000022	總理盧象升既改督宣、大，代以王家禎，祖寬關外兵亦北歸。
HCH_012_274_000023	未幾，上復以熊文燦代家禎，專撫賊。
HCH_012_274_000024	賊益狂逞，盤牙江北，南都震驚。
HCH_012_274_000025	七月擢可法右僉都御史，巡撫安慶、廬州、太平、池州四府，及河南之光州、光山、固始、羅田，湖廣之蘄州、廣濟、黃梅，江西之德化、湖口諸縣，提督軍務，設額兵萬人。
HCH_012_274_000026	賊已東陷和州、含山、定遠、六合，犯天長、盱眙，趨河南。
HCH_012_274_000027	可法奏免被災田租。
HCH_012_274_000028	冬，部將汪雲鳳敗賊潛山，京軍復連破老回回舒城、廬江，賊遁入山。
HCH_012_274_000029	時監軍僉事湯開遠善擊賊，可法東西馳禦，賊稍稍避其鋒。
HCH_012_274_000030	十一年夏，以平賊逾期，戴罪立功。
HCH_012_274_000031	可法短小精悍，面黑，目爍爍有光。
HCH_012_274_000032	廉信，與下均勞苦。
HCH_012_274_000033	軍行，士不飽不先食，未授衣不先禦，以故得士死力。
HCH_012_274_000034	連敗賊英山、六合，順天王乞降。
HCH_012_274_000035	十二年夏，丁外艱去。
HCH_012_274_000036	服闋，起戶部右侍郎兼右僉都御史。
HCH_012_274_000037	代硃大典總督漕運，巡撫鳳陽、淮安、揚州，劾罷督糧道三人，增設漕儲道一人，大浚南河，漕政大厘。
HCH_012_274_000038	拜南京兵部尚書，參贊機務。
HCH_012_274_000039	因武備久弛，奏行更新八事。
HCH_012_274_000040	十七年四月朔，聞賊犯闕，誓師勤王。
HCH_012_274_000041	渡江抵浦口，聞北都既陷，縞衣發喪。
HCH_012_274_000042	會南都議立君，張慎言、呂大器、薑曰廣等曰：「福王由崧，神宗孫也，倫序當立，而有七不可：貪、淫、酗酒、不孝、虐下、不讀書、干預有司也。潞王常淓，神宗侄也，賢明當立。」
HCH_012_274_000043	移牒可法，可法亦以為然。
HCH_012_274_000044	鳳陽總督馬士英潛與阮大鋮計議，主立福王，咨可法，可法以七不可告之。
HCH_012_274_000045	而士英已與黃得功、劉良佐、劉澤清、高傑發兵送福王至儀真，於是可法等迎王。
HCH_012_274_000046	五月朔，王謁孝陵、奉先殿，出居內守備府。
HCH_012_274_000047	群臣入朝，王色赧欲避。
HCH_012_274_000048	可法曰：「王毋避，宜正受。」
HCH_012_274_000049	既朝，議戰守。
HCH_012_274_000050	可法曰：「王宜素服郊次，發師北征，示天下以必報仇之義。」
HCH_012_274_000051	王唯唯。
HCH_012_274_000052	明日再朝，出議監國事。
HCH_012_274_000053	張慎言曰：「國虛無人，可遂即大位。」
HCH_012_274_000054	可法曰：「太子存亡未卜，倘南來若何？」
HCH_012_274_000055	誠意伯劉孔昭曰：「今日既定，誰敢復更？」
HCH_012_274_000056	可法曰：「徐之。」
HCH_012_274_000057	乃退。
HCH_012_274_000058	又明日，王監國，廷推閣臣，眾舉可法、高弘圖、薑曰廣。
HCH_012_274_000059	孔昭攘臂欲並列，眾以本朝無勳臣入閣例，遏之。
HCH_012_274_000060	孔昭勃然曰：「即我不可，馬士英何不可？」
HCH_012_274_000061	乃並推士英。
HCH_012_274_000062	又議起廢，推鄭三俊、劉宗周、徐石麒。
HCH_012_274_000063	孔昭舉大鋮，可法曰：「先帝欽定逆案，毋復言。」
HCH_012_274_000064	越二日，拜可法禮部尚書兼東閣大學士，與士英、弘圖並命。
HCH_012_274_000065	可法仍掌兵部事，士英仍督師鳳陽。
HCH_012_274_000066	乃定京營制，如北都故事，侍衛及錦衣衛諸軍，悉入伍操練。
HCH_012_274_000067	錦衣東西兩司房，及南北兩鎮撫司官，不備設，以杜告密，安人心。
HCH_012_274_000068	當是時，士英旦夕冀入相。
HCH_012_274_000069	及命下，大怒，以可法七不可書奏之王。
HCH_012_274_000070	而擁兵入覲，拜表即行。
HCH_012_274_000071	可法遂請督師，出鎮淮、揚。
HCH_012_274_000072	十五日，王即位。
HCH_012_274_000073	明日，可法陛辭，加太子太保，改兵部尚書、武英殿大學士。
HCH_012_274_000074	士英即以是日入直，議分江北為四鎮。
HCH_012_274_000075	東平伯劉澤清轄淮、海，駐淮北，經理山東一路。
HCH_012_274_000076	總兵官高傑轄徐、泗，駐泗水，經理開、歸一路。
HCH_012_274_000077	總兵官劉良佐轄鳳、壽，駐臨淮，經理陳、杞一路。
HCH_012_274_000078	靖南伯黃得功轄滁、和，駐廬州，經理光、固一路。
HCH_012_274_000079	可法啟行，即遣使訪大行帝后梓宮及太子二王所在，奉命祭告鳳、泗二陵。
HCH_012_274_000080	可法去，士英、孔昭輩益無所憚。
HCH_012_274_000081	孔昭以慎言舉吳甡，嘩殿上，拔刀逐慎言。
HCH_012_274_000082	可法馳疏解，孔昭卒扼甡不用。
HCH_012_274_000083	可法祭二陵畢，上疏曰：「陛下踐阼初，祗謁孝陵，哭泣盡哀，道路感動。若躬謁二陵，親見泗、鳳蒿萊滿目，雞犬無聲，當益悲憤。願慎終如始，處深宮廣廈，則思東北諸陵魂魄之未安；享玉食大庖，則思東北諸陵麥飯之無展；膺圖受籙，則念先帝之集木馭朽，何以忽遘危亡；早朝晏罷，則念先帝之克儉克勤，何以卒隳大業。戰兢惕厲，無時怠荒，二祖列宗將默佑中興。若晏處東南，不思遠略，賢奸無辨，威斷不靈，老成投簪，豪傑裹足，祖宗怨恫，天命潛移，東南一隅未可保也。」
HCH_012_274_000084	王嘉答之。
HCH_012_274_000085	得功、澤清、傑爭欲駐揚州。
HCH_012_274_000086	傑先至，大殺掠，屍橫野。
HCH_012_274_000087	城中恟懼，登陴守，傑攻之浹月。
HCH_012_274_000088	澤清亦大掠淮上。
HCH_012_274_000089	臨淮不納良佐軍，亦被攻。
HCH_012_274_000090	朝命可法往解，得功、良佐、澤清皆聽命。
HCH_012_274_000091	乃詣傑。
HCH_012_274_000092	傑素憚可法，可法來，傑夜掘坎十百，埋暴骸。
HCH_012_274_000093	旦日朝可法帳中，辭色俱變，汗浹背。
HCH_012_274_000094	可法坦懷待之，接偏裨以溫語，傑大喜過望。
HCH_012_274_000095	然傑亦自是易可法，用己甲士防衛，文檄必取視而後行。
HCH_012_274_000096	可法夷然為具疏，屯其眾於瓜洲，傑又大喜。
HCH_012_274_000097	傑去，揚州以安，可法乃開府揚州。
HCH_012_274_000098	六月，大清兵擊敗賊李自成，自成棄京師西走。
HCH_012_274_000099	青州諸郡縣爭殺偽官，據城自保。
HCH_012_274_000100	可法請頒監國、登極二詔，慰山東、河北軍民心。
HCH_012_274_000101	開禮賢館，招四方才智，以監紀推官應廷吉領其事。
HCH_012_274_000102	八月出巡淮安，閱澤清士馬。
HCH_012_274_000103	返揚州，請餉為進取資。
HCH_012_274_000104	士英靳不發，可法疏趣之。
HCH_012_274_000105	因言：「邇者人才日耗，仕途日淆，由名心勝而實意不修，議論多而成功少。今事勢更非昔比，必專主討賊復仇。舍籌兵籌餉無議論，舍治兵治餉無人才。有摭拾浮談、巧營華要者，罰無赦！」
HCH_012_274_000106	王優詔答之。
HCH_012_274_000107	初，可法虞傑跋扈，駐得功儀真防之。
HCH_012_274_000108	九月朔，得功、傑構兵，曲在傑。
HCH_012_274_000109	賴可法調劑，事得解。
HCH_012_274_000110	北都降賊諸臣南還，可法言：「諸臣原籍北土者，宜令赴吏、兵二部錄用，否則恐絕其南歸之心。」
HCH_012_274_000111	又言：「北都之變，凡屬臣子皆有罪。在北者應從死，豈在南者非人臣？即臣可法謬典南樞，臣士英叨任鳳督，未能悉東南甲疾趨北援，鎮臣澤清、傑以兵力不支，折而南走。是首應重論者，臣等罪也。乃因聖明繼統，鈇鉞未加，恩榮疊被。而獨于在北諸臣毛舉而概繩之，豈散秩閑曹，責反重于南樞、鳳督哉。宜摘罪狀顯著者，重懲示儆。若偽命未汙，身被刑辱，可置勿問。其逃避北方、俳徊而後至者，許戴罪討賊，赴臣軍前酌用。」
HCH_012_274_000112	廷議並從之。
HCH_012_274_000113	傑居揚州，桀驁甚。
HCH_012_274_000114	可法開誠佈公，導以君臣大義。
HCH_012_274_000115	傑大感悟，奉約束。
HCH_012_274_000116	十月，傑帥師北征。
HCH_012_274_000117	可法赴清江浦，遣官屯田開封，為經略中原計。
HCH_012_274_000118	諸鎮分汛地，自王家營而北至宿遷，最沖要，可法自任之，築壘緣河南岸。
HCH_012_274_000119	十一月四日，舟次鶴鎮，諜報我大清兵入宿遷。
HCH_012_274_000120	可法進至白洋河，令總兵官劉肇基往援。
HCH_012_274_000121	大清兵還攻邳州，肇基復援之，相持半月而解。
