HCH_012_300_000000	明太祖立國，家法嚴。
HCH_012_300_000001	史臣稱後妃居宮中，不預一發之政，外戚循理謹度，無敢恃寵以病民，漢、唐以來所不及。
HCH_012_300_000002	而高、文二后賢明，抑遠外氏。
HCH_012_300_000003	太祖訪得高後親族，將授以官。
HCH_012_300_000004	後謝曰：「國家爵祿，宜與賢士大夫共之，不當私妾家。」
HCH_012_300_000005	且援前世外戚驕佚致禍為辭。
HCH_012_300_000006	帝善后言，賜金帛而已。
HCH_012_300_000007	定國之封，文皇后謂非己誌，臨終猶勸帝，毋驕畜外家。
HCH_012_300_000008	詒謀既遠，宗社奠安，而椒房貴戚亦藉以保福慶逮子孫，所全不已多乎。
HCH_012_300_000009	惟英宗時，會昌侯孫繼宗以奪門功，參議國是。
HCH_012_300_000010	自茲以下，其賢者類多謹身奉法，謙謙有儒者風。
HCH_012_300_000011	而一二怙恩負乘之徒，所好不過田宅、狗馬、音樂，所狎不過俳優、伎妾，非有軍國之權，賓客朋黨之勢。
HCH_012_300_000012	而在廷諸臣好為危言激論，汰如壽寧兄弟，庸駑如鄭國泰，已逐影尋聲，抨擊不遺餘力。
HCH_012_300_000013	故有明一代，外戚最為孱弱。
HCH_012_300_000014	然而惠安、新樂，舉宗殉國，嗚呼卓矣！
HCH_012_300_000015	成祖后家，詳《中山王傳》，餘採其行事可紀者，作《外戚傳》。
HCH_012_300_000016	陳公馬公呂本馬全張麒胡榮孫忠吳安錢貴汪泉杭昱周能王鎮萬貴邵喜張巒夏儒陳萬言方銳陳景行李偉王偉鄭承憲王昇劉文炳張國紀周奎陳公，逸其名，淳皇后父也。
HCH_012_300_000017	洪武二年追封揚王，媼為王夫人，立祠太廟東。
HCH_012_300_000018	明年有言王墓在盱眙者，中都守臣按之信。
HCH_012_300_000019	帝乃命中書省即墓次立廟，設祠祭署，奉祀一人，守墓戶二百一十家，世世復。
HCH_012_300_000020	帝自制《揚王行實》，諭翰林學士宋濂文其碑，略曰：王姓陳氏，世維揚人，不知其諱。
HCH_012_300_000021	當宋季，名隸尺籍伍符中，從大將張世傑扈從祥興。
HCH_012_300_000022	至元己卯春，世傑與元兵戰，師大潰，士卒多溺死。
HCH_012_300_000023	王幸脫死達岸，與一二同行者，累石支破釜，煮遺糧以療饑。
HCH_012_300_000024	已而絕糧，同行者聞山有死馬，將其烹食之。
HCH_012_300_000025	王疲極晝睡，夢一白衣人來曰：「汝慎勿食馬肉，今夜有舟來共載也。」
HCH_012_300_000026	王未之深信，俄又夢如初。
