HCH_012_306_000000	明代閹宦之禍酷矣，然非諸黨人附麗之，羽翼之，張其勢而助之攻，虐焰不若是其烈也。
HCH_012_306_000001	中葉以前，士大夫知重名節，雖以王振、汪直之橫，黨與未盛。
HCH_012_306_000002	至劉瑾竊權，焦芳以閣臣首與之比，於是列卿爭先獻媚，而司禮之權居內閣上。
HCH_012_306_000003	迨神宗末年，訛言朋興，群相敵仇，門戶之爭固結而不可解。
HCH_012_306_000004	兇豎乘其沸潰，盜弄太阿，黠桀渠憸，竄身婦寺。
HCH_012_306_000005	淫刑痡毒，快其惡正醜直之私。
HCH_012_306_000006	衣冠填於狴犴，善類殞於刀鋸。
HCH_012_306_000007	迄乎惡貫滿盈，亟伸憲典，刑書所麗，跡穢簡編，而遺孽余燼，終以覆國。
HCH_012_306_000008	莊烈帝之定逆案也，以其事付大學士韓爌等，因慨然太息曰：「忠賢不過一人耳，外廷諸臣附之，遂至於此，其罪何可勝誅！」
HCH_012_306_000009	痛乎哉，患得患失之鄙夫，其流毒誠無所窮極也！
HCH_012_306_000010	今錄自焦芳、張綵以下，迄天啟朝，為《閹黨列傳》，用垂鑒誡。
HCH_012_306_000011	其以功名表見，或晚節自蓋，如王驥、王越、楊維垣、張捷之徒，則仍別見焉。
HCH_012_306_000012	焦芳張綵顧秉謙崔呈秀劉志選曹欽程王紹徽霍維華閻鳴泰賈繼春田爾耕焦芳，泌陽人。
HCH_012_306_000013	天順八年進士。
HCH_012_306_000014	大學士李賢以同鄉故，引為庶吉士，授編修，進侍講。
HCH_012_306_000015	滿九年考，當遷學士。
HCH_012_306_000016	或語大學士萬安：「不學如芳，亦學士乎？」
HCH_012_306_000017	芳聞大恚曰：「是必彭華間我也。我不學士，且刺華長安道中。」
HCH_012_306_000018	華懼，言於安，乃進芳侍講學士。
HCH_012_306_000019	先是，詔纂《文華大訓》，進講東宮，其書皆華等所為。
HCH_012_306_000020	芳恥不與，每進講，故摘其疵，揚言眾中。
