HCH_012_324_000000	占城居南海中，自瓊州航海順風一晝夜可至，自福州西南行十晝夜可至，即周越裳地。
HCH_012_324_000001	秦為林邑，漢為象林縣。
HCH_012_324_000002	後漢末，區連據其地，始稱林邑王。
HCH_012_324_000003	自晉至隋仍之。
HCH_012_324_000004	唐時，或稱占不勞，或稱占婆，其王所居曰占城。
HCH_012_324_000005	至德後，改國號曰環。
HCH_012_324_000006	迄周、宋，遂以占城為號，朝貢不替。
HCH_012_324_000007	元世祖惡其阻命，大舉兵擊破之，亦不能定。
HCH_012_324_000008	洪武二年，太祖遣官以即位詔諭其國。
HCH_012_324_000009	其王阿荅阿者先已遣使奉表來朝，貢象虎方物。
HCH_012_324_000010	帝喜，即遣官齎璽書、《大統歷》、文綺、紗羅，偕其使者往賜，其王復遣使來貢。
HCH_012_324_000011	自後或比歲貢，或間歲，或一歲再貢。
HCH_012_324_000012	未幾，命中書省管勾甘桓、會同館副使路景賢齎詔，封阿荅阿者為占城國王，賜彩幣四十、《大統歷》三千。
HCH_012_324_000013	三年遣使往祀其山川，尋頒科舉詔於其國。
HCH_012_324_000014	初，安南與占城構兵，天子遣使諭解，而安南復相侵。
HCH_012_324_000015	四年，其王奉金葉表來朝，長尺餘，廣五寸，刻本國字。
HCH_012_324_000016	館人譯之，其意曰：「大明皇帝登大寶位，撫有四海，如天地覆載，日月照臨。阿荅阿者譬一草木爾，欽蒙遣使，以金印封為國王，感戴忻悅，倍萬恆情。惟是安南用兵，侵擾疆域，殺掠吏民。伏願皇帝垂慈，賜以兵器及樂器、樂人，俾安南知我占城乃聲教所被，輸貢之地，庶不敢欺陵。」
HCH_012_324_000017	帝命禮部諭之曰：「占城、安南並事朝廷，同奉正朔，乃擅自構兵，毒害生靈，既失事君之禮，又乖交鄰之道。已咨安南國王，令即日罷兵。本國亦宜講信修睦，各保疆土。所請兵器，於王何吝，但兩國互構而賜占城，是助爾相攻，甚非撫安之義。樂器、樂人，語音殊異，難以遣發。爾國有曉華言者，其選擇以來，當令肄習。」
HCH_012_324_000018	因命福建省臣勿徵其稅，示懷柔之意。
HCH_012_324_000019	六年，貢使言：「海寇張汝厚、林福等自稱元帥，剽劫海上。國主擊破之，賊魁溺死，獲其舟二十艘、蘇木七萬斤，謹奉獻。」
HCH_012_324_000020	帝嘉之，命給賜加等。
HCH_012_324_000021	冬，遣使獻安南之捷。
HCH_012_324_000022	帝謂省臣曰：「去冬，安南言占城犯境；今年，占城謂安南擾邊，未審曲直。可遣人往諭，各罷兵息民，毋相侵擾。」
HCH_012_324_000023	十年與安南王陳煓大戰，煓敗死。
HCH_012_324_000024	十二年，貢使至都，中書不以時奏。
HCH_012_324_000025	帝切責丞相胡惟庸、汪廣洋，二人遂獲罪。
HCH_012_324_000026	遣官賜王《大統歷》及衣幣，令與安南修好罷兵。
HCH_012_324_000027	十三年遣使賀萬壽節。
HCH_012_324_000028	帝聞其與安南水戰不利，賜敕諭曰：「曩者安南兵出，敗於占城。占城乘勝入安南，安南之辱已甚。王能保境息民，則福可長享；如必驅兵苦戰，勝負不可知，而鷸蚌相持，漁人得利，他日悔之，不亦晚乎？」
HCH_012_324_000029	十六年貢象牙二百枝及方物。
HCH_012_324_000030	遣官賜以勘合、文冊及織金文綺三十二、磁器萬九千。
HCH_012_324_000031	十九年遣子寶部領詩那日忽來朝，賀萬壽節，獻象五十四，皇太子亦有獻。
HCH_012_324_000032	帝嘉其誠，賜賚優渥，命中官送還。
HCH_012_324_000033	明年復貢象五十一及伽南、犀角諸物，帝加宴賚。
HCH_012_324_000034	還至廣東，覆命中官宴餞，給道里費。
HCH_012_324_000035	真臘貢象，占城王奪其四之一，其他失德事甚多。
HCH_012_324_000036	帝聞之，怒。
HCH_012_324_000037	二十一年夏，命行人董紹敕責之。
HCH_012_324_000038	紹未至，而其貢使抵京。
HCH_012_324_000039	尋復遣使謝罪，乃命宴賜如制。
HCH_012_324_000040	時阿荅阿者失道，大臣閣勝懷不軌謀，二十三年弒王自立。
HCH_012_324_000041	明年遣太師奉表來貢，帝惡其悖逆，卻之。
HCH_012_324_000042	三十年後，復連入貢。
HCH_012_324_000043	成祖即位，詔諭其國。
HCH_012_324_000044	永樂元年，其王占巴的賴奉金葉表朝貢，且告安南侵掠，請降敕戒諭。
HCH_012_324_000045	帝可之，遣行人蔣賓興、王樞使其國，賜以絨、錦、織金文綺、紗羅。
HCH_012_324_000046	明年，以安南王胡牴奏，詔戢兵，遣官諭占城王。
HCH_012_324_000047	而王遣使奏：「安南不遵詔旨，以舟師來侵，朝貢人回，賜物悉遭奪掠。又畀臣冠服、印章，俾為臣屬。且已據臣沙離牙諸地，更侵掠未已，臣恐不能自存。乞隸版圖，遣官往治。」
HCH_012_324_000048	帝怒，敕責胡牴，而賜占城王鈔幣。
HCH_012_324_000049	四年貢白象方物，復告安南之難。
HCH_012_324_000050	帝大發兵往討，敕占城嚴兵境上，遏其越逸，獲者即送京師。
HCH_012_324_000051	五年攻取安南所侵地，獲賊黨胡烈、潘麻休等獻俘闕下，貢方物謝恩。
HCH_012_324_000052	帝嘉其助兵討逆，遣中官王貴通齎敕及銀幣賜之。
HCH_012_324_000053	六年，鄭和使其國。
HCH_012_324_000054	王遣其孫舍楊該貢象及方物謝恩。
HCH_012_324_000055	十年，其貢使乞冠帶，予之。
HCH_012_324_000056	覆命鄭和使其國。
HCH_012_324_000057	十三年，王師方征陳季擴，命占城助兵。
HCH_012_324_000058	尚書陳洽言：「其王陰懷二心，愆期不進，反以金帛、戰象資季擴，季擴以黎蒼女遺之。復約季擴舅陳翁挺侵昇華府所轄四州十一縣地。厥罪維均，宜遣兵致討。」
HCH_012_324_000059	帝以交址初平，不欲勞師，但賜敕切責，俾還侵地，王即遣使謝罪。
HCH_012_324_000060	十六年，遣其孫舍那挫來朝。
HCH_012_324_000061	命中官林貴、行人倪俊送歸，有賜。
HCH_012_324_000062	宣德元年，行人黃原昌往頒正朔，繩其王不恪，卻所酬金幣以歸，擢戶部員外郎。
HCH_012_324_000063	正統元年，瓊州知府程瑩言：「占城比年一貢，勞費實多。乞如暹羅諸國例，三年一貢。」
HCH_012_324_000064	帝是之，敕其使如瑩言，賜王及妃彩幣。
HCH_012_324_000065	然番人利中國市易，雖有此令，迄不遵。
HCH_012_324_000066	六年，王占巴的賴卒，其孫摩訶賁該以遺命遣王孫述提昆來朝貢，且乞嗣位。
HCH_012_324_000067	乃遣給事中管曈、行人吳惠齎詔，封為王，新王及妃並有賜。
HCH_012_324_000068	七年春，述提昆卒於途，帝憫之，遣官賜祭。
HCH_012_324_000069	八年遣從子且揚樂催貢舞牌旗黑象。
HCH_012_324_000070	十一年，敕諭摩訶賁該曰：「邇者，安南王黎浚遣使奏王欺其孤幼，曩已侵升、華、思、義四州，今又屢攻化州，掠其人畜財物。二國俱受朝命，各有分疆，豈可興兵構怨，乖睦鄰保境之義。王宜祗循禮分，嚴飭邊臣，毋恣肆侵軼，貽禍生靈。」
HCH_012_324_000071	並諭安南嚴行備御，毋挾私報復。
HCH_012_324_000072	先是，定三年一貢之例，其國不遵。
HCH_012_324_000073	及詰其使者，則云：「先王已逝，前敕無存，故不知此令。」
HCH_012_324_000074	是歲，貢使復至，再敕王遵制，賜王及妃彩幣。
HCH_012_324_000075	冬復遣使來貢。
HCH_012_324_000076	十二年，王與安南戰，大敗被執。
HCH_012_324_000077	故王占巴的賴侄摩訶貴來遣使奏：「先王抱疾，曾以臣為世子，欲令嗣位。臣時年幼，遜位於舅氏摩訶賁該。後屢興兵伐安南，致敵兵入舊州古壘等處，殺掠人畜殆盡，王亦被擒。國人以臣先王之侄，且有遺命，請臣代位。辭之再三，不得已始於府前治事。臣不敢自專，伏候朝命。」
HCH_012_324_000078	乃遣給事中陳誼、行人薛干封為王，諭以保國交鄰，並諭國中臣民共相輔翼。
HCH_012_324_000079	十三年敕安南送摩訶賁該還國，不奉命。
HCH_012_324_000080	景泰三年遣使來貢，且告王訃。
HCH_012_324_000081	命給事中潘本愚、行人邊永封其弟摩訶貴由為王。
HCH_012_324_000082	天順元年入貢，賜其正副使钑花金帶。
HCH_012_324_000083	二年，王摩訶槃羅悅新立，遣使奉表朝貢。
HCH_012_324_000084	四年復貢，自正使以下賜紗帽及金銀角帶有差。
HCH_012_324_000085	使者訴安南見侵，因敕諭安南王。
HCH_012_324_000086	九月，使來，告王喪。
HCH_012_324_000087	命給事中黃汝霖、行人劉恕封王弟槃羅茶全為王。
HCH_012_324_000088	八年入貢。
HCH_012_324_000089	憲宗嗣位，應頒賜蕃國錦幣，禮官請付使臣齎回，從之。
HCH_012_324_000090	使者復訴安南見侵，求索白象。
HCH_012_324_000091	乞如永樂時，遣官安撫，建立界牌石，以杜侵陵。
HCH_012_324_000092	兵部以兩國方爭，不便遣使，乞令使臣歸諭國王，務循禮法，固封疆，捍外侮，毋輕構禍，從之。
HCH_012_324_000093	成化五年入貢。
HCH_012_324_000094	時安南索占城犀象、寶貨，令以事天朝之禮事之。
HCH_012_324_000095	占城不從，大舉往伐。
HCH_012_324_000096	七年破其國，執王槃羅茶全及家屬五十餘人，劫印符，大肆焚掠，遂據其地。
HCH_012_324_000097	王弟槃羅茶悅逃山中，遣使告難。
HCH_012_324_000098	兵部言：「安南吞併與國，若不為處分，非惟失占城歸附之心，抑恐啟安南跋扈之志。宜遣官齎敕宣諭，還其國王及眷屬。」
HCH_012_324_000099	帝慮安逆命，令俟貢使至日，賜敕責之。
HCH_012_324_000100	八年，以槃羅茶悅請封，命給事中陳峻、行人李珊持節往。
HCH_012_324_000101	峻等至新州港，守者拒之，知其國已為安南所據，改為交南州，乃不敢入。
HCH_012_324_000102	十年冬還朝。
HCH_012_324_000103	安南既破占城，復遣兵執槃羅茶悅，立前王孫齋亞麻弗菴為王，以國南邊地予之。
HCH_012_324_000104	十四年，遣使朝貢請封，命給事中馮義、行人張瑾往封之。
HCH_012_324_000105	義等多攜私物，既至廣東，聞齋亞麻弗菴已死，其弟古來遣使乞封。
HCH_012_324_000106	義等慮空還失利，亟至占城。
