HCH_012_327_000000	韃靼，即蒙古，故元後也。
HCH_012_327_000001	太祖洪武元年，大將軍徐達率師取元，元主自北平遁出塞，居開平，數遣其將也速等擾北邊。
HCH_012_327_000002	明年，常遇春擊敗之，師進開平，俘宗王慶孫、平章鼎住。
HCH_012_327_000003	時元主奔應昌，其將王保保據定西為邊患。
HCH_012_327_000004	三年春，以徐達為大將軍，使出西安擣定西；李文忠為左副將軍，馮勝為右副將軍，使出居庸擣應昌。
HCH_012_327_000005	文忠至興和，擒平章竹貞，復大破元兵於駱駝山，遂趨應昌。
HCH_012_327_000006	未至，知元主已殂，進圍其城，克之。
HCH_012_327_000007	獲元主孫買的里八剌及其妃嬪、大臣，寶玉圖籍。
HCH_012_327_000008	太子愛猷識理達臘獨以數十騎遁去。
HCH_012_327_000009	而徐達亦大破王保保兵於沈兒峪口，走之。
HCH_012_327_000010	太祖封買的里八剌為崇禮侯，諡元主曰順帝。
HCH_012_327_000011	於是故元諸將江文清等、王子失篤兒等，先後歸附。
HCH_012_327_000012	獨王保保擁太子愛猷識理達臘居和林，屢詔諭之，不從。
HCH_012_327_000013	五年春，命大將軍徐達、左副將軍李文忠、征西將軍馮勝率師三道征之。
HCH_012_327_000014	大將軍達由中路出雁門，戰不利，守塞。
HCH_012_327_000015	勝軍西次蘭州。
HCH_012_327_000016	右副將軍傅友德先進，轉戰至埽林山，勝等兵合，斬其平章不花，降上都驢等所部吏民八千三百餘戶，遂由亦集乃路至瓜、沙州，復連敗之。
HCH_012_327_000017	文忠東出居庸至口溫，元將棄營遁，乃率輕騎自臚朐河疾馳，進敗蠻子哈剌章於土剌河，追及阿魯渾河，又追及稱海，獲其官屬子孫并軍士家屬千八百餘，送京師。
HCH_012_327_000018	達等尋召還。
HCH_012_327_000019	明年春，遣達、文忠等備西北邊。
HCH_012_327_000020	元兵入犯武、朔，達遣陳德、郭子興擊破之。
HCH_012_327_000021	未幾，達等復大破王保保兵於懷柔。
HCH_012_327_000022	時元兵先後犯白登、保德、河曲，輒為守將所敗，獨撫寧、瑞州被殘，太祖乃徙其民於內地。
HCH_012_327_000023	七年夏，都督藍玉拔興和。
HCH_012_327_000024	文忠亦遣裨將擒斬其長，而自以大軍攻高州大石崖，克之，斬宗王、大臣朵朵失里等，至氈帽山斬魯王，獲其妃蒙哥禿。
HCH_012_327_000025	秋，太祖以故元太子流離沙漠，父子隔絕，未有後嗣，乃遣崇禮侯北歸，以書諭之。
HCH_012_327_000026	又二年，其部下九住等寇西邊，敗去。
HCH_012_327_000027	洪武十一年夏，故元太子愛猷識理達臘卒，太祖自為文，遣使弔祭。
HCH_012_327_000028	子脫古思帖木兒繼立。
HCH_012_327_000029	其丞相驢兒、蠻子哈剌章，國公脫火赤，平章完者不花、乃兒不花，樞密知院愛足等，擁眾於應昌、和林，時出沒塞下。
HCH_012_327_000030	太祖屢賜璽書諭之，不從。
HCH_012_327_000031	十三年春，西平侯沐英師出靈州，渡黃河，歷賀蘭山，踐流沙，擒脫火赤、愛足等於和林，盡以其部曲歸。
HCH_012_327_000032	冬，完者不花亦就擒。
HCH_012_327_000033	明年春，徐達及副將軍湯和、傅友德征乃兒不花，至河北，襲灰山，斬獲甚眾。
HCH_012_327_000034	時王保保已先卒，諸巨魁多以次平定，或望風歸附，獨丞相納哈出擁二十萬眾據金山，數窺伺遼。
HCH_012_327_000035	二十年春，命宋國公馮勝為大將軍，率潁川侯傅友德、永昌侯藍玉等，將兵二十萬征之，還其先所獲元將乃剌吾。
HCH_012_327_000036	勝軍駐通州，遣藍玉乘大雪襲慶州，克之。
HCH_012_327_000037	夏，師踰金山，臨江侯陳鏞失道，陷敵死。
HCH_012_327_000038	乃剌吾歸，備以朝廷撫恤恩語其眾，於是全國公觀童來降。
HCH_012_327_000039	納哈出因聞乃剌吾之言已心悸，復為大軍所迫，乃陽使人至大將軍營納款，以覘兵勢。
HCH_012_327_000040	勝遣玉往受降。
HCH_012_327_000041	使者見勝軍還報，納哈出仰天嘆曰：「天弗使吾有此眾矣。」
HCH_012_327_000042	遂率數百騎詣玉納降。
HCH_012_327_000043	已，將脫去，為鄭國公常茂所傷不得去。
HCH_012_327_000044	都督耿忠遂以眾擁之見勝，勝重禮之，使忠與同寢食。
HCH_012_327_000045	先後降其部曲二十餘萬人，及聞納哈出傷，由是驚潰者四萬人，獲輜重畜馬亙百餘里。
HCH_012_327_000046	勝班師，都督濮英以三千騎殿，為潰卒所邀襲，死之。
HCH_012_327_000047	秋，勝等表上納哈出所部官屬二百餘人，將校三千三百餘人，金銀銅印一百顆，虎符牌面百二十五事，馬二百九十餘匹，稱賀。
HCH_012_327_000048	太祖封納哈出為海西侯，先後賜予甚厚，并授乃剌吾千戶。
HCH_012_327_000049	納哈出既降，帝以故元遺寇終為邊患，乃即軍中拜藍玉為大將軍，唐勝、郭英副之，耿忠、孫恪為左、右參將，率師十五萬往征之。
HCH_012_327_000050	冬，元將脫脫等降於玉。
HCH_012_327_000051	明年春，玉以大軍由大寧至慶州，聞脫古思帖木兒在捕魚兒海，從間道馳進，至百眼井哨不見敵，欲引還。
HCH_012_327_000052	定遠侯王弼曰：「吾等奉聖主威德，提十萬餘眾，深入至此，無所得，何以復命？」
HCH_012_327_000053	玉乃穴地而爨，一夜馳至捕魚兒海。
HCH_012_327_000054	黎明，去敵營八十里。
HCH_012_327_000055	時大風揚沙，晝晦，軍行無知者，敵不設備。
HCH_012_327_000056	弼為前鋒，直薄之，遂大破其軍，斬太尉、蠻子數千人。
HCH_012_327_000057	脫古思帖木兒以其太子天保奴、知院捏怯來、丞相失烈門等數十騎遁去，獲其次子地保奴及妃主五十餘人、渠率三千、男女七萬餘，馬駝牛羊十萬，聚鎧仗焚之。
HCH_012_327_000058	又破其將哈剌章營，盡降其眾。
HCH_012_327_000059	於是漠北削平。
HCH_012_327_000060	捷奏至，太祖大悅，賜地保奴等鈔幣，命有司給供具。
HCH_012_327_000061	既有言玉私元主妃者，帝怒，妃慚懼自殺。
HCH_012_327_000062	地保奴出怨言，帝居之琉球。
HCH_012_327_000063	脫古思帖木兒既遁，將依丞相咬住於和林，行至土剌河，為其下也速迭兒所襲，眾復散，獨與捏怯來等十六騎偕。
HCH_012_327_000064	適咬住來迎，欲共往依闊闊帖木兒，大雪不得發。
HCH_012_327_000065	也速迭兒兵猝至，縊殺之，并殺天保奴。
HCH_012_327_000066	於是捏怯來、失烈門等來降，置之全寧衞。
HCH_012_327_000067	未幾，捏怯來為失烈門所襲殺，眾潰，詔朵顏等衞招撫之，來降者益眾。
HCH_012_327_000068	二十三年春，命潁國公傅友德等以北平兵從燕王，定遠侯王弼等以山西兵從晉王，征咬住及乃兒不花、阿魯帖木兒等。
HCH_012_327_000069	燕王出古北口，偵知乃兒不花營迤都，冒大雪馳進，去敵一磧，敵不知也。
HCH_012_327_000070	先遣指揮觀童往，觀童舊與乃兒不花善，一見相持泣。
HCH_012_327_000071	頃之，大軍壓其營，乃兒不花驚欲遁，觀童止之，引見王，賜飲食慰諭遣還。
HCH_012_327_000072	乃兒不花喜過望，遂偕咬住等來降。
HCH_012_327_000073	久之，乃兒不花等以謀叛誅死，敵益衰。
HCH_012_327_000074	太祖亦封燕、晉諸王為邊藩鎮，更歲遣大將巡行塞下，督諸衞卒屯田，戒以持重，寇來輒敗之。
HCH_012_327_000075	而敵自脫古思帖木兒後，部帥紛拏，五傳至坤帖木兒，咸被弒，不復知帝號。
HCH_012_327_000076	有鬼力赤者篡立，稱可汗，去國號，遂稱韃靼云。
HCH_012_327_000077	成祖即位，遣使諭之通好，賜以銀幣并及其知院阿魯台、丞相馬兒哈咱等。
HCH_012_327_000078	時鬼力赤與瓦剌相仇殺，數往來塞下，帝敕邊將各嚴兵備之。
HCH_012_327_000079	永樂三年，頭目埽胡兒、察罕達魯花等先後來歸。
HCH_012_327_000080	久之，阿魯台殺鬼力赤，而迎元之後本雅失里于別失八里，立為可汗。
HCH_012_327_000081	六年春，帝即以書諭本雅失里曰：「自元運既訖，順帝後愛猷識理達臘至坤帖木兒凡六傳，瞬息之間，未聞一人善終者。我皇考太祖高皇帝於元氏子孫，加意撫恤，來歸者輒令北還，如遣脫古思帖木兒歸，嗣為可汗，此南北人所共知。朕之心即皇考之心。茲元氏宗祧不絕如線，去就之機，禍福由分，爾宜審處之。」
HCH_012_327_000082	不聽。
HCH_012_327_000083	明年，獲其部曲完者帖木兒等二十二人，帝因復使給事中郭驥齎書往。
HCH_012_327_000084	驥被殺，帝怒。
HCH_012_327_000085	秋，命淇國公丘福為大將軍，武城侯王聰、同安侯火真副之，靖安侯王忠、安平侯李遠為左、右參將，將精騎十萬北討，諭以毋失機，毋輕犯敵，一舉未捷，俟再舉。
HCH_012_327_000086	時本雅失里已為瓦剌所襲破，與阿魯台徙居臚朐河。
HCH_012_327_000087	福率千騎先馳，遇游兵擊破之。
HCH_012_327_000088	軍未集，福乘勝渡河追敵，敵輒佯敗引去。
HCH_012_327_000089	諸將以帝命止福，福不聽。
HCH_012_327_000090	敵眾奄至，圍之，五將軍皆沒。
HCH_012_327_000091	帝益怒。
HCH_012_327_000092	明年，帝自將五十萬眾出塞。
HCH_012_327_000093	本雅失里聞之懼，欲與阿魯台俱西，阿魯台不從，眾潰散，君臣始各為部。
HCH_012_327_000094	本雅失里西奔，阿魯台東奔。
HCH_012_327_000095	帝追及斡難河，本雅失里拒戰。
HCH_012_327_000096	帝麾兵奮擊，一呼敗之。
HCH_012_327_000097	本雅失里棄輜重孳畜，以七騎遁。
HCH_012_327_000098	斡難河者，元太祖始興地也。
HCH_012_327_000099	班師至靜虜鎮，遇阿魯台，帝使諭之降。
HCH_012_327_000100	阿魯台欲來，眾不可，遂戰。
HCH_012_327_000101	帝率精騎大呼衝擊，矢下如注，阿魯台墜馬，遂大敗，追奔百餘里乃還。
HCH_012_327_000102	冬，阿魯台使來貢馬，帝納之。
HCH_012_327_000103	越二年，本雅失里為瓦剌馬哈木等所殺。
HCH_012_327_000104	阿魯台已數入貢，帝俱厚報之，并還其向所俘同產兄妹二人。
HCH_012_327_000105	至是，奏馬哈木等弒其主，又擅立答里巴，願輸誠內附，請為故主復仇。
HCH_012_327_000106	天子義之，封為和寧王。
HCH_012_327_000107	自是，歲或一貢，或再貢，以為常。
HCH_012_327_000108	十二年，帝征瓦剌。
HCH_012_327_000109	阿魯台使部長以下來朝會。
HCH_012_327_000110	賜米五十石，乾肉、酒糗、綵幣有差。
HCH_012_327_000111	十四年，以戰敗瓦剌，使來獻俘。
HCH_012_327_000112	十九年，阿魯台貢使至邊，要劫行旅，帝諭使戒戢之，由是驕蹇不至。
HCH_012_327_000113	阿魯台之內附，困于瓦剌，窮蹙而南，思假息塞外。
HCH_012_327_000114	帝納而封之，母妻皆為王太夫人、王夫人。
HCH_012_327_000115	數年生聚，畜牧日以蕃盛，遂慢我使者，拘留之。
HCH_012_327_000116	其貢使歸，多行劫掠，部落亦時來窺塞。
HCH_012_327_000117	二十年春，大入興和。
HCH_012_327_000118	于是詔親征之。
