HCH_013_028_000000	成祖永樂二十二年秋七月，上北征，崩于榆木川。
HCH_013_028_000001	眾倉卒，莫知所措。
HCH_013_028_000002	大學士楊榮曰：「六師去京尚遠，不宜發喪，所至宜上食如常儀。」
HCH_013_028_000003	時有議欲借他事齎璽書馳訃者。
HCH_013_028_000004	榮曰：「大行皇帝在稱敕，今稱敕，是詐也。罪孰當之？」
HCH_013_028_000005	乃作啟先馳報，皇太子遣皇太孫往迎梓宮。
HCH_013_028_000006	時京兵皆隨征，城中空虛，浮議藉藉，慮趙王兵為變。
HCH_013_028_000007	皇太孫辭行，啟曰：「出外有封章白事，非印識無以防偽。」
HCH_013_028_000008	皇太子然之，急未有所與，以問大學士楊士奇。
HCH_013_028_000009	士奇言：「上所用東宮圖書，今暫假之，歸即進納。」
HCH_013_028_000010	太子悟，乃曰：「卿言誠是。昔大行臨御，儲位久未定。吾今即以付之，浮議何由興！」
HCH_013_028_000011	八月，皇太子即皇帝位，大赦天下。
HCH_013_028_000012	楊士奇草詔，如下西洋寶船、雲南取寶石、交趾採金珠、撒馬兒等處取馬，并採辦燒鑄進供諸務，悉皆停罷。
HCH_013_028_000013	出戶部尚書夏原吉、刑部尚書吳中、侍郎楊勉、右春坊大學士黃淮、洗馬楊溥、正字金問于獄，復其官。
HCH_013_028_000014	以大學士楊榮為太常寺卿，金幼孜為戶部侍郎仍兼前職，左春坊大學士楊士奇為禮部右侍郎兼華蓋殿大學士，黃淮為通政使兼武英殿大學士。
HCH_013_028_000015	榮、幼孜、士奇、淮俱掌內制，備顧問，不預所陞職務。
HCH_013_028_000016	洗馬楊溥為翰林院學士，正字金問為翰林院修撰。
HCH_013_028_000017	初，上嘗諭士奇曰：「自今朝廷事，仗蹇義與汝。」
HCH_013_028_000018	士奇對曰：「漢文即位，首進宋昌，史以為貶。臣兩人侍陛下日久，雖聖恩不遺，不應先及臣等。」
HCH_013_028_000019	上益重之。
HCH_013_028_000020	命減惜薪司賦棗之半。
HCH_013_028_000021	初，楊士奇入謝新命畢，聞惜薪司奏准歲例，賦北京、山東棗八十萬斤，為宮禁香炭之用，將復入奏。
HCH_013_028_000022	時蹇義、夏原吉奏事未退，上見士奇，顧義等曰：「新華蓋學士來奏事，必有理，試共聽之。」
HCH_013_028_000023	士奇因言：「詔下才兩日，今聞惜薪司傳旨，賦棗八十萬斤，得無過多？雖係歲例，然詔書所減除者，皆歲例也。」
HCH_013_028_000024	上喜曰：「吾固知學士言有理。吾數日來，宮中叢脞，此是急遽中答之，不暇致審。」
HCH_013_028_000025	即命減其半。
HCH_013_028_000026	復語義等曰：「卿三人朕所倚，宜盡言，匡朕不逮。」
HCH_013_028_000027	命吏部汰冗官。
HCH_013_028_000028	九月，上念山林川澤，皆與民共，命自居庸以東，與天壽山相接，禁樵採，餘俱弛禁。
HCH_013_028_000029	河南黃河溢，令右都御史王彰往撫軍民，免今年糧稅。
HCH_013_028_000030	工部奏修軍器，請徵布漆于民。
HCH_013_028_000031	命給鈔市之。
HCH_013_028_000032	上曰：「古者土賦，隨地所產，不強其所無。比年如丹漆、石青之類，所司不究物產，概下郡縣徵之。小民鳩歛金幣，博易輸納，而吏胥因以為奸。其一切禁止。」
HCH_013_028_000033	禮部尚書呂震請即吉，不從。
HCH_013_028_000034	時上喪服已踰二十七日，震請如太祖倣漢制，易吉服。
HCH_013_028_000035	上未答。
HCH_013_028_000036	震退，徧語羣臣，令釋服。
HCH_013_028_000037	楊士奇謂震曰：「洪武中有遺詔，今未可援以為例。且仁孝皇后崩，太宗衰服後，仍服素衣冠絰帶月數日。今可遽即吉乎？明旦，君臣宜素衣冠黑角帶。」
HCH_013_028_000038	遂以上聞，上亦未答。
HCH_013_028_000039	已而視朝，上素冠麻衣麻絰。
HCH_013_028_000040	文臣惟學士，武臣惟英國公如上所服。
HCH_013_028_000041	上歎曰：「張輔知禮，六卿乃反不及，士奇所執是也。」
HCH_013_028_000042	以靈壁縣丞田誠為州判官，仍佐靈壁縣事。
HCH_013_028_000043	誠居官廉能，撫字九年，考滿，父老詣闕留之，遂有是命。
HCH_013_028_000044	長沙府民自宮，求為內侍。
HCH_013_028_000045	上以其游惰不孝，發為卒戍邊。
HCH_013_028_000046	以太常寺卿周訥為交趾升華府知府。
HCH_013_028_000047	訥永樂中為祠祭司郎中，請封禪，太宗不聽。
HCH_013_028_000048	後以方賓薦入太常。
HCH_013_028_000049	上曰：「諛佞之人，宜置遠徼，不可以玷朝行。」
HCH_013_028_000050	遂有是命。
HCH_013_028_000051	治水左通政樂福奏蘇、松、常、杭、嘉、湖六府水災，請俟來歲并徵。
HCH_013_028_000052	命以鈔布代輸。
HCH_013_028_000053	直隸廣宗縣水溢，命賑給之。
HCH_013_028_000054	諭兵部尚書李慶，以太僕寺馬分給諸衛所，及沿邊戍卒牧養。
HCH_013_028_000055	上念民力，恐廢耕桑也。
HCH_013_028_000056	賜蹇義、楊士奇、楊榮、金幼孜「繩愆糾謬」圖書。
HCH_013_028_000057	冬十月，革戶部及南京戶部行用庫。
HCH_013_028_000058	初建行用庫，專市民間金銀，至是罷革之。
HCH_013_028_000059	賜衍聖公孔彥縉宅。
HCH_013_028_000060	初，彥縉來朝，館于民間。
HCH_013_028_000061	上聞之，顧近臣曰：「四裔來朝之使，至京皆有公館，先聖子孫，乃寓民家，何以稱崇儒重道之意。」
HCH_013_028_000062	命工部賜宅。
HCH_013_028_000063	山東登、萊諸郡水災，蠲逋租。
HCH_013_028_000064	蘇州、徐州水災，免今年稅。
HCH_013_028_000065	浙江於潛、樂清民饑，命發倉賑之。
HCH_013_028_000066	大理寺卿虞謙上言七事：「曰慎用人。用得其人則治道興，非其人則治道隳。曰興學校。教育之道，本于師範，不在于備而在得人。曰端風憲。都察院綱紀之職，今俾耑治獄，非設官本意。曰廣儲蓄。國用空乏，宜預為備。曰惜民力。畿南之兵，困于牧養，宜分給無馬郡縣。曰通貨財。鈔法不行，由于出多而入少。但多方收之而不輕出，則自能流通。曰治奸宄。畿民多盜賊，宜編里甲相覺察，犯者坐。」
HCH_013_028_000067	命議行之。
HCH_013_028_000068	大理寺奏決囚。
HCH_013_028_000069	命同大學士審錄，召楊士奇等諭以欽恤至意。
HCH_013_028_000070	命翰林院嚴考歲貢生。
HCH_013_028_000071	上諭楊士奇曰：「百姓不蒙福者，由守令匪人；守令匪人，由學校失教；自今宜嚴試之。五經四書義，不在文辭之工拙，但取其明理者。或人材難得，即數百人中得一人亦可。蓋取之嚴，則不學者不敢萌僥倖之望。」
HCH_013_028_000072	十一月，宥建文諸臣家屬。
HCH_013_028_000073	上嘗語廷臣曰：「方孝孺輩皆忠臣。」
HCH_013_028_000074	遂及寬典。
HCH_013_028_000075	改大理寺卿楊時習交趾按察司，復虞謙為大理卿。
HCH_013_028_000076	先是，謙奏事，侍臣有言其當密請，不宜于朝中敷奏沽名者。
HCH_013_028_000077	又言其屬官楊時習導之密陳，而謙不納。
HCH_013_028_000078	上乃降謙，擢時習為卿。
HCH_013_028_000079	至是，楊士奇從容言之，且曰：「謙歷三朝，得大臣體，今犯過極小。」
HCH_013_028_000080	上曰：「吾亦悔之。顧時習其人若何？」
HCH_013_028_000081	對曰：「雖起于吏，然明習法律，公正廉潔。」
HCH_013_028_000082	上喜曰：「吾有以處之。」
HCH_013_028_000083	遂有是命。
HCH_013_028_000084	召太監馬騏還京。
HCH_013_028_000085	騏還未幾，矯旨下內閣書敕，復往交趾辦金珠。
HCH_013_028_000086	內閣復請，上正色曰：「朕安得有此言！騏在交趾，荼毒軍民，卿等獨不聞乎？自騏召還，交人如解倒懸，豈可再遣！」
HCH_013_028_000087	然亦不誅騏也。
HCH_013_028_000088	遣監察御史分巡天下，考察官吏。
HCH_013_028_000089	進戶部尚書郭資太子太師，命致仕。
HCH_013_028_000090	蹇義、夏原吉言其偏執妨事，且多病。
