HCH_013_037_000000	憲宗成化十三年春正月，置西廠，命太監汪直詗刺外事。
HCH_013_037_000001	汪直者，大藤峽瑤［種］也。
HCH_013_037_000002	瑤賊平，直以幼男入禁中，為昭德宮內使，尋掌御馬監事。
HCH_013_037_000003	年少黠譎，上寵之。
HCH_013_037_000004	先是，妖人李子龍以左道惑眾，內使鮑石、鄭忠敬信之。
HCH_013_037_000005	夤緣入內府，時引至萬歲山觀望，謀不軌。
HCH_013_037_000006	錦衣官校發其事，伏誅。
HCH_013_037_000007	自是上銳意欲知外事，乃選錦衣官校善刺事者百餘人別置廠於靈濟宮前，號西廠。
HCH_013_037_000008	永樂中，盡戮建文諸臣，懷疑不自安，始設東廠主刺奸。
HCH_013_037_000009	至是，名西廠，以別東廠也。
HCH_013_037_000010	縱直出入，分命諸校，廣刺督責，大政小事，方言巷語，悉採以聞。
HCH_013_037_000011	二月，籍沒福建都指揮楊［業］家。
HCH_013_037_000012	［業］少師榮曾孫也。
HCH_013_037_000013	居鄉逃罪入京師。
HCH_013_037_000014	錦衣百戶韋瑛故無賴，冒內官韋姓者從征延綏，陞百戶。
HCH_013_037_000015	至是，詣汪直報之，謂［業］家貲巨萬，常殺人，將招納亡命下海。
HCH_013_037_000016	直喜，發卒捕之。
HCH_013_037_000017	詞連兵部主事楊仕偉、中書舍人董璵，俱下獄瀕死。
HCH_013_037_000018	［業］竟斃，復遣瑛籍其家。
HCH_013_037_000019	三月，左都御史李賓奏擬妄報妖言者坐斬。
HCH_013_037_000020	時西廠旗校以捕妖言圖官賞。
HCH_013_037_000021	無籍者多為贗書誘愚民。
HCH_013_037_000022	行事者捕之，加以法外之刑，寃死相屬，無敢言者，故賓奏之。
HCH_013_037_000023	夏四月，汪直令韋瑛執左通政方賢、太醫院判蔣宗武下西廠獄。
HCH_013_037_000024	禮部郎中樂章、行人張廷綱使安南還，刑部郎中武清廣西勘事還，浙江布政使劉福起復至京，汪直並令韋瑛執繫之。
HCH_013_037_000025	御史黃本雲南、貴州清軍刷卷還，汪直令韋瑛搜得象笏一，執送錦衣衛，問為民。
HCH_013_037_000026	五月，罷西廠。
HCH_013_037_000027	時汪直開西廠，羅織數起大獄，臣民悚怵。
HCH_013_037_000028	大學士商輅疏言：「近日伺察太繁，政令太急，刑網太密，人情疑畏，洶洶不安。蓋緣陛下委聽斷於汪直，而直又寄耳目於羣小也。中０外騷然，安保其無意外不測之變？往者曹欽之反，皆逯杲有以激之。一旦禍興，卒難消彌。望陛下斷自宸衷，革去西廠，罷汪直以全其身，誅韋瑛以正其罪。」
HCH_013_037_000029	疏入，上怒曰：「一內豎輒危天下乎！」
HCH_013_037_000030	太監懷恩傳旨詰責甚厲，輅曰：「朝臣無大小，有罪皆請旨收問，直敢擅逮三品以上京官。大同、宣府，北門鎖鑰，守備不可一日缺，直則一日擒械數人。南京，祖宗根本重地，留守大臣，直輒收捕。諸近侍，直輒易置。直不黜，國家安得不危！」
HCH_013_037_000031	恩齧指而退，奏上，上立命去西廠。
HCH_013_037_000032	召懷恩數直罪責之，謫韋瑛戍宣府。
HCH_013_037_000033	兵部尚書項忠削籍為民。
HCH_013_037_000034	初，汪直掌西廠，士大夫無與往還。
HCH_013_037_000035	左都御史王越因西征識韋瑛，遂深相結，日往伺直。
HCH_013_037_000036	吏部尚書尹旻偕諸卿貳欲詣直，屬越為介。
HCH_013_037_000037	既見直，相率諸卿貳叩頭出，直大悅。
HCH_013_037_000038	一日，項忠途遇直。
HCH_013_037_000039	既過，覺之。
HCH_013_037_000040	追及，下輿謝，忠不為禮。
HCH_013_037_000041	尋辱忠於朝，復遣校卒直上堂，辭色甚厲，忠亦不為禮。
HCH_013_037_000042	而王越謀代忠，又毀短之。
HCH_013_037_000043	直以是啣忠，日掇拾其事，危甚。
HCH_013_037_000044	忠具疏倡九卿劾奏直，令武選郎中姚璧持赴旻署名，旻曰：「本項公所撰，當以兵部為首。」
HCH_013_037_000045	璧曰：「公六卿長也。」
HCH_013_037_000046	旻怒曰：「今日亦知六卿長乎？」
HCH_013_037_000047	即遣人報韋瑛，直愈怒，思有以中忠。
HCH_013_037_000048	會千戶吳綬者，先在楚軍撓法，忠逐綬。
HCH_013_037_000049	綬從直營求書記，頗工文詞。
HCH_013_037_000050	直喜，得授錦衣副千戶。
HCH_013_037_000051	及西廠罷，上有時密召直察外間事，直因以吳綬能文事封進，遂命綬於鎮撫司問刑。
HCH_013_037_000052	直乃嗾東廠官校，發江西都指揮劉江、指揮黃賓事誣搆忠。
HCH_013_037_000053	給事中郭鏜、御史馮瓘附直，交論忠違法，忠廷辯慷慨不少屈。
HCH_013_037_000054	獄成，竟坐削籍。
HCH_013_037_000055	璧亦降調。
HCH_013_037_000056	璧，故尚書夔子也。
HCH_013_037_000057	六月，以御史戴縉、王億言，復西廠，命汪直仍刺事。
HCH_013_037_000058	縉言：「近年災變洊臻，未聞大臣進何賢，退何不肖。惟太監汪直釐奸剔弊，允合公論。而止以官校韋瑛張皇行事，遂革西廠。伏望推誠任人，命兩京大臣自陳去留，斷自聖衷。」
HCH_013_037_000059	上悅。
HCH_013_037_000060	時縉九年不遷，以覬進，故頌直。
HCH_013_037_000061	其自陳一事，尤直所喜，蓋直常惡商輅、李賓難於施行也。
HCH_013_037_000062	億言：「汪直所行，不獨可為今日法，且可為萬世法。」
HCH_013_037_000063	天下聞而唾之。
