HCH_013_045_000000	武宗正德四年秋九月，畿南盜起。
HCH_013_045_000001	時劉瑾用事，專恣驕橫。
HCH_013_045_000002	京師之南固安、永清、霸州、文安地方，京衞屯軍雜居其地，人性驕悍，好騎射，往往邀路劫掠，號「響馬盜」。
HCH_013_045_000003	至是，聚黨益熾。
HCH_013_045_000004	瑾欲速除之分，遣御史甯杲於真定，殷毅於天津，薛鳳鳴於淮陽，專事捕盜。
HCH_013_045_000005	舊例，御史出，不得以家屬隨。
HCH_013_045_000006	至是，杲等許攜家往，以滅賊為期。
HCH_013_045_000007	鳳鳴在歸德，與守備指揮石璽會飲，令人歌舞為樂。
HCH_013_045_000008	邏卒奏之，傳旨降鳳鳴為徐州弓手。
HCH_013_045_000009	毅在天津稍收歛。
HCH_013_045_000010	惟杲奏立什五連坐法，盜賊捕獲無虛日，每械盜賊入真定，用鼓吹前導，金鼓之聲彌日不絕。
HCH_013_045_000011	瑾以捕盜功擢杲、毅僉都御史，仍專督捕。
HCH_013_045_000012	五年冬十月，霸州隆盜劉六、劉七叛。
HCH_013_045_000013	初，霸州文安縣大盜張茂家有重樓複壁，多為深害。
HCH_013_045_000014	同時劉六、劉七、齊彥名、李隆、楊虎、朱千戶等皆附之。
HCH_013_045_000015	諸大璫多文安人，茂通賂納交。
HCH_013_045_000016	太監張忠者，號北墳張，與茂居鄰，結為兄弟。
HCH_013_045_000017	因得徧賂馬永成、谷大用輩，常因內官家人出入禁中，進豹房觀上蹴踘，益無忌憚。
HCH_013_045_000018	河間參將袁彪數敗賊，茂窘，乃求救於忠。
HCH_013_045_000019	忠置酒私第，招彪與茂東西坐，舉酒屬彪，字茂曰：「此彥實吾弟耳！今後好相看，無相扼也！」
HCH_013_045_000020	又舉屬茂曰：「袁將軍與爾好，今後無擾河間！」
HCH_013_045_000021	彪畏忠，不敢誰何。
HCH_013_045_000022	諸將聞風縮朒。
HCH_013_045_000023	及甯杲至，有巡捕李主簿承杲意，偽作彈琵琶優人入茂家，具知曲折。
HCH_013_045_000024	杲率驍勇數十人，乘不備掩擒之，斧折茂股，載歸。
HCH_013_045_000025	餘賊相率至京謀逭罪，忠與永成為請於上，且曰：「必獻銀二萬，乃赦之。」
HCH_013_045_000026	劉瑾家人梁洪亦索萬金。
HCH_013_045_000027	六、七、楊虎計無所出，潛劫近境，冀以足所獻。
HCH_013_045_000028	會虎焚官署，六、七知事敗，散去。
HCH_013_045_000029	六、七膽力弓矢絕倫，諸盜皆畏之。
HCH_013_045_000030	涿州州官知其能，召至，協捕有功。
HCH_013_045_000031	御史蔣瑤亦用而賞之。
HCH_013_045_000032	或勸瑤並絕禍本，二人竟颺去。
HCH_013_045_000033	杲仍圖形捕之，逮繫妻孥，盡破其家。
HCH_013_045_000034	六等窮蹙憤恚，乃相聚抗官府，劫行旅。
HCH_013_045_000035	既，劉瑾伏誅，杲亦被劾，麾下健兒多歸之。
HCH_013_045_000036	詔下討賊，仍許自首免罪。
HCH_013_045_000037	六等遣其姊出首，自領三十四人詣州。
HCH_013_045_000038	知州郭坤以聞，貰之，令捕他盜自效。
HCH_013_045_000039	至是，復叛去，往附畿內盜白英。
HCH_013_045_000040	時英已流劫至山東。
HCH_013_045_000041	六年春正月，霸州巨盜劉六、劉七聚眾攻安肅縣，劫取繫獄盜黨齊彥名。
HCH_013_045_000042	時窮民響應，旬日間眾至數千，劫掠畿南州縣。
HCH_013_045_000043	霸州文安生員趙風子者，多鐩，有勇力，好任俠，每大言自負。
HCH_013_045_000044	先是，劉六等攻掠文安，鐩率妻子避賊立水中，賊劫其妻，將汙之，鐩怒，奮往殺傷二賊。
HCH_013_045_000045	為劉六、劉七所擒，說使降，許諾，歸家與弟鐇、鎬聚五百人，會於河間。
HCH_013_045_000046	由是賊黨益繁，自畿南達山東，倏忽來去，勢如風雨。
HCH_013_045_000047	乃命指揮同知李瑾統京營千人往討。
HCH_013_045_000048	瑾至德州奏言：「白英約四百人，分為二：一劫諸城、高密、安丘、沂水；一自穆陵關南陷魚臺，直趨金鄉。賊所得，皆民間馬，一晝夜數百里馳。而官軍馬少，無以追敵，請於山東、直隸取給備戰。」
HCH_013_045_000049	從之。
HCH_013_045_000050	命瑾充參將捕盜。
HCH_013_045_000051	三月，賊入博野、饒陽、南宮、無極、東明等縣，深、冀、定、祁、開等州境，大肆殺掠。
HCH_013_045_000052	攻濱州、臨朐、臨淄、昌樂、日照、蒲臺、武城、陽信、曲阜、及泰安州，皆破之。
HCH_013_045_000053	時賊眾強，多出不意突犯，所在單弱，勢不能支，李瑾東西奔命。
HCH_013_045_000054	吏部尚書楊一清建言推用大將及文臣有才望者，提督軍務。
HCH_013_045_000055	從之。
HCH_013_045_000056	命惠安伯張偉充總兵官，召馬中錫為右都御史，提督軍務，統京營兵征流賊。
HCH_013_045_000057	夏五月，兵部尚書何鑑奏禦盜事宜。
HCH_013_045_000058	時承平日久，民不知兵，郡縣望風奔潰，甚至開門迎款，以故南北不通，人情洶洶。
HCH_013_045_000059	鑑建議：「選將練兵，嚴號令，公賞罰，募義勇，起用舊將白玉等數人。奏行山東、直隸等處，修濬城隍，選補軍餘，錄用民間武勇，不許遺以資賊。鄉村鎮店結伍立寨，互相應援。河南、山西等處，設兵黃河，斷太行，以防奔突。京操官軍，俱留本處，分守郡縣。又於漕運十二把總部下，每船選精卒一人，沿河駐箚，以防運道商旅。」
HCH_013_045_000060	詔悉從所議。
HCH_013_045_000061	鑑復奏：「遣都督黃琮、張俊統兵分布霸州等處。」
HCH_013_045_000062	六月，流盜趙鐩、劉三、邢老虎、楊虎分掠河南，劉六、劉七、齊彥名分掠山東。
HCH_013_045_000063	鐩等由河南、山西自西而東，踰曲周、威縣，直抵文安，復往河間、泊頭、慶雲。
HCH_013_045_000064	由山東陽信、海豐向西南上江為散地。
HCH_013_045_000065	六、七等踰山東、河南出湖廣、江西，仍由故道入長清、齊河等縣，直抵霸州。
HCH_013_045_000066	復走山東，向東南下江為絕地。
HCH_013_045_000067	所至縱橫，如蹈無人之境。
HCH_013_045_000068	大抵賊俱起畿內，恃馬力倏忽馳驟，棲野不佔城郭，蹈虛不立方所。
HCH_013_045_000069	每戰驅脅從者居前，呼號衝突。
HCH_013_045_000070	官軍見形即縮，賊相與笑樂，恣所殺掠；稍遇勁兵，前者俱陷，自以精騎覘勢為進退，莫可控揣。
HCH_013_045_000071	官軍雖屢有小捷，然失亡多。
HCH_013_045_000072	黠者又受賊賂，多縱舍賊。
HCH_013_045_000073	指揮桑玉嘗與劉六、劉七遇文安村中，六、七匿民家樓上，欲自剄，玉故縱之。
HCH_013_045_000074	有頃，齊彥名持大刀，脇官軍敗衄者數十人至樓下，彥名曰：「呼！」
HCH_013_045_000075	諸敗軍皆呼。
HCH_013_045_000076	彥名曰：「救至矣，無恐也！」
HCH_013_045_000077	六、七遂彎弓注矢以出，射殪數人去，各地方官互相推委。
HCH_013_045_000078	時馬中錫、張偉所領京營人馬，多不簡閱。
HCH_013_045_000079	中錫書生，欲效龔遂化渤海事，招撫解散。
HCH_013_045_000080	張偉紈袴子，怯不能戰。
HCH_013_045_000081	中錫遍檄諸路，榜示：「劉六等經過，所在官司不許捕獲，與供飲食。若聽撫，待以不死。」
HCH_013_045_000082	劉六等聞之，所至不殺掠，然且信且疑。
HCH_013_045_000083	中錫至德州桑兒園駐兵，單車從數卒直抵賊壘，開其自新。
HCH_013_045_000084	劉六等來謁，中錫開誠撫之。
HCH_013_045_000085	劉六欲降，劉七曰：「今內臣主國事，馬都堂能自踐其言乎？」
HCH_013_045_000086	潛使人至京伺諸中貴，無招降意。
HCH_013_045_000087	又以山東所劫金銀輦載至京饋權倖，求赦不得，遂益肆劫掠，眾至數萬。
HCH_013_045_000088	中錫，故城縣人，賊至故城，戒令勿焚劫馬都堂家。
HCH_013_045_000089	由是謗騰，謂中錫玩寇殃民。
HCH_013_045_000090	兵部尚書何鑑劾中錫、偉擁兵自衞，縱賊不戰，逮下錦衣衞獄論死。
HCH_013_045_000091	中錫竟死獄中。
HCH_013_045_000092	偉革爵閒住。
HCH_013_045_000093	八月丁巳，劉六、劉七、齊彥名、楊虎等合兵以二千騎，破棗強縣，屠戮甚慘。
HCH_013_045_000094	知縣段豸死之。
HCH_013_045_000095	命伏羌伯毛銳充摠兵官，太監谷大用總督軍務，兵部侍郎陸完提督軍務，大發兵討流賊。
HCH_013_045_000096	馬中錫等既無功，中官因以討賊非書生所能辦，遂以大用等帥兵討賊。
HCH_013_045_000097	何鑑奏令陸完率領主事田蘭等招募民兵，地方大擾。
HCH_013_045_000098	又奏調宣府副總兵許泰、遊擊郤永、大同總兵張俊、游擊江彬、延綏副總兵馮禎入征內地，俱聽谷大用、陸完節制。
HCH_013_045_000099	逮巡撫山東都御史邊憲、真定都御史蕭翀。
HCH_013_045_000100	憲等撫馭無方，遇賊失機，兵部奏逮下獄，除名為民，且著為令，凡州縣官失守者，比守邊將士例。
HCH_013_045_000101	劉七等困滄州不克，進抵霸州、信安，京師戒嚴。
HCH_013_045_000102	時兵部侍郎陸完提督軍務，師已出涿州。
HCH_013_045_000103	賊在固安，甚急。
HCH_013_045_000104	上召大學士李東陽、楊廷和、梁儲，兵部尚書何鑑，諭曰：「賊在東，師乃西出，恐緩不及事，卿等何以處之？」
HCH_013_045_000105	鑑對曰：「邊兵已至涿州，賊來送死，但恐望風遁去耳。」
HCH_013_045_000106	上喜。
