HCH_013_051_000000	世宗嘉靖九年二月，給事中夏言請更郊祀。
HCH_013_051_000001	洪武初，中書省臣李善長等進《郊社宗廟議》：「分祭天地於南北郊，冬至則祀昊天上帝於圜丘，以大明、夜明星、太歲從；夏至則祀地於方澤，以五嶽、五鎮、四海、四瀆從。德祖而下四代各為廟，廟南向，以四時孟月及歲除凡五享。孟春特祭於各廟，孟夏、孟秋、孟冬、歲除則合祭於高祖廟。祀社稷以春秋二仲月上戊日。」
HCH_013_051_000002	太祖從之。
HCH_013_051_000003	行之十年，水旱不時，多災異。
HCH_013_051_000004	太祖曰：「天地猶父母也，泥其文而情不安，不可謂禮。」
HCH_013_051_000005	乃以冬至合祀天地於奉天殿，列朝仍之。
HCH_013_051_000006	至是，給事中夏言上言：「古者祀天於圜丘，祭地於方澤。是故兆於南郊，就陽之義；瘞於北郊，即陰之象。凡以順天地之性，審陰陽之位也。豈有崇樹棟宇，擬之人道者哉！至於一祖二宗之配享，諸壇之從事，不於二至而於孟春，稽之古禮，俱當有辨。因引程、朱之論，以駁合祀之不經。」
HCH_013_051_000007	疏入，上方以大禮恚羣臣，將大有更易，得之甚悅。
HCH_013_051_000008	賜言四品服織幣，以旌其忠。
HCH_013_051_000009	夏四月，廷臣集議郊祀典禮。
HCH_013_051_000010	先是，夏言疏見納，詹事霍韜嫉之，上言「分郊為紊朝政、亂祖制」。
HCH_013_051_000011	帝置不問。
HCH_013_051_000012	韜復為書遺言，甚言「祖宗定制不可變。《周禮》為王莽偽書，宋儒議論皆為夢語。東西郊之說起，自是而九廟亦可更矣」。
HCH_013_051_000013	言飛章并其書上之，帝怒，下韜獄。
HCH_013_051_000014	於是中允廖道南上疏，雜引《周禮》、《漢志》、《唐六典》諸書，以明我朝郊廟之禮，皆所當議。
HCH_013_051_000015	其略曰：「我太祖高皇帝初年建圜丘鍾山之陽，方丘鍾山之陰，分祀天地。至十年，感齋居陰雨之應，覽京房災異之說，始命即舊址為壇，行合祀。夫前之分祀，酌萬世帝王之道，禮本太始者也；後之合祀，感一時災異之應，禮緣人情者也。太宗遷都，當時未有建白，以復古制者，禮樂百年而後興，詎不信哉？至於宗廟之制，國初立四親廟，德祖居中，懿、熙、仁祖次分左右。昭穆有定位，禘祫有定時，視商、周七廟、九廟，其揆一也。九年十月，改建太廟，乃比漢人同堂異室之制。時享歲祫，則設累朝衣冠於神座而祀之。於是始以功臣配享矣，恐非古先聖王尊尊親親之道也。《周禮‧大宗伯》：『兆日於東郊，兆月於西郊。』我聖祖亦有朝日、夕月之禮，有其舉之，莫敢廢也。且今之大祀殿，正倣古明堂之制。宜法聖祖初制，兆圜丘於南郊以祀天，兆方丘於北郊以祀地。尊聖祖配享，以法周人尊后稷之意。而又宗祀太祖、太宗於大祀殿，以法周人宗祀文王於明堂之禮；兆大明於東郊，兆夜明於西郊，以法周人朝日、夕月之禮。增太廟大禘之祭，正太祖南向之位，移功臣於兩廡。庶尊尊有殺，親親有等，而古典復。」
HCH_013_051_000016	疏入，下禮臣議，贊善蔡昻，修撰倫以訓、姚淶，祭酒許詔，學士張潮，編修歐陽德，給事中陳侃、趙廷瑞，御史陳講、譚纘皆以合祀為宜，而淶言猶切。
HCH_013_051_000017	夏言復疏，申明祀享之議，曰：「周人以后稷配天於郊，以文王配帝於明堂。欲尊文王而不敢以配天者，避稷也。今宜奉太祖配天於圜丘，所以尊太祖；奉太宗配上帝於大祀殿，所以尊太宗。」
HCH_013_051_000018	於是復會羣臣集議。
HCH_013_051_000019	右都御史汪鋐、編修程文德、給事中孫應奎、御史李循義等八十二人皆主分祀。
HCH_013_051_000020	大學士張璁、董玘、聞淵等八十四人亦主分祀，而謂成憲不可輕改，時詘不可更作。
HCH_013_051_000021	尚書李瓚、編修王教、給事中魏良弼、御史傅炯、行人秦鼇、柯喬等二十六人亦主分祀，而欲以山川壇為方丘。
HCH_013_051_000022	尚書方獻夫、李承勳，詹事霍韜、魏校，編修徐階，郎中李默、王道二百六人皆主合祀，而不以分祀為非。
HCH_013_051_000023	英國公張崙等一百九十八人無所可否。
HCH_013_051_000024	帝命再議。
HCH_013_051_000025	於是張璁雜引《五經》及諸史言郊祀者，條析合祀之非，明分祀之是，名曰《郊祀考議》，上之。
HCH_013_051_000026	又疏言：「太祖、太宗分配未當。」
HCH_013_051_000027	帝然其郊議疏言，不報。
HCH_013_051_000028	尚書方獻夫、詹事霍韜亦上言，前主合祀非是。
HCH_013_051_000029	帝不問，尋復韜職。
HCH_013_051_000030	五月，初建四郊，羣臣議上，帝曰：「分祀良是。」
HCH_013_051_000031	乃命建圜丘於南郊，其北為皇穹宇；建方丘於北郊，其南為皇祇室；作朝日壇於東郊；夕月壇於西郊。
HCH_013_051_000032	秋七月，罷姚廣孝配享太廟，移祀於大興隆寺，從禮部尚書李時之請也。
HCH_013_051_000033	罷列代帝王南郊從祀及南京廟祭，命立帝王廟於京師。
HCH_013_051_000034	初立文華殿聖師之祭，奉皇帝伏羲氏、神農氏、軒轅氏、帝師陶唐氏、有虞氏、王師夏禹王、商湯王、周文王、武王南向，左先聖周公，右先師孔子，東西向。
HCH_013_051_000035	凡歲，春秋開講先期一日，皇帝皮弁服，拜跪行奠禮。
HCH_013_051_000036	冬十月，正孔子祀典，易木主及釐正從祀諸賢。
HCH_013_051_000037	洪武初，司業宋濂上《孔子廟堂議》，略曰：「世之言禮者，皆出於孔子。不以禮祀孔子，褻祀也。古者，主人西向，几筵在西也。漢章帝幸魯祠孔子，帝西向再拜。《開元禮》：『先聖東向，先師南向，三獻官西向。』猶古意也。今襲開元二十七年之制，遷神南面，非神道尚右之意矣。古者，木主棲神，天子、諸侯廟皆有主。大夫束帛，士結茅為菆，無像設之事。今因開元八年之制，摶土而肖像焉，失神而明之之義矣。古者，灌鬯焫蕭，求神於陰陽也。今用熏薌代之，非簡乎？古者，郊廟祭饗，皆設庭燎，示嚴敬也。今以秉炬當之，非瀆乎？古之道，有德者使教焉，死則以為樂祖，祭於瞽宗，謂之先師。若漢，《禮》有高堂生，《樂》有制氏，《詩》有毛氏，《書》有伏生也。凡始立學者，必釋奠於先聖、先師，非其師弗學，非其學弗祭。《開元禮》：『國學祀先聖孔子，以顏子等七十二賢配。』諸州惟配顏子。今以荀況之言性惡，揚雄之事王莽，王弼之宗老、莊，賈達之忽細行，杜預之建短喪，馬融之附世家，亦廁其中，吾不知其何說也。古者，立學以明倫，子雖齊聖，不先父食。今回、參、伋坐饗堂上，而其父列食於廡間，吾不知其何說也。古者，士見師以菜為贄，故始入學者必釋菜，以禮其先師，其學官時祭，
HCH_013_051_000038	皆釋奠。
HCH_013_051_000039	今專用春、秋，非矣。
HCH_013_051_000040	釋奠有樂無聲，釋菜無樂，是二釋之輕重，以樂之有無也。
HCH_013_051_000041	今襲用漢、魏律，所制大成樂，乃先儒所謂亂世之音，可乎？
HCH_013_051_000042	古者，釋奠、釋菜，名義雖存，而儀注皆不可考。
HCH_013_051_000043	《開元禮》彷彿《儀禮‧饋食篇》節文為詳，所謂三獻，獻後各飲福，即尸酢主人、主婦及賓之義也。
HCH_013_051_000044	今憚其煩，惟初獻得行之，可乎？
HCH_013_051_000045	他如廟制之非宜，冕服之無章，器用雜乎雅俗，升降昧乎左右，更僕不可盡。
HCH_013_051_000046	昔者，建安熊氏欲以伏羲為道統之宗，神農、黃帝、堯、舜、禹、湯、文、武次而列焉。
HCH_013_051_000047	皋陶、伊尹、太公、周公暨稷、契、夷、益、傅說、箕子皆天子公卿之師，式宜秩祀天子之學。
HCH_013_051_000048	若孔子，實兼祖述憲章之任，其為通祀，則自天子下達。
HCH_013_051_000049	苟如其言，則道統益尊，三皇不淪於醫師，太公不辱於武夫矣。
