HCH_013_063_000000	神宗萬曆二十年二月，寧夏哱拜亂。
HCH_013_063_000001	拜，故韃靼種也。
HCH_013_063_000002	嘉靖中，拜得罪其酋長，父兄皆見殺。
HCH_013_063_000003	拜伏水草中得免，來投守備鄭印，隸麾下，驍勇屢立戰功，歷陞都指揮。
HCH_013_063_000004	拜妻施氏孕將產，拜夢空中大響，天裂出火燄，一妖物如虎，入施脇下不見，拜急手劍之。
HCH_013_063_000005	驚覺，遂產子，狼貌梟蹄，名曰承恩。
HCH_013_063_000006	萬曆十七年，拜加副總兵致仕，子承恩襲。
HCH_013_063_000007	十九年，洮河告警，上遣科臣巡九邊。
HCH_013_063_000008	尚寶丞周弘禴以御史往寧夏，舉承恩及指揮土文秀，併拜義子哱雲等。
HCH_013_063_000009	拜雖請老，居恆多畜蒼頭軍，聲稱報國。
HCH_013_063_000010	會經略鄭洛檄夏鎮調發，巡撫党馨奉檄遣文秀率千騎西援，拜驚曰：「文秀雖經戰陣，恐不能獨將。」
HCH_013_063_000011	乃詣洛轅門，願以所部三千人與子承恩從征。
HCH_013_063_000012	洛壯而許之。
HCH_013_063_000013	馨惡其自薦，馬羸者不與易，有餘馬亦不給拜，拜怏怏去。
HCH_013_063_000014	至金城，見諸鎮兵皆出其下，賊平馳還，取徑塞外，戎騎辟易不敢逼，遂有輕中外心，恣睢驕橫。
HCH_013_063_000015	党馨每裁抑之，且欲覈拜冒糧罪。
HCH_013_063_000016	而承恩以強娶民女為妾，箠之二十。
HCH_013_063_000017	哱雲、文秀又以陞授事怨馨。
HCH_013_063_000018	會鎮戍請冬衣布、花月糧，久勿給。
HCH_013_063_000019	坐營江廷輔請給前銀，以安眾心。
HCH_013_063_000020	馨曰：「此有挾而求，漸不可長，彼不畏族乎？」
HCH_013_063_000021	軍鋒劉東暘拔撫署前鹿角，作忿狀。
HCH_013_063_000022	拜嗾之曰：「若等任為之！」
HCH_013_063_000023	遂羣哄不可制。
HCH_013_063_000024	東暘者，靖虜衞人，素梟桀有異志。
HCH_013_063_000025	於是糾黨晨入帥府白事，總兵張維忠素鮮威望，為眾所輕，見眾驚懾，不能彈壓。
HCH_013_063_000026	眾露刃執副使石繼芳，擁入軍門。
HCH_013_063_000027	党馨急匿水洞，索得，劫至書院，同繼芳僇之。
HCH_013_063_000028	時二月十八日事也。
HCH_013_063_000029	遂縱火焚公署，收符印，釋囚，掠城中，劫張維忠以侵糧激變報。
HCH_013_063_000030	時河東僉事隨府、通政穆來輔適抵鎮，賊并劫之，請招安以緩師。
HCH_013_063_000031	二十日，總督尚書魏學曾行部花馬池聞變，遣標下張雲、郜寵諭降。
HCH_013_063_000032	二十三日，哱雲、土文秀統兵五百，自中衞互市歸，合叛卒殺遊擊梁琦、守備馬承光。
HCH_013_063_000033	二十五日，索敕印，維忠與之，自縊死。
HCH_013_063_000034	東暘遂自稱總兵，聽拜主謀，據城刑牲而盟。
HCH_013_063_000035	授承恩、許朝左右副總兵，土文秀、哱雲左右參將，挾慶王代請貰罪。
HCH_013_063_000036	承恩乃勒兵分遣王虎、何安等據城堡。
HCH_013_063_000037	會張雲等至，東暘曰：「必欲我降，依我所自署，授官世守寧夏。不者，與套騎馳潼關也。」
HCH_013_063_000038	承恩徇玉泉營，遊擊傅垣拒守。
HCH_013_063_000039	千戶陳繼武執垣降。
HCH_013_063_000040	徇中衞，徇廣武，參將熊國臣棄城匿。
HCH_013_063_000041	河西望風而靡。
HCH_013_063_000042	惟土文秀徇平虜，參將蕭如薰堅守不下。
HCH_013_063_000043	如薰妻楊氏，總督尚書兆之女也，謂如薰曰：「若為忠臣，妾何難為忠婦。」
HCH_013_063_000044	盡出簪珥勞軍士妻，帥之守城。
HCH_013_063_000045	賊攻圍數月，竟不能克。
HCH_013_063_000046	賊又率兵過河，欲取靈州，齎金帛誘套部著力兔等，許以花馬池一帶聽其駐牧，勢大猖獗，全陝震動。
HCH_013_063_000047	三月四日，副總兵李昫奉總督魏學曾檄，攝總兵進勦。
HCH_013_063_000048	統遊擊吳顯趨靈州，別遣遊擊趙武趨鳴沙州。
HCH_013_063_000049	張奇兵沿河扼賊南渡，轉戰獲賊于正等八人，舟十八艘，賊鋒少挫。
HCH_013_063_000050	總督駐下馬關徵調。
HCH_013_063_000051	時靈州裨將吳世顯黨逆，約是月九日與賊應。
HCH_013_063_000052	參將來保誓死守。
HCH_013_063_000053	賊齎書詐門，拒卻之。
HCH_013_063_000054	昫聞急，與吳顯兼程馳赴，逆謀始折。
HCH_013_063_000055	翼日，調延綏、蘭靖兵稍集，昫乃分遣渡河，收復營堡。
HCH_013_063_000056	廣武偽遊擊張天紀、大壩偽守備高天爵俱遁。
HCH_013_063_000057	十五日，復棗園堡。
HCH_013_063_000058	靖虜參將吳繼祖擣中衞，擒賊黨王虎石。
HCH_013_063_000059	空寺堡亦下，獲偽守備何安。
HCH_013_063_000060	二十日，套部千騎薄邵剛堡，千總汪汝漢發三矢殺三人，乃解去。
HCH_013_063_000061	進復玉泉營。
HCH_013_063_000062	凡先後收還營、堡四十七。
HCH_013_063_000063	河西唯鎮城為賊據。
HCH_013_063_000064	後三日，總督移師小鹽池。
HCH_013_063_000065	拜聞套部且至，屬土文秀、許朝分馳迎之。
HCH_013_063_000066	二十五日，著力兔、打正等引控弦三千騎，馳金貴堡。
HCH_013_063_000067	二十七日，移鎮河堡入屯演武場。
HCH_013_063_000068	賊益掠城中子女媚之，奉河東西地圖。
HCH_013_063_000069	套人聲言已與哱王子為一家，拜、文秀並易服，合兵攻玉泉急。
HCH_013_063_000070	二十九日，哱雲引著力兔攻平虜堡，參將蕭如薰伏兵南關，佯敗，誘之入伏，射雲死，併傷驍賊吳敖霸。
HCH_013_063_000071	套部遁出塞，因掠糧道，聲犯花馬池諸處。
HCH_013_063_000072	趙武駐玉泉被困急，李昫馳赴之，圍亦解。
HCH_013_063_000073	昫會原任總兵牛秉忠督六路兵，翼日抵鎮城下。
HCH_013_063_000074	時總兵已擢董一奎，李蕡副之。
HCH_013_063_000075	官兵抵城下，賊東北二門各出精騎二千搏戰，步卒列火車為營。
HCH_013_063_000076	四月五日，我師衝鋒，奪火車百餘輛，追奔入河，溺死賊無算。
HCH_013_063_000077	延綏副總兵王通戰尤力，其家丁高益等三人，乘勝先登，殺入北門，招榆林諸帥兵為後繼，不至，被殺，通亦傷額，榆林遊擊俞尚德戰死。
HCH_013_063_000078	翼日，許朝、土文秀脅慶王至東城上樓，乞暫罷兵，願縛首惡獻。
HCH_013_063_000079	劉川、白金等謾語支吾，顧投誥敕城下，示無所畏。
HCH_013_063_000080	拜妻施氏，時諫不聽，又翟珮而立，謂拜曰：「此何來，悖德不祥，奈何自取奇禍！」
HCH_013_063_000081	承恩推跌去之。
HCH_013_063_000082	登南城，遙謂都司李鯤曰：「吾父出萬死，為國捍邊，蒙恩至上將。撫臣朘削激變，自取滅亡。吾父子勒部曲待命，當事不察，反以為罪。今首惡具在，乃不罪倡亂，罪戢亂者。吾寧保此完城，結塞北自全耳。」
HCH_013_063_000083	會官軍糗糧乏，遂假此休士近堡。
HCH_013_063_000084	總督日夜促芻餉，調延綏、莊浪兵。
HCH_013_063_000085	乃以二十一日進攻，復抵城下，塹濠豎雲梯夾攻。
HCH_013_063_000086	賊迎敵多殺傷，承恩與東暘勒精騎潛伏，從延渠掠我糧餉二百餘車。
HCH_013_063_000087	先是，眾議以李蕡非衝邊才，乃調麻貴自戍所代之。
HCH_013_063_000088	貴素以勇聞，且多蒼頭軍。
HCH_013_063_000089	至是，軍亦至。
HCH_013_063_000090	二十九日夜，貴等乘風縱火，復以雲梯攻城。
HCH_013_063_000091	賊豫治滾木礧石待，擲火燃燒我兵千數。
HCH_013_063_000092	賊日恣淫虐，城中婦女寶貨，已經搜括，尚根索不已，死者甚眾。
HCH_013_063_000093	至迫脇慶府甚急，妃方氏懼辱，拔劍將自刎，保母抱持，并世子匿土窖中，以被服置井上環哭。
HCH_013_063_000094	賊見，信為溺，盡取金帛及他宮人去。
HCH_013_063_000095	比發窖，妃已死矣。
HCH_013_063_000096	總督凡用兵兩月無成功，憂之。
HCH_013_063_000097	或謂：「招劉、許，陰授意殺哱拜父子，立功贖罪，無不應者。」
HCH_013_063_000098	督府然其謀，遣家丁葉得新往見。
HCH_013_063_000099	時四人方約共死生，不可間，暴其謀，執得新，折脛下獄。
HCH_013_063_000100	命李如松總寧夏兵，浙江道御史梅國楨監其軍。
HCH_013_063_000101	時言者謂李氏握重兵，不宜拒虎進狼，而國楨力保如松忠勇可任，故有是命。
HCH_013_063_000102	巡撫寧夏已推朱正色，甘肅都御史葉夢熊上書願討賊，詔協力赴之。
HCH_013_063_000103	五月，巡撫朱正色渡河督戰，以上命頒將士賞，一軍踴躍，賊聞，詭請降。
HCH_013_063_000104	以張傑嘗總寧夏兵，與拜交善，追入城招安。
HCH_013_063_000105	傑單騎往切責之，許朝乃述葉得新用間謀殺語。
HCH_013_063_000106	傑未信，即舁至，使吐實。
HCH_013_063_000107	得新大罵曰：「死狗賊，計不得行，命也。天旦夕磔汝，何喋喋為！」
HCH_013_063_000108	朝怒，攢刀殺之，傑亦被繫。
HCH_013_063_000109	時頓兵數月，未能即下，乃重懸賞格，購哱拜等。
HCH_013_063_000110	上特賜總督魏學曾劍，違者立斬。
HCH_013_063_000111	六月，都御史葉夢熊至靈州，從甘州攜神礮火器四百車至，更約法，益徵苗兵。
HCH_013_063_000112	會浙江巡撫常居敬募浙江千人，糗糧自辦，詔嘉其忠，調赴寧夏。
HCH_013_063_000113	於是分為五軍：董一奎攻其南，牛秉忠攻其東，李昫攻其西，劉承嗣攻其北，而麻貴率遊兵策應。
HCH_013_063_000114	二十日，並逼城下。
HCH_013_063_000115	哱拜自北門出戰，意欲自往勾套部。
HCH_013_063_000116	麻貴率參將馬孔英先登赴敵，逐拜入城，擒斬百十七人。
HCH_013_063_000117	先是，拜與套部深相結，日夜從著力兔帳中，便調度。
HCH_013_063_000118	至是，入城不得出，套部不得拜，亦不敢復渡河深入。
HCH_013_063_000119	二十二日，御史梅國楨、提督李如松統遼東、宣、大、山西兵麕集，軍聲大振。
HCH_013_063_000120	賊嬰城自守，國楨樹受降旗於城南，賊因索面陳歸順，許之。
HCH_013_063_000121	東暘、許朝等梯城而下，劍戟鱗次，刃芒曜目，城上皆控弦注矢以待。
HCH_013_063_000122	國楨策騎直前，朝大驚，不覺膝之屈也。
HCH_013_063_000123	然賊實紿我，無降意，自此盡力攻城矣。
HCH_013_063_000124	二十五日，官兵用布袋三萬，盛土填集登城，為礮石擊卻。
HCH_013_063_000125	都司李如樟，夜半以雲梯上南城。
HCH_013_063_000126	翼日，遊擊龔子敬提苗兵攻南關，如松乘勢欲擁入城，皆為礮箭擊卻。
HCH_013_063_000127	官兵會食，賊即縋下奪梯牌，益縱火焚攻具。
HCH_013_063_000128	是夜，指揮趙承光、葛臣、戚欽，武生張遐齡，百戶姚欽約為內間。
HCH_013_063_000129	夜半，四面並舉烽火，城下兵趨上。
HCH_013_063_000130	而譙樓火蚤發，南火弗起。
HCH_013_063_000131	城中果鼓譟，大呼殺賊。
HCH_013_063_000132	欽使遐齡縋城召外兵，行未中道，欽復亟跳城下呼救。
HCH_013_063_000133	而賊早覺，已盡縛趙承光、戚欽等殲之。
HCH_013_063_000134	許朝因欲開小南門逸，以外兵整不敢出。
HCH_013_063_000135	自是城中糧且盡，銳氣益喪矣。
HCH_013_063_000136	七月，給事中許子偉劾總督尚書魏學曾惑於招撫，罷秩。
