HCH_013_065_000000	神宗萬曆二年二月，太監張誠等求領真定木稅，工部執論不許。
HCH_013_065_000001	七年七月，給事中顧九思、王道成請撤浙、直織造內臣，上以示大學士張居正。
HCH_013_065_000002	居正曰：「地方多一事，則有一事之擾；寬一分，則受一分之惠。災地疲民，不堪催督，撤之便。」
HCH_013_065_000003	上從之。
HCH_013_065_000004	十一月，命浙、直織造添織七萬三千。
HCH_013_065_000005	張居正言：「添織之費，不下四、五十萬金，在庫藏則竭，在小民則疲。浙、直水災，蒙恩蠲濟，方撤織監，又復加派，非聖意所以愛養元元也。」
HCH_013_065_000006	上命減其半。
HCH_013_065_000007	八年九月，太監王效稱缺歲額銀硃等料。
HCH_013_065_000008	戶部尚書張學奏：「登極一詔，盡損不急之務，宜量停罷。」
HCH_013_065_000009	上從之。
HCH_013_065_000010	十年四月，順天府尹張國彥請豁房稅。
HCH_013_065_000011	不報。
HCH_013_065_000012	十一年正月，戶部請停買金、珠。
HCH_013_065_000013	不報。
HCH_013_065_000014	十二年六月，四川巡撫雒遵奏採木之害。
HCH_013_065_000015	八月，房山人史錦請開礦，命下撫、按。
HCH_013_065_000016	十四年四月，南京工部尚書陰武卿乞減免織造，燒造瓷器，停解花梨、杉、枏。
HCH_013_065_000017	不聽。
HCH_013_065_000018	九月，戶部侍郎張國彥言：「蘇、杭之織造，江西之瓷器，公主之廣求珠寶，得無與漢文百金之費相類乎？」
HCH_013_065_000019	不聽。
HCH_013_065_000020	十六年十一月，遣內臣禱祠五臺山還，奏言：「紫荊關外廣昌、靈邑，可定礦砂作銀冶，奸民張守清擅其利。」
HCH_013_065_000021	一日，上視朝畢，召大學士申時行等於皇極殿，語及之。
HCH_013_065_000022	時行等請勅部行撫、按，查問禁戢。
HCH_013_065_000023	上是之，命逮守清伏法，閉塞礦洞。
HCH_013_065_000024	十八年九月，易州民周言請開礦，玉田、豐潤民復以請，部未報。
HCH_013_065_000025	上遣文書官至閣速之，輔臣因言開礦之害。
HCH_013_065_000026	御史邵以仁亦力言其不可。
HCH_013_065_000027	二十四年六月，府軍前衞副千戶仲春請開礦助大工。
HCH_013_065_000028	從之。
HCH_013_065_000029	命戶部、錦衣衞各一，同仲春開採。
HCH_013_065_000030	給事中程紹工、楊應文言：「嘉靖二十五年七月，命採礦，自十月至三十六年，委官四十餘，防兵千一百八十人，約費三萬餘金，得礦銀二萬八千五百，得不償失。」
HCH_013_065_000031	不聽。
HCH_013_065_000032	七月，錦衣衞百戶陸松、鴻臚寺隨堂官許龍、順天府教授馮時行、經歷趙鳳等，各言開礦助大工。
HCH_013_065_000033	從之。
HCH_013_065_000034	戶部尚書楊俊民言：「真、保、薊、易、永平開礦，恐妨天壽山龍脈。」
HCH_013_065_000035	上謂距陵遠，且皇祖嘗開之，不聽。
