HCH_013_066_000000	神宗萬曆二十一年二月，京察竣。
HCH_013_066_000001	三月己未，刑科給事中劉道隆論吏部稽勳司員外郎虞淳熙、兵部職方郎中楊于庭，臺省交謫。
HCH_013_066_000002	而吏部曲為解，僅議一職方主事袁黃非體。
HCH_013_066_000003	上責吏部回奏，尚書孫鑨言：「淳熙臣鄉人，安貧好學，非有先容之助。于庭任西事有功，尚書石星亦言之，臣不忍以功為罪。且既命議覆，自有異同。惟各原其心，求歸於當。若知其無罪，以科、道之言而去之，昧心欺君，臣不能為。」
HCH_013_066_000004	上以不引罪，奪俸三月，考功郎中趙南星鐫三秩調外，淳熙等並罷。
HCH_013_066_000005	劉道隆以不指名，亦奪俸。
HCH_013_066_000006	鑨乞休，不許。
HCH_013_066_000007	鑨復奏曰：「人臣之罪，莫大於專權，國家之禍，莫烈於朋黨。夫權者，人主之操柄，人臣所司謂之職掌。吏部以用人為職，進退去留屬焉，然必請旨而後行，則權固有在，不可得專也。今以留二庶僚為專權，則無往非專矣。以留二京職為結黨，則無往非黨矣。臣任使不效，徒潔身而去，俾專權結黨之說終不明於世，將來者且以臣為口實，又大罪也。」
HCH_013_066_000008	因請乞骸骨歸。
HCH_013_066_000009	先是，內計去留，先白閣臣。
HCH_013_066_000010	鑨及南星力矯之，王錫爵不悅。
HCH_013_066_000011	鑨既被譴，都察院左僉都御史王汝訓，通政使魏允貞，大理寺少卿曾乾亨，禮部郎中于孔兼，員外郎陳泰來，主事顧允成、張納陛、賈巖，國子助教薛敷教俱論救。
HCH_013_066_000012	禮部郎中何喬遠、主事洪啓睿復合疏言之。
HCH_013_066_000013	孔兼、允成、敷教俱謫外。
HCH_013_066_000014	甲子，禮部員外郎陳泰來疏曰：「臣通籍十七年，四歷京察。部權自高拱、張居正以來，尚書惟張瀚、嚴清，選郎惟孫鑨、陳有年頗能自立，餘則唯唯呐呐，濫觴於楊巍，而埽地於劉希孟、謝廷寀。今復借拾遺熒惑聖怒，即去時之故智，將來必挈權以阿閣臣，而後為不專權；必植黨以附閣臣，而後為不結黨。」
HCH_013_066_000015	上怒，降泰來。
HCH_013_066_000016	癸未，左都御史李世達請宥泰來等。
HCH_013_066_000017	不聽。
HCH_013_066_000018	南星、淳熙、于庭、黃各削籍。
HCH_013_066_000019	四月辛丑，吏部尚書孫鑨罷。
HCH_013_066_000020	九月，吏部右侍郎趙用賢罷。
HCH_013_066_000021	先是，用賢為檢討，生女三月，中書舍人吳之佳約以幣。
HCH_013_066_000022	及用賢諫張居正奪情削籍，之佳為御史，過吳門，用賢往餞，不為禮，因反幣，終字女蔣氏。
HCH_013_066_000023	之佳子鎮亦他娶，不相及也。
HCH_013_066_000024	用賢負氣節，素不為王錫爵所善。
HCH_013_066_000025	鎮訟之，罷用賢，之佳亦降。
HCH_013_066_000026	戶部郎中楊應宿議趙用賢絕婚非是。
HCH_013_066_000027	行人高攀龍申救，得罪諸臣，語侵閣臣，指應宿為諂諛，應宿遂訐攀龍，并及吏部文選郎劉四科、趙南星、顧憲成等。
HCH_013_066_000028	錫爵封應宿疏上。
HCH_013_066_000029	閏十一月甲午，行人高攀龍上言：「大臣則孫鑨、李世達、趙用賢去，小臣則趙南星、陳泰來、顧允成、薛敷教、張納陛、于孔兼、賈巖斥。近李楨、曾乾亨復乞歸，選司孟孔鯉又削籍矣。中外不曰輔臣不附己，則曰近侍不利用正人。果謂出於聖怒，則諸臣自化鯉而外，未見忤旨，何以皆至罷斥也？皇上有去邪之果斷，而左右反得行其媢嫉之私，皇上有容言之盛心，而臣下反遺以拒諫之誚，為聖德累不小。」
HCH_013_066_000030	丙申，都察院左都御史孫丕揚覈「楊應宿激而嫚駡，高攀龍疎而易言」。
HCH_013_066_000031	命降應宿湖廣按察司經歷，攀龍揭陽縣典史。
HCH_013_066_000032	仍諭建言諸臣：「時事艱難，不求理財、足兵、實政，乃誣造是非。部院公論所出，今後務持平覈實。」
HCH_013_066_000033	二十二年五月丁亥，吏部推閣臣王家屏、沈鯉、陳有年、沈一貫，左都御史孫丕揚，吏部右侍郎鄧以讚，少詹事馮琦。
HCH_013_066_000034	不允。
HCH_013_066_000035	初，閣臣王家屏以諫冊儲罷歸。
HCH_013_066_000036	至是，上諭有「不拘資品，堪任閣臣」語，吏部遂以家屏等名上。
HCH_013_066_000037	上覽不懌，下旨詰責，以宰相奉特簡，不得專擅。
HCH_013_066_000038	吏部尚書陳有年爭之，以為冢宰總憲廷推，自有故事，王家屏為相有名，若宰相不廷推，將來恐開捷徑，因乞骸骨。
HCH_013_066_000039	上命馳驛還籍，以孫丕揚代之。
HCH_013_066_000040	辛卯，以沈一貫、陳于陛為禮部尚書兼東閣大學士，直文淵閣。
HCH_013_066_000041	調文選郎中顧憲成。
HCH_013_066_000042	給事中盧明陬、逯中立先後疏救，上益怒。
HCH_013_066_000043	憲成削籍，謫明陬、中立按察司知事。
HCH_013_066_000044	甲午，禮部郎中何喬遠奏救憲成，謫廣西布政司經歷。
HCH_013_066_000045	先是，國本論起，言者皆以「早建元良」為請。
HCH_013_066_000046	政府惟王家屏與言者合，力請不允，放歸。
HCH_013_066_000047	申時行、王錫爵皆婉轉調護，而心亦以言者為多事。
HCH_013_066_000048	錫爵嘗語憲成曰：「當今所最怪者，廟堂之是非，天下必欲反之。」
HCH_013_066_000049	憲成曰：「吾見天下之是非，廟堂必欲反之耳！」
HCH_013_066_000050	遂不合。
HCH_013_066_000051	然時行性寬平，所斥必旋加拔擢。
HCH_013_066_000052	一貫既入相，以才自許，不為人下。
HCH_013_066_000053	憲成既謫歸，講學於東林，故楊時書院也。
HCH_013_066_000054	孫丕揚、鄒元標、趙南星之流，蹇諤自負，與政府每相持。
HCH_013_066_000055	附一貫者，科、道亦有人。
HCH_013_066_000056	而憲成講學，天下趨之。
HCH_013_066_000057	一貫持權求勝，受黜者身去而名益高。
HCH_013_066_000058	此東林、浙黨所自始也。
HCH_013_066_000059	其後更相傾軋，垂五十年。
HCH_013_066_000060	二十三年秋七月己卯，巡按直隸御史趙文炳劾吏部文選郎中蔣時馨倖進鬻爵。
HCH_013_066_000061	下廷議，尚書孫丕揚代時馨辨。
HCH_013_066_000062	丙戌，時馨削籍。
HCH_013_066_000063	時馨貪黷，初知新喻，調嘉魚，遷南京大理寺評事。
HCH_013_066_000064	故為敝衣冠，從鄒元標講學，歷考功、文選二司。
HCH_013_066_000065	及被劾，請廷質。
HCH_013_066_000066	且曰：「戎政、兵部左侍郎沈思孝庇浙江海道丁此呂，避察不得，又求少宰不得，遂同諭德劉應秋、大理右少卿江柬之等，詆李三才授趙文炳冀陷太宰而代之。」
HCH_013_066_000067	上怒其瀆辨。
HCH_013_066_000068	甲午，逮故浙江海道副使丁此呂。
HCH_013_066_000069	蔣時馨既斥，孫丕揚謂釁由此呂，沈思孝以此呂建言不宜察。
HCH_013_066_000070	丕揚遂上此呂訪單，貪婪贓跡，雖建言無倖脫理。
HCH_013_066_000071	命逮下獄。
HCH_013_066_000072	對簿之日承服，硃砂牀具等纍纍。
HCH_013_066_000073	丕揚遂與思孝交惡矣。
HCH_013_066_000074	八月，沈思孝言：「孫丕揚庇屬負國。」
HCH_013_066_000075	丕揚乞休，不允。
HCH_013_066_000076	十一月丁丑，工部員外郎岳元聲言：「言官攻言官，大臣攻大臣，不若俱罷之。」
HCH_013_066_000077	二十四年八月癸亥，大學士張位乞罷，不許。
HCH_013_066_000078	時吏部尚書孫丕揚乞休，疏二十上。
HCH_013_066_000079	言：「權官坐謀，鷹犬效力，義難再留。」
HCH_013_066_000080	以位黨丁此呂、沈思孝也。
HCH_013_066_000081	上責丕揚無大臣體，宜協恭毋相牴牾。
HCH_013_066_000082	閏八月，吏部尚書孫丕揚、右都御史兼兵部侍郎沈思孝罷。
HCH_013_066_000083	二十七年五月丁巳，以光祿寺卿李三才為都察院右僉都御史，巡撫鳳陽。
HCH_013_066_000084	二十九年九月戊午，禮部尚書兼翰林院學士沈鯉、朱賡兼東閣大學士，值文淵閣。
HCH_013_066_000085	時廷推九人，上已點朱國祚、馮琦，而沈一貫密揭二臣年未及艾，曷少需之，先爰立老成者。
HCH_013_066_000086	賡得入。
HCH_013_066_000087	鯉先任禮部，與申時行左，請告，上不許。
HCH_013_066_000088	吏科都給事中陳與郊因疏劾鯉，鯉求去益力。
HCH_013_066_000089	上私語曰：「沈尚書不曉我意。」
HCH_013_066_000090	遂有是命。
HCH_013_066_000091	三十一年夏四月，楚王華奎與宗人華趆等相訐，章下禮部。
HCH_013_066_000092	初，楚恭王隆慶初，廢疾薨，遺腹宮人胡氏㝈生子華奎、華璧。
HCH_013_066_000093	或云：內官郭綸，以族人如綍奴產子壽兒，及弟如言妾子尤金梅所出，並入宮，長為華奎，次華璧。
HCH_013_066_000094	儀賓汪若泉嘗訐奏，事下撫、按。
HCH_013_066_000095	王妃堅持之，乃寢。
HCH_013_066_000096	華奎既嗣楚，華璧封宣化王。
HCH_013_066_000097	華趆素強禦，忤王。
HCH_013_066_000098	趆妻又如言女，知其詳。
HCH_013_066_000099	趆遂盟宗人二十九人入奏：「楚先王風痹，不能御內，乃令宮婢胡氏詐為身。臨蓐時，抱妃兄王如言子為華奎，又抱妃族王如綍舍人王玉子為華璧，皆出於妻恭人王氏口。王氏，如言女，故知之。二孼皆不宜冒爵。」
HCH_013_066_000100	章入，通政司沈子木持未上。
HCH_013_066_000101	六月，楚王劾宗人疏亦至。
HCH_013_066_000102	事下部。
HCH_013_066_000103	禮部右侍郎郭正域曰：「王奏華趆事易竟。華趆奏王非恭王子，亂皇家世系，事難竟。楚王襲封二十年，何至今始發？而又發於女子骨肉之間？王論華趆一人，而二十九人同攻王。果有真見，出真情否？王假，則華趆當別論；王真，則華趆罪不勝誅。」
HCH_013_066_000104	沈一貫以親王不當勘，但當體訪。
HCH_013_066_000105	正域曰：「正域江夏人，一有偏徇，禍且不測。非勘則楚王跡不白，各宗罪不定。王跡勘，各宗罪，不勘，人於何服！」
HCH_013_066_000106	時正域右宗人，而輔臣沈鯉又右正域。
HCH_013_066_000107	戶部尚書趙世卿、倉場尚書謝杰、祭酒黃汝良皆謂王非假。
HCH_013_066_000108	一時閣、部互相齟齬。
HCH_013_066_000109	給事中姚文蔚劾郭正域故王護衞中人，修怨謀陷王。
HCH_013_066_000110	都察院右都御史溫純劾御史于永清、給事姚文蔚，刺及沈一貫。
HCH_013_066_000111	九月己巳，刑科都給事中楊應文、給事中錢夢臯各劾郭正域，夢臯并及次輔沈鯉。
HCH_013_066_000112	俱不報。
HCH_013_066_000113	上卒以王為真，而正域罷去。
HCH_013_066_000114	尋楚府東安王英燧、武岡王華增、江夏王華煊等，請復勘假王，不聽。
HCH_013_066_000115	時票楚事皆朱賡，二沈引嫌不出。
HCH_013_066_000116	十一月，妖書事起，沈一貫疑郭正域為之。
HCH_013_066_000117	錢夢臯遂直指正域，且及輔臣沈鯉。
HCH_013_066_000118	陝西道御史康丕揚將例轉，內監賈忠貞語丕揚，乘妖書可免，丕揚遂起而佐之。
HCH_013_066_000119	後歸獄皦生光，得解。
HCH_013_066_000120	三十三年春正月，考察京官。
HCH_013_066_000121	時主察當屬吏部左侍郎楊時喬，輔臣沈一貫憚其方嚴，請以兵部尚書蕭大亨主筆。
HCH_013_066_000122	疏上，上以時喬廉直，竟屬之。
HCH_013_066_000123	時喬與都御史溫純力持公道，疏上，留中。
HCH_013_066_000124	三月辛巳，吏部趨計疏，中旨留被察給事中錢夢臯、御史錢一鯨等。
HCH_013_066_000125	復諭：「京察科、道，不稱職者甚衆，豈皆不肖？必有私意。朕不得無疑。」
HCH_013_066_000126	蓋以一貫私人被詰責也。
HCH_013_066_000127	時喬、純言：「察處科、道，萬曆二十一年科七人，道七人。二十七年，科五人，道九人。今議處科四人，道七人，皆參衆矢公。而聖諭嚴切，臣等無狀，宜罷。」
HCH_013_066_000128	上不問。
HCH_013_066_000129	南京總督糧儲尚書王基以拾遺自辨，上特留之。
HCH_013_066_000130	夏四月，刑科給事中錢夢臯復論楚事，請削前侍郎郭正域籍，并言左都御史溫純黨庇。
HCH_013_066_000131	工科給事中鍾兆斗例轉，亦誣奏純。
HCH_013_066_000132	純乞休。
HCH_013_066_000133	大理少卿徐宗濬、吏部都給事中侯慶遠、御史孔貞一等皆論夢臯違禁妄辨，吏部左侍郎楊時喬亦言之。
HCH_013_066_000134	俱不報。
HCH_013_066_000135	五月，候補職方郎中劉元珍劾「沈一貫徧置私人，蒙上箝下。錢夢臯妄奏求容，士林不齒」。
HCH_013_066_000136	一貫、夢臯皆疏辨。
HCH_013_066_000137	夢臯謂元珍為溫純鷹犬。
HCH_013_066_000138	降一級，調極邊。
HCH_013_066_000139	六月，吏部員外郎賀燦然言：「被察科、道，與溫純皆當去。」
HCH_013_066_000140	南京吏科給事中陳良訓，御史蕭如松、朱吾弼，各論王基、錢夢臯、鍾兆斗必不可留，沈一貫結近侍，陽施陰設。
HCH_013_066_000141	秋七月，兵部主事龐時雍直攻沈一貫欺罔誤國。
HCH_013_066_000142	於是太子太保都察院左都御史溫純致仕，錢夢臯、鍾兆斗各避疾，京察始得奏。
HCH_013_066_000143	尋謫賀燦然、龐時雍，奪朱吾弼俸，拾遺南京戶部尚書王基免。
HCH_013_066_000144	時有布衣在一貫坐，夢臯戲之曰：「昔之山人，山中之人。今之山人，山外之人。」
HCH_013_066_000145	布衣應聲曰：「昔之給事，給黃門事。今之給事，給相門事。」
HCH_013_066_000146	識者噱之。
HCH_013_066_000147	三十四年夏六月，吏科給事中陳良訓、御史孫居相劾沈一貫奸貪。
HCH_013_066_000148	大學士沈一貫、沈鯉並致仕。
HCH_013_066_000149	一貫連歲乞休，疏八十上，始允。
HCH_013_066_000150	鯉居位四載，嘗列天戒民窮十事，書之於牌，每入閣，則拜祝之。
HCH_013_066_000151	或讒鯉為詛呪，上命取觀之，曰：「此非詛呪語也。」
HCH_013_066_000152	妖書事起，危甚，賴上知其心，得無恙。
HCH_013_066_000153	及放歸，得旨不如一貫之優。
HCH_013_066_000154	各賜金幣，鯉半之。
HCH_013_066_000155	出都日，猶有讒其衣紅袍閱邊者，中官陳矩為解乃已。
HCH_013_066_000156	孫居相奪歲俸，陳良訓鐫三級調外。
HCH_013_066_000157	三十五年五月，以禮部左侍郎李廷機、南京禮部右侍郎葉向高為禮部尚書兼東閣大學士，直文淵閣。
HCH_013_066_000158	又諭朱賡召舊輔王錫爵。
