HCH_013_069_000000	熹宗天啓元年九月，四川永寧宣撫使奢崇明叛。
HCH_013_069_000001	奢氏，倮儸種也。
HCH_013_069_000002	洪武中歸附，命為宣撫司，世守其土。
HCH_013_069_000003	數傳至奢崇周，無子，奢崇明以族人得立。
HCH_013_069_000004	崇明性陰鷙，佯為恭順，凡有徵調，罔不應命，人漸狎之。
HCH_013_069_000005	子奢寅，有逆志，負韰倮招納亡命。
HCH_013_069_000006	時以邊事急，徵四方兵，崇明遂上疏請提兵三萬赴援，遣其將樊龍、樊虎以兵至重慶。
HCH_013_069_000007	四川巡撫徐可求點核，汰其老弱發餉，餉復弗繼，龍等遂鼓眾反。
HCH_013_069_000008	龍走馬舞槊，直刺可求，可求死，遂一擁而上，道臣孫好古、駱日升、李繼周，知府章文炳，同知王世科、熊嗣先，推官王三宅，知縣段高選，總兵黃守魁、王守忠，參將萬金、王登爵等皆死之。
HCH_013_069_000009	原任鞏昌同知董盡倫聞變，帥眾入城殺賊，遇伏死。
HCH_013_069_000010	募兵科臣明時舉、臺臣李達、通判王天運俱負傷踰牆遁。
HCH_013_069_000011	時土兵數千，列江岸，城內礮震，城外應之。
HCH_013_069_000012	賊遂據重慶，分兵一扼夔州水口，一踞綦江、遵義，一踞瀘州，一截川西棧道，全蜀震動。
HCH_013_069_000013	奢崇明陷遵義。
HCH_013_069_000014	時遵義道臣李仙品、參將萬金督兵援遼，俱赴重慶，城中守備空虛。
HCH_013_069_000015	奢崇明同其子寅帥眾奄至遵義，署府通判袁任先期委城遁。
HCH_013_069_000016	賊乘勢焚劫，納溪、瀘州、江安等城，興文、永川、長寧、榮昌、隆昌、壁山皆空。
HCH_013_069_000017	賊攻合州、江津，知州翁登彥、知縣周禮嘉悉力捍禦，破走之。
HCH_013_069_000018	陷興文，知縣張振德不屈，率妻子赴火死。
HCH_013_069_000019	石砫宣撫司掌印女官秦良玉勤王。
HCH_013_069_000020	秦氏世為宣撫司，良玉兄秦邦屏、邦翰援遼力戰死。
HCH_013_069_000021	弟秦民屏重傷突圍出，得歸。
HCH_013_069_000022	時藺賊厚遺秦氏求其助，良玉斬使留銀，率所部精兵萬餘，同弟民屏、姪秦翼明等捲甲疾趨，潛度重慶，營於南坪關，扼賊歸路。
HCH_013_069_000023	遣兵夜襲兩河，燒其船以阻賊，汎舟東下。
HCH_013_069_000024	自率大兵沿江而上，水陸並進。
HCH_013_069_000025	又留兵一千，多張旗幟，護守忠州等地方，以為犄角之勢。
HCH_013_069_000026	移文夔州，設兵防瞿塘，為上下聲援。
HCH_013_069_000027	十月，賊逼成都，時瀘、敍諸郡邑瓦解，椑木、龍泉諸隘口俱失，賊乘勢向成都，指揮冉世洪、雷安世、瞿英、周邦泰、張愷帥眾拒之。
HCH_013_069_000028	邦泰先至資陽，遇賊不戰，降。
HCH_013_069_000029	冉世洪等至九泉，賊駐兵山上，據高臨下，眾寡不敵，我兵陷陣，世洪、安世、英俱死之，張愷走免。
HCH_013_069_000030	賊兵進薄城下，懸旌僭號，四面夾攻。
HCH_013_069_000031	城內僅有鎮遠營七百人，調到松潘、茂州、龍安兵一千五百餘人。
HCH_013_069_000032	御史薛敷政、左布政使朱燮元登陴而守。
HCH_013_069_000033	初，燮元方以輯瑞就道，蜀王出國門，與百姓遮留之。
HCH_013_069_000034	燮元慷慨自誓，賊薄城，燮元使土司坤汝常乘賊，指揮常恭等火礮助之，賊稍卻，斬賊先鋒一人。
HCH_013_069_000035	次日，賊數千人，障革裹竹牌進，矢石不得近，燮元命架七星礮，火箭火甎衝擊之，殺數百人。
HCH_013_069_000036	至暮，賊擁鉤梯數千，攀城欲上，燮元戒士卒第放礮礌石，亡譁。
HCH_013_069_000037	遲明，賊積屍陵城下。
HCH_013_069_000038	時冬，濠水涸，賊帥降民，持篾束薪，載濠土壘如山，上架蓬蓽，形類行屋，以避銃石。
HCH_013_069_000039	伏弩仰射，城中垂簾蔽矢石。
HCH_013_069_000040	燮元夜縋壯士，持芻塗膏，殺守者縱火。
HCH_013_069_000041	火舉山隤，賊大阻。
HCH_013_069_000042	燮元又遣人決都江堰水至濠，濠滿，賊乃治橋，得少息。
HCH_013_069_000043	因緝獲城中與賊通者二百人，懸其首陴上。
HCH_013_069_000044	賊又於城四面立望樓，高與城等。
HCH_013_069_000045	燮元曰：「賊設瞭望，必四出剽掠，其中虛。」
HCH_013_069_000046	遂命死士五百人，突出擊之。
HCH_013_069_000047	賊果無備，斬其三將，燒樓而還。
HCH_013_069_000048	當是時，諸道援兵相繼至，十二月二十四日復安岳縣，二十八日復樂至縣，與賊戰於倒流鎮、石橋、永清鋪，俱有斬獲。
HCH_013_069_000049	各路兵或轉戰得至城下，或潰敗去。
HCH_013_069_000050	秦良玉兵三千亦至。
HCH_013_069_000051	然賊兵亦日益增，無退意。
HCH_013_069_000052	賊圍城八十餘日，歲且盡，城中人伏臘不祭，王正不賀。
HCH_013_069_000053	賊城外日發諸人冢墓，城上望見皆泣。
HCH_013_069_000054	會有俘民脫歸者，言賊旦夕須旱船，一決勝負。
HCH_013_069_000055	二年春正月，賊數千自林中大譟而出，視之，有物如舟，高丈許，長五百尺，樓數重，簟笰左右板如平地。
HCH_013_069_000056	一人披髮仗劍，上載羽旂，中數百人，各挾機弩毒矢，牛數百頭運石轂行，旁翼兩雲樓如左右廣，俯視城中，老幼婦女皆哭。
HCH_013_069_000057	燮元曰：「此呂公車也。破之非礮石不可。」
HCH_013_069_000058	礮石者，巨木為杆柱，置軸柱間，轉索運杆，千鈞之石飛擊如彈丸，賊舟不得近。
HCH_013_069_000059	燮元復募敢死士，以大礮擊牛，中其當軛者，牛駭返走，乘勢縱擊敗之，然城中亦力竭矣。
HCH_013_069_000060	裨將劉養鯤言有諸生范祖文、鄒尉陷賊中，遣孔之譚來約。
HCH_013_069_000061	賊將羅乾象欲自拔效用，燮元即遣之譚復往，至則與乾象俱來。
HCH_013_069_000062	燮元方臥戍樓，呼與飲，乾象衷甲佩刀，燮元不之疑，就榻呼同臥，酣寢達旦。
HCH_013_069_000063	乾象感激，誓以死報，許之，縋而出，後賊營舉動，纖悉無不知者，乾象之力也。
HCH_013_069_000064	踰數日，又使牙將周斯盛詐降，質其來，設伏待之。
HCH_013_069_000065	崇明果自至。
HCH_013_069_000066	甫懸一人上，松潘守兵不知，大譟。
HCH_013_069_000067	崇明走，伏起，獲其從騎數人。
HCH_013_069_000068	崇明跳身免，乃謀遠遁。
HCH_013_069_000069	燮元偵知，造水牌數百面，投錦江順流而下，令有司沈舟斬筏，斷橋樑，嚴兵以待。
HCH_013_069_000070	賊夜半果逸，乾象等內變，賊營四面火起。
HCH_013_069_000071	崇明父子拔營走，乾象等皆來歸。
HCH_013_069_000072	成都圍凡百有二日而解。
HCH_013_069_000073	賊渡瀘歸重慶。
HCH_013_069_000074	事聞，以燮元為巡撫。
HCH_013_069_000075	三月，羅乾象復江安。
HCH_013_069_000076	四月，官兵復新都。
HCH_013_069_000077	初，奢賊據新都，繕城積粟為守計，因克安岳，攻保寧，聲言直取潼關，人心震動，安緜副使劉芬謙、湖廣監軍楊述程合兵攻之。
HCH_013_069_000078	兵至牛頭鎮，賊以騎數千、步萬人來援。
HCH_013_069_000079	秦良玉、譚大孝等夾擊敗之，遂復新都。
HCH_013_069_000080	賊退入［藺］州，復遵義府。
