HCH_013_070_000000	熹宗天啓二年夏五月，山東妖賊徐鴻儒倡亂。
HCH_013_070_000001	鴻儒，鉅野人，遷鄆城，萬曆末，以白蓮教惑眾，黨數千人。
HCH_013_070_000002	深州人王森以救一妖狐，妖狐斷尾，令藏之招人，人聞異香，多歸附之，號聞香教。
HCH_013_070_000003	森死，遺貲鉅萬，子好賢藉其資以結客，有異志。
HCH_013_070_000004	景州于弘志以棒箠會聚惡少年，好賢與通，密約鴻儒於八月望日，三方同起。
HCH_013_070_000005	而鴻儒以他事相激，先發，在卞家屯刑牲誓眾，令眾至梁山泊寄家口，然後起兵，往圍魏家莊，又二千餘人圍梁家樓，據為巢。
HCH_013_070_000006	去縣二十里，官兵不敢前。
HCH_013_070_000007	又攻鉅野縣，其黨楊子雨、李泰等被擒。
HCH_013_070_000008	又曹州擒張世佩，其身旁匿紙人數千，號「四大金剛」，亦鴻儒黨也。
HCH_013_070_000009	鴻儒攻鄆城，知縣余子翼逃，遂據城，曹、濮騷動，兗西道閻調羹以聞，巡撫都御史趙彥、總河侍郎陳道亨、巡撫都御史王一中合兵捕之。
HCH_013_070_000010	其時，四川亦有白蓮妖賊洪眾、劉應選、白仙台等，助賊蠭起。
HCH_013_070_000011	巡撫朱燮元擒捕正法。
HCH_013_070_000012	夏六月，徐鴻儒陷鄒縣，署印通判鄭一傑挈家出走；進陷滕縣，知縣姚之胤逃；遂踞二城。
HCH_013_070_000013	時括遼餉殆盡，至是徵兵，無餉可給，止練鄉勇，責有司捕治。
HCH_013_070_000014	魯王捐貲保城，上賜璽書褒之。
HCH_013_070_000015	山東都司廖棟破武安賊巢，焚之。
HCH_013_070_000016	撫臣趙彥奏捷。
HCH_013_070_000017	賊盤踞巢穴，動以數萬，官兵奮勇力戰，斬首三千餘級，礮擊死者六七百人。
HCH_013_070_000018	又焚武安集賊巢，近旁小寨俱燬之，賊勢窮蹙，奔梁家樓。
HCH_013_070_000019	都司楊國盛與賊對壘，斬首千級。
HCH_013_070_000020	其東南、東北之賊充塞道路，官軍攻擊，賊不能支，復斬首二千餘級。
HCH_013_070_000021	賊欲窺伺兗府，官軍尾其後襲之，連戰皆捷，遂復鄆城、鉅野。
HCH_013_070_000022	秋七月，錄敍山東平妖將士楊國盛、廖棟等功績。
HCH_013_070_000023	巡撫趙彥奏：「妖賊聚眾日多，官兵策應日難。乞暫留秋班邊軍，隨營勦賊，可省招募之費。」
HCH_013_070_000024	從之。
HCH_013_070_000025	賊攻夏鎮，至彭家口，掠糧船四十餘艘，阻絕運河。
HCH_013_070_000026	侍郎陳道亨告急，上命兵部議添兵防守。
