HCH_013_075_000000	崇禎元年，延安饑，十一月，府谷民王嘉胤倡亂，饑民附之。
HCH_013_075_000001	白水盜王二等復合徒衆劫掠蒲州、韓城間。
HCH_013_075_000002	時承平久，猝被兵，人無固志。
HCH_013_075_000003	巡撫陝西都御史胡廷宴庸而耄，惡聞盜，杖各縣報者，曰：「此饑氓，徐自定耳！」
HCH_013_075_000004	於是有司不以聞。
HCH_013_075_000005	盜偵知之，益恣。
HCH_013_075_000006	劫宜君縣獄，北合嘉胤五六千人，聚延慶之黃龍山。
HCH_013_075_000007	二年正月壬戌，撫治鄖陽都御史梁應澤以漢南盜告急，請兵。
HCH_013_075_000008	撫標止步兵三百人。
HCH_013_075_000009	陝西巡撫胡廷宴、延綏巡撫岳和聲，各報洛川、淳化、三水、略陽、清水、成縣、韓城、宜君、中部、石泉、宜川、綏德、葭、耀、靜寧、潼關、陽平關、金鎖關等處，流賊恣掠。
HCH_013_075_000010	給事中薛國觀上言：「賊之熾也，由喬應甲撫秦，置盜劫不問，實釀其禍。今弭盜之方，在整飭吏治，有先事隄防之法，有臨事翦滅之法，有後事懲戒之法。」
HCH_013_075_000011	上是之。
HCH_013_075_000012	己巳，固原逃兵掠涇陽、富平，執游擊李英。
HCH_013_075_000013	二月，陝西備兵商洛道劉應遇率毛兵入漢中，合川兵敗賊。
HCH_013_075_000014	畧陽守備黃元極擊賊，馬蹶被殺，猶手刃賊不置，賊走漢陰。
HCH_013_075_000015	應遇遣兵追斬五百餘，誅渠魁數十人，餘走蜀，其匿漢陰山中者，並自殺，漢南盜平。
HCH_013_075_000016	三月丙子，流盜掠眞寧、寧州、安化、三水。
HCH_013_075_000017	四月甲午，固原賊犯耀州，督糧參政洪承疇合官兵鄕勇萬餘人，圍賊於雲陽，幾覆之，賊乘夜雷雨，潰圍走淳化，入神道嶺。
HCH_013_075_000018	劉應遇以千人偪漢中賊於五丁峽。
HCH_013_075_000019	寧羌知州陳元瓚失防，盜遁。
