HCH_014_004_000000	庚辰，至於滔水。
HCH_014_004_000001	濁繇氏之所食。
HCH_014_004_000002	辛巳，天子東征。
HCH_014_004_000003	古癸未，至於蘇穀。
HCH_014_004_000004	骨飦氏之所衣被，乃遂南征，東還。
HCH_014_004_000005	丙戌，至於長𣴽，重𢀄氏之西疆。
HCH_014_004_000006	丁亥，天子升于長𣴽，乃遂東征。
HCH_014_004_000007	庚寅，至於重𢀄氏黑水之阿。
HCH_014_004_000008	爰有野麥，爰有荅堇，西膜之所謂木禾。
HCH_014_004_000009	重𢀄氏之所食。
HCH_014_004_000010	爰有採石之山，重𢀄氏之所守，曰：枝斯，璿瑰。
HCH_014_004_000011	𤤄瑤，琅玕，玪𤧜兏𤫋，玗琪，𢕲尾，凡好石之器於是出。
HCH_014_004_000012	孟秋癸巳，天子命重𢀄氏共食天子之屬。
HCH_014_004_000013	五日丁酉，天子升于採石之山，於是取採石焉。
HCH_014_004_000014	天子使重𢀄之民，鑄以成器于黑水之上。
HCH_014_004_000015	器服物佩好無疆，曰：天子一月休。
HCH_014_004_000016	秋癸亥，天子觴重𢀄之人𣎕𩖿，乃賜之黃金之罌二九，銀烏一隻，貝帶五十，珠七百裹，𥭩箭桂薑百𡸍，絲𦃥雕官。
HCH_014_004_000017	𣎕𩖿乃膜拜而受。
HCH_014_004_000018	乙丑，天子東征，𣎕𩖿送天子至於長沙之山。
HCH_014_004_000019	□𨾏，天子使柏夭受之。
HCH_014_004_000020	柏夭曰：重𢀄氏之先，三苗氏之□處以黃木𢁎銀采，□乃膜拜而受。
HCH_014_004_000021	丙寅，天子東征，南還。
HCH_014_004_000022	己巳，至於文山，西膜之所謂□，觴天子于文山。
HCH_014_004_000023	西膜之人乃獻食馬三百，牛羊二千，穄米千車，天子使畢矩受之，曰：□天子三日游于文山。
HCH_014_004_000024	於是取採石。
HCH_014_004_000025	壬寅，天子飲于文山之下，文山之人歸遺乃獻良馬十駟，用牛三百，守狗九十，牥牛二百，以行流沙。
HCH_014_004_000026	天子之豪馬豪牛，尨狗。
HCH_014_004_000027	豪羊，以三十祭文山。
HCH_014_004_000028	又賜之黃金之嬰二九，貝帶三十，硃三百裹，桂薑百𡸍，歸遺乃膜拜而受。
HCH_014_004_000029	癸酉，天子命駕八駿之乘，右服𧃭騮而左綠耳，右驂赤蘎而左白𠌾。
HCH_014_004_000030	天子主車，造父為禦，𡇷𡇤為右。
HCH_014_004_000031	次車之乘，右服渠黃而左踰輪，右驂盜驪而左山子。
HCH_014_004_000032	柏夭主車，參百為禦，奔戎為右，天子乃遂東南翔行，馳驅千里，至於巨蒐氏，巨蒐之人𠮀奴，乃獻白鵠之血，以飲天子，且具牛馬之湩，以洗天子之足，及二乘之人。
HCH_014_004_000033	甲戌，巨蒐之人𠮀奴觴天子于焚留之山。
HCH_014_004_000034	乃獻馬三百，牛羊五千，秋麥千車，膜稷三十車。
HCH_014_004_000035	天子使柏夭受之。
HCH_014_004_000036	好獻枝斯之英四十，𠍝𤕁𠢮𦉔珌佩百𨾏，琅玕四十，𩟜𡮖十篋，天子使造父受之，□乃賜之銀木𡐜采，黃金之罌二九，貝帶四十，珠三百裹，桂薑百𡸍。
HCH_014_004_000037	𠮀奴乃膜拜而受。
HCH_014_004_000038	乙亥，天子南征陽紆之東尾。
HCH_014_004_000039	乃遂絕𠭺𦟆之穀。
HCH_014_004_000040	已至於𣠴𤧱河之水北阿。
HCH_014_004_000041	爰有𤃄溲之□河伯之孫，事皇天子之山。
HCH_014_004_000042	有模堇，其葉是食明後。
HCH_014_004_000043	天子嘉之，賜以佩玉一隻，柏夭再拜稽首。
HCH_014_004_000044	癸丑，天子東征。
HCH_014_004_000045	柏夭送天子至於䣙人。
HCH_014_004_000046	䣙伯綮觴天子于澡澤之上，𣂿多之汭，河水之所南還。
HCH_014_004_000047	曰：天子五日休於澡澤之上。
HCH_014_004_000048	以待六師之人。
HCH_014_004_000049	戊午，天子東征。
HCH_014_004_000050	顧命柏夭歸子丌邦。
HCH_014_004_000051	天子曰：河宗正也。
HCH_014_004_000052	柏夭再拜稽首。
HCH_014_004_000053	天子南還，升於長松之隥。
HCH_014_004_000054	孟冬壬戌，天子至於雷首，犬戎胡觴天子于雷首之阿，乃獻食馬四六。
HCH_014_004_000055	天子使孔牙受之，曰：雷水之幹，寒寡人，具犬馬羊牛。
HCH_014_004_000056	爰有黑牛白角，爰有黑羊白血。
HCH_014_004_000057	癸亥，天子南征，升於髭之隥。
HCH_014_004_000058	丙寅，天子至於鈃山之隊，東升於三道之隥，乃宿于二邊。
HCH_014_004_000059	命毛班。
HCH_014_004_000060	逄固先至於周，以待天子之命。
HCH_014_004_000061	癸酉，天子命駕八駿之乘，赤驥之駟，造父為禦，南征翔行，逕絕翟道，升於太行，南濟於河。
HCH_014_004_000062	馳驅千里，遂入于宗周。
HCH_014_004_000063	官人進白鵠之血，以飲天子，以洗天子之足。
HCH_014_004_000064	造父乃具羊之血，以飲四馬之乘一。
HCH_014_004_000065	庚辰，天子大朝于宗周之廟。
HCH_014_004_000066	乃里西土之數。
HCH_014_004_000067	曰：自宗周瀍水以西。
HCH_014_004_000068	至於河宗之邦，陽紆之山三千有四百里。
HCH_014_004_000069	自陽紆西至於西夏氏，二千又五百里。
HCH_014_004_000070	自西夏至於珠餘氏及河首，千又五百里。
HCH_014_004_000071	自河首襄山以西南，至於舂山珠澤，昆侖之丘，七百里。
HCH_014_004_000072	自舂山以西，至於赤烏氏舂山三百里。
HCH_014_004_000073	東北還至於群玉之山，截舂山以北。
HCH_014_004_000074	自群玉之山以西，至於西王母之邦三千里。
HCH_014_004_000075	□自西王母之邦，北至於曠原之野，飛鳥之所解其羽，千有九百里。
HCH_014_004_000076	□宗周至於西北大曠原，萬四千里。
HCH_014_004_000077	乃還東南，複至於陽紆，七千里。
HCH_014_004_000078	還歸於周，三千里。
HCH_014_004_000079	各行兼數，三萬有五千里。
HCH_014_004_000080	吉日甲申，天子祭于宗周之廟。
HCH_014_004_000081	乙酉，天子□六師之人于洛水之上。
HCH_014_004_000082	丁亥，天子北濟于河，□羝之隊以西北。
HCH_014_004_000083	升於盟門九河之隥，乃遂西南。
HCH_014_004_000084	仲冬壬辰，至𤃻山之上，乃奏廣樂，三日而終。
HCH_014_004_000085	吉日丁酉，天子入于南鄭。
