HCH_015_028_000000	崔祖思字敬元，清河東武城人，崔琰七世孫也。
HCH_015_028_000001	祖諲，宋冀州刺史。
HCH_015_028_000002	父僧護，州秀才。
HCH_015_028_000003	祖思少有志氣，好讀書史。
HCH_015_028_000004	初州辟主簿，與刺史劉懷珍於堯廟祠神，廟有蘇侯像。
HCH_015_028_000005	懷珍曰：「堯聖人，而與雜神爲列，欲去之，何如？」
HCH_015_028_000006	祖思曰：「蘇峻今日可謂四凶之五也。」
HCH_015_028_000007	懷珍遂令除諸雜神。
HCH_015_028_000008	太祖在淮陰，祖思聞風自結，爲上輔國主簿，甚見親待，參豫謀議。
HCH_015_028_000009	除奉朝請，安成王撫軍行參軍，員外正員郎，冀州中正。
HCH_015_028_000010	宋朝初議封太祖爲梁公，祖思啓太祖曰：「讖書云『金刀利刃齊刈之』。今宜稱齊，實應天命。」
HCH_015_028_000011	從之。
HCH_015_028_000012	轉爲相國從事中郎，遷齊國內史。
HCH_015_028_000013	建元元年，轉長兼給事黃門侍郎。
HCH_015_028_000014	上優詔報答。
HCH_015_028_000015	尋遷寧朔將軍、冠軍司馬，領齊郡太守、本官如故。
HCH_015_028_000016	是冬，虜動，遷冠軍將軍、軍主，屯淮上。
HCH_015_028_000017	二年，進號征虜將軍，軍主如故。
HCH_015_028_000018	仍遷假節、督青冀二州刺史，將軍如故。
HCH_015_028_000019	少時，卒。
HCH_015_028_000020	上歎曰：「我方欲用祖思，不幸，可惜。」
HCH_015_028_000021	詔賻錢三萬，布五十匹。
HCH_015_028_000022	祖思宗人文仲，初辟州從事。
HCH_015_028_000023	泰始初，爲薛安都平北主簿，拔難歸國。
HCH_015_028_000024	元徽初，從太祖於新亭拒桂陽賊，著誠效，除游擊將軍。
HCH_015_028_000025	沈攸之事起，助豫章王鎮東府，歷驃騎諮議，出爲徐州刺史。
HCH_015_028_000026	建元初，封建陽縣子，三百戶。
HCH_015_028_000027	二年，虜攻鍾離，仲文擊破之。
HCH_015_028_000028	又遣軍主崔孝伯等過淮攻拔虜茬眉戍，殺戍主龍得侯及偽陽平太守郭杜羝，館陶令張德，濮陽令王明。
HCH_015_028_000029	時虜攻殺馬頭太守劉從，上曰：「破茬眉，足相補。」
HCH_015_028_000030	文仲又遣軍主陳靖攻虜竹邑戍主白仲都，又遣軍主崔延叔攻偽淮陽太守梁惡，竝殺之。
HCH_015_028_000031	三年，淮北義民桓磊磈於抱犢固與虜戰，大破之。
HCH_015_028_000032	仲文馳啓，上敕曰：「北閒起義者衆，深恐良會不再至，卿善獎沛中人，若能一時攘袂，當遣一佳將直入也。」
HCH_015_028_000033	文仲在政，爲百姓所憚。
HCH_015_028_000034	除黃門郎，領越騎校尉，改封隨縣。
HCH_015_028_000035	嘗獻太祖纏鬚繩一枚，上爲納受。
HCH_015_028_000036	永明元年，爲太子左率，累至征虜將軍、冠軍司馬、汝陰太守。
HCH_015_028_000037	四年，卒。
HCH_015_028_000038	贈後將軍、徐州刺史。
HCH_015_028_000039	諡襄子。
HCH_015_028_000040	劉善明，平原人。
HCH_015_028_000041	鎮北將軍懷珍族弟也。
HCH_015_028_000042	父懷民，宋世爲齊北海二郡太守。
HCH_015_028_000043	元嘉末，青州飢荒，人相食，善明家有積粟，躬食饘粥，開倉以救郷里，多獲全濟，百姓呼其家田爲「續命田」。
HCH_015_028_000044	少而靜處讀書，刺史杜驥聞名候之，辭不相見。
HCH_015_028_000045	年四十，刺史劉道隆辟爲治中從事。
HCH_015_028_000046	父懷民謂善明曰：「我已知汝立身，復欲見汝立官也。」
HCH_015_028_000047	善明應辟。
HCH_015_028_000048	仍舉秀才。
HCH_015_028_000049	宋孝武見其對策強直，甚異之。
HCH_015_028_000050	泰始初，徐州刺史薛安都反，青州刺史沈文秀應之。
HCH_015_028_000051	時州治東陽城，善明家在郭內，不能自拔。
HCH_015_028_000052	伯父彌之詭說文秀求自效，文秀使領軍主張靈慶等五千援安都。
HCH_015_028_000053	彌之出門，密謂部曲曰：「始免禍坑矣。」
HCH_015_028_000054	行至下邳，起義背文秀。
HCH_015_028_000055	善明從伯懷恭爲北海太守，據郡相應。
HCH_015_028_000056	善明密契收集門宗部曲，得三千人，夜斬關奔北海。
HCH_015_028_000057	族兄乘民又聚衆渤海以應朝廷。
HCH_015_028_000058	而彌之尋爲薛安都所殺，明帝贈輔國將軍、青州刺史。
HCH_015_028_000059	以乘民爲寧朔將軍、冀州刺史，善明爲寧朔長史、北海太守，除尚書金部郎。
HCH_015_028_000060	乘民病卒，仍以善明爲綏遠將軍、冀州刺史。
HCH_015_028_000061	文秀旣降，除善明爲屯騎校尉，出爲海陵太守。
HCH_015_028_000062	郡境邊海，無樹木，善明課民種榆檟雜果，遂獲其利。
HCH_015_028_000063	還爲後軍將軍、直閤。
HCH_015_028_000064	五年，青州沒虜，善明母陷北，虜移置桑乾。
HCH_015_028_000065	善明布衣蔬食，哀戚如持喪。
HCH_015_028_000066	明帝每見，爲之歎息，時人稱之。
HCH_015_028_000067	轉寧朔將軍、巴西梓潼二郡太守。
HCH_015_028_000068	善明以母在虜中，不願西行，涕泣固請，見許。
HCH_015_028_000069	朝廷多哀善明心事。
HCH_015_028_000070	元徽初，遣北使，朝議令善明舉人，善明舉州郷北平田惠紹使虜，贖得母還。
HCH_015_028_000071	幼主新立，羣公秉政，善明獨結事太祖，委身歸誠。
HCH_015_028_000072	二年，出爲輔國將軍、西海太守、行青冀二州刺史。
HCH_015_028_000073	至鎮，表請北伐，朝議不同。
HCH_015_028_000074	善明從弟僧副，與善明俱知名於州里。
HCH_015_028_000075	泰始初，虜暴淮北，僧副將部曲二千人東依海島，太祖在淮陰，壯其所爲，召與相見，引爲安成王撫軍參軍。
HCH_015_028_000076	蒼梧肆暴，太祖憂恐，常令僧副微行伺察聲論。
HCH_015_028_000077	使僧副密告善明及東海太守垣崇祖曰：「多人見勸北固廣陵，恐一旦動足，非爲長算。今秋風行起，卿若能與垣東海微共動虜，則我諸計可立。」
HCH_015_028_000078	善明曰：「宋氏將亡，愚智所辨。故胡虜若動，反爲公患。公神武世出，唯當靜以待之，因機奮發，功業自定。不可遠去根本，自貽猖蹶。」
HCH_015_028_000079	遣部曲健兒數十人隨僧副還詣領府，太祖納之。
HCH_015_028_000080	蒼梧廢，徵善明爲冠軍將軍、太祖驃騎諮議、南東海太守、行南徐州事。
