HCH_015_056_000000	有天象，必有人事焉。
HCH_015_056_000001	倖臣一星，列于帝座。
HCH_015_056_000002	經禮立教，亦著近臣之服。
HCH_015_056_000003	親倖之義，其來已久。
HCH_015_056_000004	爰自衰周，侯伯專命，桓、文霸主，至于戰國，寵用近習，不乏於時矣。
HCH_015_056_000005	漢文幸鄧通，雖錢徧天下，位止郎中。
HCH_015_056_000006	孝武韓嫣、霍去病，遂至侍中大司馬。
HCH_015_056_000007	迄于魏、晉，世任權重，才位稍爽，而信倖唯均。
HCH_015_056_000008	中書之職，舊掌機務。
HCH_015_056_000009	漢元以令僕用事，魏明以監令專權，及在中朝，猶爲重寄。
HCH_015_056_000010	陳准歸任上司，荀勗恨於失職。
HCH_015_056_000011	晉令舍人位居九品，江左置通事郎，管司詔誥。
HCH_015_056_000012	其後郎還爲侍郎，而舍人亦稱通事。
HCH_015_056_000013	元帝用琅邪劉超，以謹慎居職。
HCH_015_056_000014	宋文世，秋當、周糾竝出寒門。
HCH_015_056_000015	孝武以來，士庶雜選，如東海鮑照，以才學知名。
HCH_015_056_000016	又用魯郡巢尚之，江夏王義恭以爲非選。
HCH_015_056_000017	帝遣尚書二十餘牒，宣敕論辯，義恭乃歎曰：「人主誠知人。」
HCH_015_056_000018	及明帝世，胡母顥、阮佃夫之徒，專爲佞倖矣。
HCH_015_056_000019	齊初亦用久勞，及以親信。
HCH_015_056_000020	關讞表啓，發署詔敕。
HCH_015_056_000021	頗涉辭翰者，亦爲詔文，侍郎之局，復見侵矣。
HCH_015_056_000022	建武世，詔命殆不關中書，專出舍人。
HCH_015_056_000023	省內舍人四人，所直四省，其下有主書令史，舊用武官，宋改文吏，人數無員。
HCH_015_056_000024	莫非左右要密，天下文簿板籍，入副其省，萬機嚴祕，有如尚書外司。
HCH_015_056_000025	領武官，有制局監，領器仗兵役，亦用寒人被恩幸者。
HCH_015_056_000026	今立《倖臣篇》，以繼前史之末云。
HCH_015_056_000027	紀僧真，丹陽建康人也。
HCH_015_056_000028	僧真少隨逐征西將軍蕭思話及子惠開，皆被賞遇。
HCH_015_056_000029	惠開性苛，僧真以微過見罰，旣而委任如舊。
HCH_015_056_000030	及罷益州還都，不得志，僧真事之愈謹。
HCH_015_056_000031	惠開臨終歎曰：「紀僧真方當富貴，我不見也。」
HCH_015_056_000032	乃以僧真託劉秉、周顒。
HCH_015_056_000033	初，惠開在益州，土反，被圍危急，有道人謂之曰：「城圍尋解。檀越貴門後方大興，無憂外賊也。」
HCH_015_056_000034	惠開密謂僧真曰：「我子弟見在者，竝無異才。政是道成耳。」
HCH_015_056_000035	僧真憶其言，乃請事太祖。
HCH_015_056_000036	隨從在淮陰，以閑書題，令荅遠近書疏。
HCH_015_056_000037	自寒官歷至太祖冠軍府參軍、主簿。
HCH_015_056_000038	僧真夢蒿艾生滿江，驚而白之。
HCH_015_056_000039	太祖曰：「詩人採蕭，蕭卽艾也。蕭生斷流，卿勿廣言。」
HCH_015_056_000040	其見親如此。
HCH_015_056_000041	元徽初，從太祖頓新亭，拒桂陽賊。
HCH_015_056_000042	蕭惠朗突入東門，僧真與左右共拒戰。
HCH_015_056_000043	賊退，太祖命僧真領親兵，遊邏城中。
HCH_015_056_000044	事寧，除南臺御史、太祖領軍功曹。
HCH_015_056_000045	上將廢立，謀之袁粲、褚淵，僧真啓上曰：「今朝廷猖狂，人不自保，天下之望，不在袁、褚。明公豈得默己，坐受夷滅。存亡之機，仰希熟慮。」
HCH_015_056_000046	太祖納之。
HCH_015_056_000047	太祖欲度廣陵起兵，僧真又啓曰：「主上雖復狂釁，虐加萬民，而累世皇基，猶固盤石。今百口北度，何必得俱。縱得廣陵城，天子居深宮施號令，目明公爲逆，何以避此？如其不勝，則應北走胡中，竊謂此非萬全策也。」
HCH_015_056_000048	上曰：「卿顧家，豈能逐我行耶。」
HCH_015_056_000049	僧真頓首稱無貳。
HCH_015_056_000050	昇明元年，除員外郎，帶東武城令。
HCH_015_056_000051	尋除給事中、邵陵王參軍。
HCH_015_056_000052	太祖坐東府高樓，望石頭城，僧真在側。
HCH_015_056_000053	上曰：「諸將勸我誅袁、劉，我意不欲便爾。」
HCH_015_056_000054	及沈攸之事起，從太祖入朝堂。
HCH_015_056_000055	石頭反夜，太祖遣衆軍掩討。
HCH_015_056_000056	宮城中望石頭火光及呌聲甚盛，人懷不測。
