HCH_015_057_000000	魏虜，匈奴種也，姓托跋氏。
HCH_015_057_000001	晉永嘉六年，并州刺史劉琨為屠各胡劉聰所攻，索頭猗盧遣子曰利孫將兵救琨於太原，猗盧入居代郡，亦謂鮮卑。
HCH_015_057_000002	被髮左衽，故呼為索頭。
HCH_015_057_000003	猗盧孫什翼犍，字鬱律旃，後還陰山為單于，領匈奴諸部。
HCH_015_057_000004	太元元年，苻堅遣偽并州刺史苻洛伐犍，破龍庭，禽犍還長安，為立宅，教犍書學。
HCH_015_057_000005	分其部黨君雲中等四郡，諸部主帥歲終入朝，并得見犍，差稅諸部以給之。
HCH_015_057_000006	堅敗，子珪，字涉圭，隨舅慕容垂據中山，還領其部，後稍彊盛。
HCH_015_057_000007	隆安元年，珪破慕容寶於中山，遂有并州，僭稱魏，年號天〔賜〕。
HCH_015_057_000008	追諡犍烈祖文平皇帝。
HCH_015_057_000009	珪死，諡道武皇帝，子木末立，年號太常，死，諡明元皇帝。
HCH_015_057_000010	子燾，字佛狸代立，年號太平真君。
HCH_015_057_000011	宋元嘉中，偽太子晃與大臣崔氏、寇氏不睦，崔、寇譖之。
HCH_015_057_000012	玄高道人有道術，晃使祈福七日七夜，佛狸夢其祖父竝怒，手刃向之曰：「汝何故信讒，欲害太子！」
HCH_015_057_000013	佛狸驚覺，下偽詔曰：「王者大業，纂承為重，儲宮嗣紹，百王舊例。自今已往，事無巨細，必經太子，然後上聞。」
HCH_015_057_000014	晃後謀殺佛狸見殺。
HCH_015_057_000015	燾死，諡太武皇帝。
HCH_015_057_000016	立晃子濬，字烏雷直勤，年號和平。
HCH_015_057_000017	追諡晃景穆皇帝。
HCH_015_057_000018	濬死，諡文成皇帝。
HCH_015_057_000019	子弘字萬民立，年號天安。
HCH_015_057_000020	景和九年，偽太子宏生，改年為皇興。
HCH_015_057_000021	什翼珪始都平城，猶逐水草，無城郭，木末始土著居處。
HCH_015_057_000022	佛狸破梁州、黃龍，徙其居民，大築郭邑。
HCH_015_057_000023	截平城西為宮城，四角起樓，女墻，門不施屋，城又無壍。
HCH_015_057_000024	南門外立二土門，內立廟，開四門，各隨方色，凡五廟，一世一閒，瓦屋。
HCH_015_057_000025	其西立太社。
HCH_015_057_000026	佛狸所居雲母等三殿，又立重屋，居其上。
HCH_015_057_000027	飲食廚名「阿真廚」，在西，皇后可孫恒出此廚求食。
HCH_015_057_000028	初，姚興以塞外虜赫連勃勃為安北將軍，領五部胡，屯大城，姚泓敗後，入長安。
HCH_015_057_000029	佛狸攻破勃勃子昌，娶勃勃女為皇后。
HCH_015_057_000030	義熙中，仇池公楊盛表云「索虜勃勃，匈奴正胤」是也。
HCH_015_057_000031	可孫昔妾媵之。
HCH_015_057_000032	殿西鎧仗庫屋四十餘閒，殿北絲綿布絹庫土屋一十餘閒。
HCH_015_057_000033	偽太子宮在城東，亦開四門，瓦屋，四角起樓。
HCH_015_057_000034	妃妾住皆土屋。
HCH_015_057_000035	婢使千餘人，織綾錦販賣，酤酒，養猪羊，牧牛馬，種菜逐利。
HCH_015_057_000036	太官八十餘窖，窖四千斛，半穀半米。
HCH_015_057_000037	又有懸食瓦屋數十閒，置尚方作鐵及木。
HCH_015_057_000038	其袍衣，使宮內婢為〔之〕。
HCH_015_057_000039	偽太子別有倉庫。
HCH_015_057_000040	其郭城繞宮城南，悉築為坊，坊開巷。
HCH_015_057_000041	坊大者容四五百家，小者六七十家。
HCH_015_057_000042	每南坊搜檢，以備奸巧。
HCH_015_057_000043	城西南去白登山七里，於山邊別立父祖廟。
HCH_015_057_000044	城西有祠天壇，立四十九木人，長丈許，白幘、練裙、馬尾被，立壇上，常以四月四日殺牛馬祭祀，盛陳鹵簿，邊壇奔馳奏伎為樂。
HCH_015_057_000045	城西三里，刻石寫五經及其國記，於鄴取石虎文石屋基六十枚，皆長丈餘，以充用。
HCH_015_057_000046	國中呼內左右為「直真」，外左右為「烏矮真」，曹局文書吏為「比德真」，檐衣人為「樸大真」，帶仗人為「胡洛真」，通事人為「乞萬真」，守門人為「可薄真」，偽臺乘驛賤人為「拂竹真」，諸州乘驛人為「咸真」，殺人者為「契害真」，為主出受辭人為「折潰真」，貴人作食人為「附真」。
HCH_015_057_000047	三公貴人，通謂之「羊真」。
HCH_015_057_000048	佛狸置三公、太宰、尚書令、僕射、侍中，與太子共決國事。
HCH_015_057_000049	殿中尚書知殿內兵馬倉庫，樂部尚書知伎樂及角史伍伯，駕部尚書知牛馬驢騾，南部尚書知南邊州郡，北部尚書知北邊州郡。
HCH_015_057_000050	又有俟懃地何，比尚書；莫堤，比刺史；郁若，比二千石；受別官比諸侯。
HCH_015_057_000051	諸曹府有倉庫，悉置比官，皆使通虜漢語，以為傳驛。
HCH_015_057_000052	蘭臺置中丞御史，知城內事。
HCH_015_057_000053	又置九豆和官，宮城三里內民戶籍不屬諸軍戍者，悉屬之。
HCH_015_057_000054	其車服，有大小輦，皆五層，下施四輪，三二百人牽之，四施絙索，備傾倒。
HCH_015_057_000055	軺車建龍旂，尚黑。
HCH_015_057_000056	妃后則施雜綵幰，無幢絡。
HCH_015_057_000057	太后出，則婦女著鎧騎馬近輦左右。
HCH_015_057_000058	虜主及后妃常行，乘銀鏤羊車，不施帷幔，皆偏坐垂腳轅中；在殿上，亦跂據。
HCH_015_057_000059	正殿施流蘇帳，金博山，龍鳳朱漆畫屏風，織成幌。
HCH_015_057_000060	坐施氍毹褥。
HCH_015_057_000061	前施金香鑪，琉璃鉢，金椀，盛雜食器。
HCH_015_057_000062	設客長盤一尺，御饌圓盤廣一丈。
HCH_015_057_000063	為四輪車，元會日，六七十人牽上殿。
HCH_015_057_000064	蜡日逐除，歲盡，城門磔雄雞，葦索桃梗，如漢儀。
HCH_015_057_000065	自佛狸至萬民，世增雕飾。
HCH_015_057_000066	正殿西築土臺，謂之白樓。
HCH_015_057_000067	萬民禪位後，常遊觀其上。
HCH_015_057_000068	臺南又有伺星樓。
HCH_015_057_000069	正殿西又有祠屋，琉璃為瓦。
HCH_015_057_000070	宮門稍覆以屋，猶不知為重樓。
HCH_015_057_000071	竝設削泥采，畫金剛力士。
HCH_015_057_000072	胡俗尚水，又規畫黑龍相盤繞，以為厭勝。
HCH_015_057_000073	泰始五年，萬民禪位子宏，自稱太上皇。
HCH_015_057_000074	宏立，號延興元年。
HCH_015_057_000075	至六年，萬民死，諡獻文皇帝。
HCH_015_057_000076	改號為承明元年，是歲元徽四年也。
HCH_015_057_000077	祖母馮氏，黃龍人，助治國事。
HCH_015_057_000078	初，佛狸母是漢人，為木末所殺，佛狸以乳母為太后，自此以來，太子立，輒誅其母。
HCH_015_057_000079	一云馮氏本江都人，佛狸元嘉二十七年南侵，略得馮氏，濬以為妾，獨得全焉。
